AMNH       103371     scc13cs.xls
13.2714    13.0488    -5.8317    IN
11.3296    11.0996    -8.7659    BR
7.8914     8.1115     -7.882     GL
7.7321     7.9923     -7.5033    NA
7.2078     7.6119     -6.0197    RH
6.7401     7.1675     -4.7457    NS
6.3396     6.7926     -4.3075    PR
6.6888     6.6055     -4.3072    R_PR2
7.5        7.7296     -6.6066    R_PMS
9.5561     6.6637     -4.8276    R_ZMI
8.6697     7.3692     -6.1283    R_ZMU
8.2219     8.1007     -7.171     R_DA
9.1904     7.524      -8.1303    R_MTI
9.3578     7.5818     -8.4755    R_MTS
10.0505    6.7216     -7.2316    R_FMO
10.7744    6.8831     -7.0354    R_FMT
12.4934    9.4491     -5.0664    R_PO
11.0896    6.9787     -5.3167    R_ZTS
6.1286     7.1482     -4.3082    L_PR2
7.3812     7.8521     -6.6063    L_PMS
6.409      10.1264    -4.8541    L_ZMI
7.3224     9.0027     -6.1253    L_ZMU
7.6619     8.3741     -7.1551    L_DA
7.4012     9.6567     -8.0265    L_MTI
7.5291     9.697      -8.4455    L_MTS
6.7585     10.5392    -7.2653    L_FMO
6.8004     11.0282    -7.1979    L_FMT
9.5204     12.6871    -4.9388    L_PO
6.8696     11.5146    -5.4031    L_ZTS
6.1587     8.3867     -4.7172    O1
6.3266     10.3437    -5.4786    O2
9.6148     13.3885    -5.6201    O3
13.5322    12.3905    -6.4748    O4







































































































































































7.885      8.1421     -7.8856    GLRH
7.8308     8.0642     -7.6562
7.7487     7.9981     -7.4859
7.68       7.9132     -7.2919
7.5886     7.8133     -6.9627
7.4988     7.7594     -6.7244
7.3899     7.6723     -6.4044
7.2686     7.5755     -6.1743
7.2301     7.5652     -6.0071































































































































































































7.2547     7.5982     -5.9847    NOSE
7.3254     7.4414     -5.9955
7.4008     7.2712     -5.8268
7.4078     7.1068     -5.4902
7.2462     7.0273     -5.2269
7.0326     7.0417     -5.1021
6.8824     7.0382     -5.0069
6.7539     7.0438     -4.8793
6.6893     7.0939     -4.7893
6.6354     7.2393     -4.9205
6.6338     7.3827     -5.0666
6.6469     7.606      -5.1498
6.6686     7.7385     -5.2659
6.7578     7.8562     -5.4396
6.8611     7.8574     -5.6733
6.965      7.8101     -5.8093
7.0663     7.7486     -5.9145
7.1344     7.7432     -5.966
7.2191     7.6535     -5.9771





















































































































































































6.6907     7.1456     -4.7484    NASP-PR
6.5408     7.023      -4.687
6.4333     6.9205     -4.5899
6.3701     6.8653     -4.442
6.3475     6.8059     -4.327



































































































































































































7.4869     7.7371     -6.5713    R-PM/MAX
7.4664     7.6359     -6.4246
7.4685     7.5713     -6.3343
7.4881     7.5156     -6.1842
7.5113     7.4151     -5.9943
7.5064     7.312      -5.8553
7.5248     7.1894     -5.6853
7.5764     7.0664     -5.5207
7.5385     6.9818     -5.3643
7.5076     6.8481     -5.1827
7.4663     6.7393     -5.0046
7.3935     6.6422     -4.8247
7.3055     6.5027     -4.6589
7.2098     6.4397     -4.5029
7.1338     6.473      -4.4359
7.0603     6.5048     -4.3569
























































































































































































7.3913     7.8517     -6.5959    L-PM/MAX
7.2841     7.8677     -6.4176
7.1522     7.9344     -6.1803
6.9925     7.9017     -5.9378
6.8883     7.8973     -5.7967
6.8082     7.9539     -5.6587
6.6802     7.9597     -5.51
6.5598     7.9996     -5.361
6.4786     7.9712     -5.235
6.3839     7.9599     -5.1278
6.32       7.9241     -5.0047
6.2131     7.8792     -4.8492
6.1233     7.8588     -4.707
5.9964     7.7646     -4.5367
5.9767     7.706      -4.4518
6.0611     7.5883     -4.3196
























































































































































































8.4267     6.7673     -4.0626    ROSTRUM
8.4237     6.7072     -4.6805
8.3936     6.7333     -5.05
8.1818     7.0374     -5.5639
8.0501     7.2732     -5.834
7.9465     7.4708     -6.1159
7.8745     7.6181     -6.3763
7.7693     7.7005     -6.5507
7.681      7.762      -6.7278
7.5338     7.8928     -6.8094
7.3847     8.0742     -6.6477
7.258      8.2173     -6.28
7.0919     8.3461     -6.0414
6.8414     8.4365     -5.708
6.6267     8.5723     -5.4557
6.4628     8.7481     -5.2006
6.3838     8.7951     -4.9602
6.3895     8.9416     -4.5483
6.4582     8.936      -4.1471





















































































































































































10.6692    6.7257     -7.1925    SUPORB
10.4886    6.8361     -7.6604
10.2606    7.0263     -8.0193
9.9651     7.247      -8.2747
9.6648     7.4916     -8.4239
9.279      7.6978     -8.5108
8.9687     7.8717     -8.5173
8.6836     8.0366     -8.4959
8.3697     8.1924     -8.4113
8.1604     8.3611     -8.3641
7.9236     8.7006     -8.4587
7.8179     9.0704     -8.5051
7.655      9.4538     -8.4946
7.5263     9.7315     -8.4633
7.298      10.2882    -8.233
7.1645     10.4807    -8.0644
7.0431     10.6739    -7.8582
7.0257     10.8576    -7.6393
6.9076     10.9264    -7.3285
6.9669     11.0225    -7.2306




















































































































































































8.6757     7.3678     -6.1438    RORBIT
8.8045     7.1843     -6.1427
9.0759     7.0343     -6.1836
