UWMA       ZA 1452    Phu104sf
18.9324    11.6455    11.8976    IN
22.7274    11.9614    15.5354    BR
29.0092    12.6954    14.7186    GL
28.926     12.6923    14.2565    NA
32.1363    12.998     9.9847     RH
34.2811    13.2911    7.4723     NS
34.875     13.3098    6.615      PR
34.7614    12.2781    6.7556     R_PR2
30.8516    12.4706    10.776     R_PMS
28.839     9.4749     9.1387     R_ZMI
28.7869    10.6451    12.0626    R_ZMU
28.5585    12.3309    13.1304    R_DA
28.8229    10.8504    14.1982    R_MTI
28.0104    10.9098    15.2247    R_MTS
28.0565    9.2494     13.1237    R_FMO
27.1687    8.8324     13.1607    R_FMT
22.66      8.1364     10.803     R_PO
27.166     8.1428     10.1963    R_ZTS
34.5341    14.3762    6.7331     L_PR2
30.7672    13.3044    10.7834    L_PMS
27.9773    16.052     9.3715     L_ZMI
28.3322    14.7425    12.1187    L_ZMU
28.4494    13.0038    13.135     L_DA
28.2219    14.3242    14.2412    L_MTI
27.7382    14.3014    15.2106    L_MTS
27.2882    15.7743    13.3822    L_FMO
26.3433    16.0875    13.3865    L_FMT
21.9972    15.6776    10.6938    L_PO
26.1534    16.9951    10.4532    L_ZTS
35.1289    14.0187    6.729      O1
26.9751    9.5473     14.2438    O2
24.3862    17.2522    10.4218    O3
19.2043    12.8223    11.5831    O4







































































































































































29.0024    12.681     14.5825    GLRH
28.9791    12.6775    14.3024
28.8947    12.6548    14.1246
28.8659    12.6617    13.9635
28.8598    12.6339    13.7721
28.8387    12.6143    13.5976
28.8382    12.6223    13.417
28.8885    12.6327    13.1865
28.9626    12.6202    13.0052
29.0441    12.657     12.805
29.1632    12.7402    12.6319
29.3036    12.7756    12.3771
29.4288    12.7808    12.2067
29.5827    12.8291    12.0289
29.7209    12.7944    11.8593
29.9056    12.8058    11.6938
30.0554    12.8098    11.5687
30.2491    12.7957    11.3963
30.3976    12.8117    11.2903
30.5545    12.8099    11.1776
30.7491    12.8721    11.0494
30.9465    12.8384    10.9083
31.1165    12.8556    10.795
31.3198    12.8834    10.6426
31.507     12.8846    10.5034
31.6803    12.8986    10.3813
31.8603    12.9253    10.2743
32.021     12.9498    10.1621
32.1309    12.9736    10.0945
32.1626    12.9808    9.9945










































































































































































32.1506    13.0411    10.0464    NOSE
32.1803    12.8517    9.9937
32.2932    12.7093    9.9293
32.3877    12.5674    9.7962
32.4524    12.4241    9.6524
32.6002    12.3252    9.479
32.8064    12.2043    9.2206
32.9858    12.1636    8.9895
33.1678    12.1402    8.848
33.3267    12.1778    8.6927
33.4564    12.2496    8.4918
33.5941    12.3093    8.3786
33.759     12.4067    8.2309
33.8734    12.6144    8.1229
33.9947    12.7956    8.0002
34.1823    12.9675    7.8272
34.2874    13.0746    7.6672
34.3093    13.1932    7.5511
34.296     13.3068    7.4868
34.2824    13.4459    7.6103
34.2757    13.5933    7.8143
34.2109    13.6627    7.9049
34.0867    13.7389    8.0302
33.8867    13.8634    8.1534
33.7357    13.871     8.2443
33.5951    13.9254    8.2934
33.4895    14.0443    8.3805
33.3329    14.0819    8.5125
33.2028    14.1003    8.6288
33.0973    14.1534    8.7699
32.9581    14.1766    8.9245
32.8185    14.1205    9.0476
32.7377    14.0878    9.1601
32.6157    14.0208    9.2535
32.5235    13.9175    9.3466
32.406     13.8106    9.5165
32.3123    13.7313    9.6206
32.2319    13.6629    9.6872
32.1775    13.6178    9.78
32.2075    13.4951    9.8698
32.158     13.3759    9.9073
32.1406    13.2551    10.0235
32.1017    13.1223    10.084
32.1318    13.0381    10.0562




























































































































































34.2558    13.2921    7.5058     NASP-PR
34.4953    13.3214    7.3934
34.6812    13.3181    7.2798
34.8021    13.3314    7.117
34.8809    13.3576    7.02
34.9305    13.3547    6.8636
34.9195    13.3074    6.7426
34.8763    13.3558    6.6215
































































































































































































30.9189    12.4681    10.7506    R-PM/MAX
31.1192    12.4302    10.588
31.3049    12.3806    10.434
31.4795    12.3578    10.3366
31.7141    12.3091    10.1522
31.8755    12.2529    9.9928
32.0208    12.2269    9.8856
32.1482    12.1821    9.7258
32.3663    12.0234    9.5625
32.5419    11.9811    9.4599
32.7192    11.9083    9.2803
32.8689    11.8995    9.1793
32.9796    11.8765    9.0497
33.1455    11.8527    8.837
33.2374    11.8267    8.5864
33.3288    11.8141    8.3281
33.4801    11.7629    8.0223
33.5951    11.7205    7.8357
33.6962    11.6453    7.6119
33.7788    11.6112    7.4963
33.8753    11.5516    7.3001
33.9245    11.5066    7.1177
33.9612    11.6623    6.5988

















































































































































































30.8072    13.326     10.7381    L-PM/MAX
30.9692    13.418     10.6117
31.1587    13.4881    10.4556
31.2726    13.5511    10.3553
31.4327    13.6207    10.2375
31.5557    13.6928    10.1305
31.6552    13.7333    10.0326
31.7663    13.7897    9.9617
31.8871    13.8928    9.8268
32.0421    13.9753    9.6904
32.1747    14.0318    9.6183
32.3105    14.1275    9.4896
32.4238    14.2205    9.3844
32.5974    14.2904    9.2149
32.7067    14.3422    9.0529
32.8212    14.4138    8.833
32.956     14.4812    8.5813
33.1144    14.5725    8.2348
33.2022    14.6441    8.0474
33.3336    14.7158    7.8462
33.3891    14.7974    7.6976
33.3979    14.8978    7.5571
33.4611    14.9211    7.4246
33.4996    15.0506    7.246
33.5628    15.0636    7.0306
33.535     15.025     6.8051
33.4524    14.9235    6.6834













































































































































































30.4522    10.5902    7.1383     ROSTRUM
30.4622    10.6269    7.4415
30.4499    10.6241    7.6337
30.4521    10.7025    7.8758
30.4415    10.9303    7.9184
30.4679    11.1138    8.0506
30.4725    11.22      8.202
30.4877    11.3111    8.4043
30.5538    11.332     8.6737
30.6103    11.3014    8.9013
30.6539    11.2679    9.1632
30.7225    11.2641    9.4013
30.772     11.2158    9.6041
30.835     11.1745    9.8004
30.8992    11.2115    10.0992
30.894     11.4248    10.2459
30.883     11.6933    10.3557
30.9026    11.8825    10.3861
30.8929    11.99      10.4429
30.9249    12.1632    10.5139
30.9312    12.3       10.5797
30.9396    12.4188    10.6759
30.9314    12.4646    10.7252
30.9281    12.6402    10.8547
30.9065    12.8229    10.905
30.876     12.9794    10.9099
30.8328    13.2358    10.8148
30.7794    13.3947    10.701
30.7183    13.5455    10.599
30.7072    13.7021    10.4937
30.7113    13.8835    10.4277
30.6768    14.1032    10.3654
30.641     14.2666    10.3495
30.6221    14.4312    10.2712
30.5907    14.5772    10.154
30.5332    14.6405    9.9511
30.4518    14.585     9.6172
30.4521    14.5269    9.3987
30.4118    14.5208    9.1507
30.3727    14.5017    8.9108
30.3644    14.4373    8.6173
30.2378    14.513     8.3162
30.1845    14.6462    8.1554
30.2696    14.7736    8.0218
30.2461    14.8982    7.9274
30.2375    15.0174    7.8558
30.213     15.1536    7.7509
30.1611    15.21      7.5933
30.1488    15.2172    7.388
30.0973    15.2377    7.2404






















































































































































27.3107    8.8398     13.3767    SUPORB
27.4135    8.9554     13.67
27.4738    9.0737     13.9082
27.5909    9.2061     14.0923
27.7664    9.4237     14.3442
27.8753    9.6852     14.5485
27.9441    9.8757     14.6587
28.0292    10.128     14.8023
27.9087    10.3042    14.928
27.8195    10.5767    15.1066
27.7646    10.7937    15.2159
27.8268    11.006     15.2746
27.9688    11.2401    15.3305
28.099     11.5228    15.3496
28.1795    11.7452    15.3383
28.2211    11.883     15.3516
28.3756    12.103     15.3018
28.5388    12.1827    15.2367
28.6639    12.3524    15.1702
28.7157    12.5621    15.1222
28.6759    12.6903    15.1389
28.5958    12.8167    15.1836
28.448     13.029     15.2491
28.2272    13.1947    15.3412
28.0403    13.2997    15.3911
27.9022    13.5225    15.4119
27.6511    13.8096    15.4163
27.5092    14.1266    15.3632
27.5181    14.3396    15.2735
27.5316    14.5611    15.1499
27.4767    14.7966    15.0191
27.502     15.0149    14.9019
27.4595    15.1342    14.8225
27.414     15.332     14.7274
27.244     15.3743    14.6522
27.1089    15.5741    14.4802
26.9499    15.6939    14.3293
26.8163    15.7393    14.228
26.7295    15.8384    14.0962
26.6029    15.8648    14.0173
26.493     15.9216    13.9154
26.4293    15.948     13.7919
26.387     16.0248    13.6282
26.3193    16.067     13.4637
26.3159    16.078     13.2967



























































































































































28.7612    10.6146    12.0733    RORBIT
28.7332    10.3953    12.1292
28.7005    10.1783    12.2302
28.6248    9.9516     12.3078
28.4855    9.7801     12.4099
28.3323    9.5717     12.5849
28.1979    9.4122     12.7309
28.1167    9.3737     12.8475
28.0476    9.3526     13.0129
28.0172    9.2954     13.2379
28.0914    9.2747     13.4468
28.1907    9.4033     13.7336
28.3335    9.513      13.9413
28.4922    9.8304     14.081
28.7352    10.0567    14.2883
28.8065    10.4678    14.2635
28.7917    10.7649    14.1972
28.7965    11.2074    14.2007
28.7432    11.3868    14.2373
28.6827    11.8173    14.2884
28.6455    11.9807    14.2437
28.6554    12.157     14.0985
28.591     12.23      13.7949
28.5924    12.2738    13.5951
28.5581    12.312     13.4339
28.5551    12.3274    13.2816
28.5462    12.3198    13.1643













































































































































































28.3314    14.7786    12.1327    LORBIT
28.2758    14.9876    12.2105
28.1972    15.1504    12.2777
28.0904    15.2679    12.3711
27.9575    15.4239    12.4752
27.8526    15.5339    12.5767
27.7232    15.6164    12.6809
27.6549    15.7406    12.758
27.511     15.756     12.8852
27.4247    15.8118    13.0178
27.3791    15.8368    13.0998
27.3292    15.8269    13.2369
27.2999    15.7595    13.5094
27.3846    15.6755    13.7759
27.6309    15.6455    14.0338
27.8748    15.477     14.2277
28.1011    15.2229    14.374
28.1765    14.9887    14.3189
28.2552    14.6764    14.2647
28.3555    14.4027    14.245
28.4262    14.1154    14.2527
28.4895    13.8915    14.3229
28.5103    13.6399    14.344
28.5559    13.2698    14.3397
28.562     13.1563    14.1783
28.532     13.0892    13.928
28.4548    13.0148    13.6534
28.4417    12.9891    13.4818
