TMP        SK 560     Phr3stv




















































13.2435    12.3077    5.9436     ROSTRUM
13.2761    12.4479    6.2693
13.3966    12.5705    6.4859
13.4551    12.6175    6.735
13.5665    12.7381    6.9206
13.6421    12.8576    7.1209
13.7232    12.8959    7.3587
13.754     12.9259    7.5065
13.8228    13.0132    7.7657
13.8508    13.0893    7.9553
13.8512    13.1846    8.2278
13.8287    13.2923    8.3982
13.7073    13.3839    8.5934
13.6788    13.4653    8.7847
13.6502    13.6122    8.9378
13.636     13.6799    9.1755
13.7835    13.7925    9.4588
14.0317    13.9178    9.6629
14.2583    13.8683    9.7203
14.4817    13.8927    9.6903
14.7944    13.8652    9.6165
14.9886    13.8738    9.5357
15.2293    13.8602    9.4683
15.3885    13.9101    9.5097
15.6137    13.8791    9.5023
15.8501    13.8806    9.5713
16.0477    13.9228    9.6719
16.3168    13.9591    9.6959
16.5489    13.9794    9.6726
16.8014    13.9143    9.6433
16.9744    13.8575    9.5915
17.136     13.8226    9.5494
17.393     13.7637    9.5766
17.6159    13.803     9.5947
17.7511    13.7669    9.62
17.9359    13.7451    9.5921
18.0346    13.8011    9.6414
18.2401    13.8132    9.6817
18.4586    13.7897    9.6982
18.6308    13.7375    9.6336
18.6862    13.5538    9.6253
18.9083    13.4423    9.4358
19.0094    13.372     9.2257
19.0234    13.2854    9.0435
19.0222    13.2481    8.873
19.0032    13.2526    8.7419
18.9164    13.1279    8.2964
18.7999    13.0015    7.9703
18.7573    12.9473    7.7742
18.7817    12.7558    7.5489
18.8472    12.6382    7.269
18.9497    12.5243    7.1074
19.0394    12.371     6.9287
19.102     12.3276    6.7782
19.1933    12.1952    6.6231
19.2307    12.1044    6.5418
19.2657    11.9363    6.3542
19.2695    11.873     6.2431
19.2435    11.7578    6.1117
19.2463    11.7063    5.947












































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT


































































