UCB LHES   104        Phq
5.6887     3.5638     8.2385
5.6953     3.4708     8.0993
5.7036     3.3372     7.8943
5.695      3.2571     7.75
5.6839     3.188      7.5848
5.6854     3.0733     7.3489
5.6882     3.0058     7.2038
5.6861     2.9269     7.0836
5.6951     2.8574     7.01
5.6932     2.7311     6.8475
5.656      2.6407     6.6602
5.5758     2.6035     6.4866
5.4933     2.5866     6.326
5.4795     2.5365     6.1583
5.514      2.4634     5.9774
5.5275     2.394      5.8653
5.5272     2.3383     5.7544
5.5602     2.2646     5.5666
5.7185     2.2371     5.368
5.6096     2.4758     5.1003













































































































































































4.4547     7.3854     6.4963     ROSTRUM
4.4276     7.2886     6.7412
4.3578     7.2081     6.9587
4.4097     7.0062     7.1833
4.4888     6.8405     7.3877
4.4874     6.735      7.4925
4.5381     6.5814     7.7615
4.5527     6.4634     7.9337
4.5451     6.3516     8.127
4.5334     6.3        8.2794
4.5098     6.2213     8.4982
4.5184     6.1256     8.6043
4.5227     6.0204     8.7441
4.5908     5.9079     8.8858
4.64       5.7342     8.9498
4.7252     5.634      9.0464
4.7969     5.5182     9.1049
4.9065     5.4035     9.2188
4.9867     5.2951     9.3017
5.0716     5.2315     9.3352
5.1918     5.0847     9.3429
5.2976     4.9784     9.3609
5.4018     4.8946     9.384
5.4594     4.8308     9.4036
5.627      4.7302     9.4233
5.8068     4.5872     9.3568
5.8918     4.5262     9.3579
5.9921     4.4618     9.3212
6.1544     4.4091     9.2834
6.3419     4.3391     9.1775
6.538      4.2519     9.0847
6.7046     4.2314     8.9609
6.8645     4.2279     8.8241
6.9926     4.2406     8.6327
7.0816     4.2958     8.4246
7.1597     4.3561     8.2273
7.257      4.398      8.0356
7.3103     4.425      7.8585
7.3853     4.4513     7.6823
7.4861     4.4562     7.5523
7.6366     4.4192     7.4052
7.7339     4.3777     7.3103
7.83       4.3303     7.2301
8.0094     4.3179     7.1231
8.0795     4.2444     6.923
8.0935     4.2417     6.8137
8.1433     4.2632     6.6737
8.159      4.2883     6.5076
8.202      4.3144     6.3812























































































































































5.1239     9.9602     12.8333    SUPORB
5.1246     9.8514     13.0407
5.1913     9.8039     13.2574
5.1512     9.6643     13.4339
5.1948     9.57       13.6117
5.1981     9.3961     13.7581
5.2249     9.2437     13.9053
5.2749     9.0637     14.0247
5.317      8.8775     14.1152
5.3838     8.8548     14.1679
5.4397     8.6081     14.2376
5.5288     8.3855     14.3112
5.6457     8.0753     14.3779
5.8074     7.878      14.4452
5.9691     7.7353     14.5054
6.1068     7.675      14.5644
6.2798     7.598      14.6294
6.4428     7.5064     14.6991
6.5963     7.4724     14.7783
6.7255     7.3626     14.7797
6.8816     7.1487     14.766
6.9008     6.9001     14.6977
6.9703     6.7524     14.6191
7.0009     6.6266     14.5454
7.0737     6.4338     14.4639
7.2023     6.1846     14.4877
7.3961     6.1955     14.4913
7.5387     6.2358     14.5624
7.7018     6.2128     14.6308
7.818      6.2109     14.639
8.0433     6.149      14.6986
8.1828     6.1212     14.719
8.3373     6.0805     14.7336
8.4695     6.0321     14.7166
8.6731     5.9309     14.667
8.8119     5.8753     14.6102
8.9206     5.7025     14.5348
9.0895     5.4631     14.3978
9.1875     5.3515     14.2779
9.3375     5.1806     14.1828
9.6032     5.2222     14.1241
9.732      5.1809     14.0683
9.9465     5.1957     13.9846
10.1556    5.1514     13.8648
10.3138    5.1497     13.768
10.4505    5.2427     13.7218
10.5915    5.1874     13.5276
10.7337    5.2119     13.3678
10.8406    5.2122     13.2072
10.9524    5.2871     13.0641
11.0389    5.3351     12.9303
11.0748    5.3033     12.7217
11.1516    5.3414     12.5297
11.1358    5.323      12.4125
11.1299    5.2717     12.3061

















































































































































5.7038     7.9833     11.4873    RORBIT
5.5487     8.1421     11.5243
