AMNH       169432     Phu1mam6
-0.4816    20.7432    13.8485    IN
-0.0942    15.442     16.4453    BR
0.554      9.1537     15.7573    GL
0.4816     9.0649     15.3038    NA
0.6072     3.6808     9.095      RH
0.7852     0.9896     5.7468     NS
0.8393     0.664      4.0833     PR
-0.3089    0.9223     4.2576     R_PR2
-0.3903    4.6304     9.5439     R_PMS
-3.7246    8.7211     9.0976     R_ZMI
-1.9781    8.9915     13.0671    R_ZMU
0.0061     9.2057     14.2531    R_DA
-1.9359    9.1613     15.5943    R_MTI
-1.954     10.148     16.5125    R_MTS
-3.433     9.7701     14.2412    R_FMO
-4.4237    10.5161    14.1787    R_FMT
-4.7127    16.5357    11.7736    R_PO
-5.5595    10.7705    10.6232    R_ZTS
1.8427     0.9919     4.2405     L_PR2
1.414      4.5202     9.492      L_PMS
4.2154     9.496      8.72       L_ZMI
2.623      9.2783     12.8826    L_ZMU
0.9108     9.2741     14.1577    L_DA
2.8267     9.5553     15.3561    L_MTI
2.7596     10.5085    16.3403    L_MTS
3.8695     10.2213    13.4336    L_FMO
4.9949     11.3066    13.9668    L_FMT
4.007      17.0894    11.2716    L_PO
5.6414     11.2504    10.2531    L_ZTS
1.4793     0.443      3.9825     O1
4.0899     11.3996    15.5666    O2
-5.8044    14.5082    11.0228    O3
0.3762     20.2906    13.3194    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































0.1006     4.2551     12.9023    OP
-0.0661    6.5511     13.2018    BA
-0.1624    13.0749    12.6509    ST
-0.3711    19.5684    13.4209    IV
9999       9999       9999       R_PG
-5.8923    9.4972     11.366     R_ZTI
-2.7675    13.6452    14.1467    R_M3D
-3.0578    16.3135    14.3088    R_M12
-2.9419    18.9943    14.1493    R_MP3
-2.2789    20.9441    13.8885    R_PMI
4.3253     6.731      12.7987    L_PG
5.845      9.7049     11.6017    L_ZTI
2.4226     13.5798    14.3139    L_M3D
2.687      16.3416    14.3224    L_M12
2.3763     18.9073    14.0684    L_MP3
1.619      21.0704    13.6064    L_PMI
0.2216     23.1445    14.5822    O1
4.0012     9.9435     5.7311     O2
-5.6145    7.218      11.102     O3
1.0879     1.5307     10.0197    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
