TMP        AZ 993     Phu134sf
15.1308    20.6077    11.5968    IN
15.2672    16.3199    15.3672    BR
15.0735    9.7116     16.3084    GL
15.055     9.5756     15.9065    NA
15.068     2.7743     10.4043    RH
15.1425    -0.2941    7.418      NS
15.2765    -0.9255    5.8468     PR
14.1015    -0.5964    5.8304     R_PR2
14.4748    5.1834     11.3667    R_PMS
10.7794    8.1789     9.4607     R_ZMI
13.28      9.1055     13.565     R_ZMU
14.7098    9.4956     14.784     R_DA
13.0203    10.0132    16.0935    R_MTI
13.1646    11.4625    16.8368    R_MTS
11.2515    10.4345    14.4331    R_FMO
10.2947    11.1401    13.9921    R_FMT
10.481     16.3212    10.2093    R_PO
9.5358     10.7447    10.6872    R_ZTS
16.3004    -0.5797    6.0149     L_PR2
15.8768    4.3139     10.8648    L_PMS
19.4595    8.2143     9.6748     L_ZMI
17.1133    9.0639     13.5753    L_ZMU
15.5615    9.5276     14.7386    L_DA
17.1072    10.0145    15.9378    L_MTI
16.8924    11.1569    16.8875    L_MTS
18.8004    10.3579    14.368     L_FMO
19.9604    11.2406    14.0009    L_FMT
19.737     16.2044    10.1314    L_PO
20.72      10.7119    10.6908    L_ZTS
13.4978    -0.4652    6.34       O1
18.7441    11.9034    15.8829    O2
9.0232     12.1218    10.5504    O3
15.5159    20.3623    11.3657    O4







































































































































































15.0753    9.6668     16.2075    GLRH
15.0904    9.5829     16.0019
15.0964    9.5455     15.7792
15.0882    9.5154     15.4972
15.0662    9.456      15.277
15.085     9.3725     15.0781
15.0974    9.3091     14.9474
15.0758    9.155      14.725
15.1163    8.9754     14.4723
15.1341    8.73       14.2117
15.1384    8.4982     13.9483
15.1395    8.3263     13.7901
15.145     8.1314     13.6225
15.1147    7.8855     13.4181
15.1075    7.6864     13.2787
15.1079    7.4834     13.1312
15.0993    7.2595     12.9817
15.0841    6.9241     12.7835
15.0841    6.7543     12.6764
15.0858    6.5868     12.6004
15.0716    6.4137     12.4828
15.0924    6.2718     12.4026
15.0992    6.0671     12.2986
15.0839    5.8666     12.1769
15.0864    5.5449     12.0207
15.1229    5.3201     11.8875
15.0739    5.0375     11.7535
15.0677    4.84       11.6383
15.0473    4.6129     11.4987
15.0543    4.4032     11.3827
15.059     4.1153     11.2498
15.0377    3.8786     11.0809
15.0565    3.6597     10.9809
15.0447    3.45       10.8651
15.0608    3.2379     10.7324
15.0561    3.0844     10.6351
15.03      2.9454     10.5231
15.0217    2.8286     10.4469
15.0087    2.7426     10.3717

































































































































































15.0282    2.7515     10.3849    NOSE
14.8529    2.7962     10.2867
14.6688    2.8098     10.1995
14.3295    2.8131     10.1379
14.125     2.7355     9.919
14.0288    2.5686     9.7526
13.9196    2.4254     9.4439
13.8638    2.213      9.2731
13.7703    1.9669     9.049
13.7778    1.7509     8.8088
13.8291    1.5108     8.6157
13.8805    1.1634     8.352
14.0458    1.0299     8.2168
14.0744    0.7688     8.0751
14.2403    0.4887     7.918
14.3349    0.2384     7.8339
14.4873    0.0249     7.7395
14.7353    -0.1766    7.6322
14.8521    -0.3012    7.5513
15.0546    -0.3429    7.4133
15.2225    -0.3364    7.4066
15.3422    -0.4097    7.424
15.385     -0.3465    7.5518
15.5578    -0.2456    7.6824
15.7713    0.0004     7.8226
15.8952    0.2561     7.8655
16.0307    0.4649     7.9446
16.1131    0.7126     8.0099
16.1762    0.9377     8.1689
16.1808    1.11       8.2736
16.2397    1.3587     8.4999
16.2576    1.447      8.5913
16.3002    1.5378     8.684
16.2847    1.6473     8.8123
16.3684    1.817      9.0067
16.4323    2.0022     9.2024
16.4114    2.1346     9.3619
16.3288    2.2696     9.5312
16.2277    2.4333     9.7038
16.1172    2.6304     9.8899
16.0762    2.721      10.0237
15.9764    2.8749     10.2168
15.6301    2.9658     10.4995
15.3335    2.9923     10.4939
15.1038    2.8666     10.4697



























































































































































15.1673    -0.327     7.379      NASP-PR
15.1486    -0.5103    7.1813
15.1503    -0.6371    7.0327
15.1507    -0.6992    6.8339
