AMNH       81811      phu3ms8.xls
24.6173    22.5367    -15.4394   IN
19.9832    18.7772    -17.8753   BR
14.5699    14.6234    -15.6594   GL
14.5786    14.7343    -14.9782   NA
11.2559    11.6566    -7.9141    RH
9.0182     9.7047     -3.6835    NS
8.9324     9.6723     -2.2494    PR
9.8749     9.1815     -2.3894    R_PR2
12.4205    11.5203    -8.5558    R_PMS
17.7978    11.6708    -8.7539    R_ZMI
16.4037    13.2593    -12.7892   R_ZMU
15.3107    14.5603    -13.6935   R_DA
16.411     12.9993    -15.4947   R_MTI
16.9839    13.9013    -16.7064   R_MTS
18.0932    12.5629    -14.2493   R_FMO
19.3476    12.2337    -14.1047   R_FMT
24.6608    16.6808    -12.4241   R_PO
20.5685    11.8911    -10.7347   R_ZTS
8.5487     10.5845    -2.2972    L_PR2
11.5955    13.0595    -8.8945    L_PMS
12.3495    18.337     -8.7704    L_ZMI
13.5688    16.7773    -12.7947   L_ZMU
14.6511    15.3728    -13.9786   L_DA
13.3616    16.7379    -15.4338   L_MTI
14.2266    17.1192    -16.6479   L_MTS
13.3494    18.5345    -14.1822   L_FMO
13.2751    19.7852    -13.958    L_FMT
18.7166    23.9117    -12.4582   L_PO
13.1722    21.0523    -10.6317   L_ZTS
8.4478     9.8503     -1.7453    O1
12.5025    18.9892    -11.4215   O2
16.3449    23.6168    -10.9478   O3
21.8224    22.9922    -15.2562   O4







































































































































































14.5731    14.5888    -15.4401   GLRH
14.5812    14.6014    -15.2546
14.6028    14.6777    -15.0625
14.695     14.7236    -14.7353
14.6945    14.8036    -14.5774
14.7521    14.8364    -14.2737
14.7541    14.8387    -13.9799
14.7467    14.7881    -13.7973
14.6775    14.7582    -13.5089
14.5807    14.7215    -13.288
14.5105    14.6119    -13.0305
14.4001    14.5431    -12.7914
14.3193    14.4427    -12.5725
14.1961    14.3628    -12.3323
14.0554    14.2206    -12.0816
13.9241    14.0943    -11.8771
13.7796    13.9958    -11.6873
13.7038    13.9183    -11.5643
13.5873    13.8378    -11.3267
13.4538    13.7195    -11.1705
13.3601    13.6182    -11.0348
13.2392    13.5374    -10.889
13.1239    13.3678    -10.6833
13.0092    13.2918    -10.5611
12.8779    13.1573    -10.4186
12.7532    13.0611    -10.2619
12.576     12.9436    -10.0647
12.4481    12.7891    -9.8866
12.2742    12.6265    -9.6254
12.1648    12.5197    -9.4842
12.0257    12.3831    -9.2632
11.9089    12.2762    -9.129
11.7569    12.1764    -8.9613
11.6797    12.0415    -8.8007
11.5556    11.9399    -8.6099
11.454     11.863     -8.4483
11.3597    11.7659    -8.2568
