NMNH       477331     Prv1stv
-1.3814    8.8314     5.8764     IN
-1.4386    5.4113     7.9039     BR
-1.4106    1.1686     5.9789     GL
-1.3723    1.1938     6.0054     NA
-1.348     0.5782     4.8103     RH
-1.3614    0.2921     3.361      NS
-1.3196    0.171      2.6551     PR
-1.7915    0.1961     2.7351     R_PR2
-1.5629    0.9768     5.428      R_PMS
-3.5372    1.8349     3.6332     R_ZMI
-3.0903    1.4004     4.2557     R_ZMU
-1.7712    1.5635     5.6349     R_DA
-3.0507    1.8712     6.2714     R_MTI
-3.0189    1.9953     6.595      R_MTS
-3.9398    2.1182     5.2932     R_FMO
-4.3469    2.602      5.6692     R_FMT
-4.1565    6.1775     4.315      R_PO
-5.0422    3.6845     3.9154     R_ZTS
-0.8734    0.1954     2.7652     L_PR2
-1.0941    0.9944     5.3676     L_PMS
0.7371     1.8557     3.601      L_ZMI
0.4036     1.3597     4.2767     L_ZMU
-0.967     1.5206     5.4386     L_DA
0.1766     1.8061     6.328      L_MTI
0.0689     1.9263     6.6516     L_MTS
1.1627     2.147      5.2958     L_FMO
1.6154     2.6151     5.3891     L_FMT
1.2293     6.1706     4.3786     L_PO
2.159      3.6339     4.008      L_ZTS
-0.8014    0.2455     3.2462     O1
-3.8758    2.6896     6.2413     O2
2.353      4.7726     3.8904     O3
-2.5366    8.5038     5.7816     O4







































































































































































-1.3808    1.1456     5.9401     GLRH
-1.3648    1.0305     5.7139
-1.3365    0.9265     5.5411
-1.3438    0.8235     5.3801
-1.3332    0.7283     5.204
-1.3313    0.6254     5.0233
-1.3458    0.5567     4.8405

































































































































































































-1.3435    0.5592     4.8176     NOSE
-1.4741    0.5924     4.81
-1.6595    0.6836     4.7339
-1.756     0.6984     4.623
-1.8163    0.6877     4.4295
-1.8336    0.6603     4.2249
-1.8231    0.6068     4.0495
-1.8069    0.539      3.8511
-1.7516    0.496      3.713
-1.6411    0.4053     3.589
-1.528     0.3654     3.4982
