AMNH       169432     Phu1mam9
1.7226     26.5558    13.6715    IN
2.0619     21.4283    16.3853    BR
2.4093     15.0375    15.9264    GL
2.3904     14.9324    15.3825    NA
2.4777     9.3859     9.3054     RH
2.6111     6.5902     6.0158     NS
2.6509     6.2599     4.3785     PR
1.5421     6.528      4.5101     R_PR2
1.4987     10.3435    9.7389     R_PMS
-1.8151    14.5687    9.0536     R_ZMI
0.0083     14.7811    13.131     R_ZMU
1.9372     15.0302    14.3138    R_DA
-0.1146    15.1644    15.6129    R_MTI
-0.0521    16.0809    16.5867    R_MTS
-1.4595    15.6565    14.2712    R_FMO
-2.4791    16.3781    14.1808    R_FMT
-2.6219    22.3264    11.6628    R_PO
-3.555     16.5541    10.6249    R_ZTS
3.7389     6.5997     4.5199     L_PR2
3.3806     10.3053    9.7114     L_PMS
6.2028     15.1683    8.8392     L_ZMI
4.5639     15.0361    13.0063    L_ZMU
2.8927     15.127     14.2378    L_DA
4.8804     15.4517    15.4437    L_MTI
4.849      16.3581    16.4185    L_MTS
5.9151     15.9721    13.6276    L_FMO
6.968      17.1268    14.0914    L_FMT
6.1854     22.8       11.2393    L_PO
7.7429     17.0987    10.3514    L_ZTS
3.4934     6.0537     4.4936     O1
5.9667     17.1374    15.8222    O2
-3.6239    20.5995    11.0719    O3
-0.5603    25.1614    12.8649    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































2.2849     10.2095    12.3256    OP
2.0089     12.3946    12.7617    BA
1.8415     18.9371    12.5973    ST
1.5821     25.4101    13.7688    IV
9999       9999       9999       R_PG
-3.9068    15.3437    11.1453    R_ZTI
-0.7418    19.2989    14.1396    R_M3D
-1.0829    22.0119    14.4003    R_M12
-1.0258    24.7336    14.3896    R_MP3
-0.4734    26.6141    14.2434    R_PMI
6.3934     12.6655    12.3336    L_PG
7.8797     15.7889    11.3104    L_ZTI
4.4685     19.5457    14.2938    L_M3D
4.6491     22.2012    14.4469    L_M12
4.2606     24.7541    14.4537    L_MP3
3.5678     26.7585    14.0592    L_PMI
2.2848     28.7353    14.9262    O1
5.6887     16.4221    5.2487     O2
-3.4849    12.8224    10.6624    O3
-0.0331    8.3438     9.4947     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
