UWMA       ZA 98      Phu62stv
9999       9999       9999       IN
9999       9999       9999       BR
13.0743    13.5643    16.5993    GL
12.9658    13.4792    16.195     NA
8.7381     9.1205     10.0826    RH
6.7315     6.6545     6.4052     NS
6.405      6.4095     5.2196     PR
5.7163     7.3136     5.4389     R_PR2
9.6661     10.8862    11.2102    R_PMS
9.3033     15.1511    10.1078    R_ZMI
11.2038    14.4995    13.6162    R_ZMU
12.4484    13.6803    14.5032    R_DA
11.6443    15.0201    16.0496    R_MTI
12.2508    15.7476    16.8446    R_MTS
10.8517    16.4423    14.7325    R_FMO
10.5212    17.5779    14.3657    R_FMT
13.8482    21.4191    11.0138    R_PO
9.6385     17.8608    11.2323    R_ZTS
7.436      5.8811     5.5292     L_PR2
10.3775    10.0224    11.108     L_PMS
14.8771    10.0764    10.143     L_ZMI
14.2008    11.7768    13.544     L_ZMU
13.2366    13.0215    14.5898    L_DA
14.628     12.2135    15.968     L_MTI
15.2011    12.7306    16.7652    L_MTS
16.1147    11.679     14.7237    L_FMO
17.3427    11.604     14.481     L_FMT
21.0059    15.3726    11.1212    L_PO
17.4817    10.4536    11.1506    L_ZTS
5.6067     6.5982     4.8874     O1
11.0826    17.4403    14.9506    O2
19.2303    11.356     10.8219    O3
20.6001    18.1628    10.3279    O4







































































































































































13.0492    13.5531    16.5394    GLRH
12.9614    13.5431    16.3373
12.926     13.5083    16.1137
12.8817    13.4343    15.9574
12.8278    13.396     15.8153
12.8126    13.3651    15.5649
12.7592    13.344     15.1165
12.7282    13.285     14.9351
12.685     13.2259    14.7695
12.66      13.1549    14.6365
12.5478    13.1344    14.4698
12.4781    13.0007    14.2797
12.4017    12.8936    14.1187
12.3075    12.824     14.0008
12.3501    12.787     13.9993
12.2181    12.6544    13.804
12.0997    12.498     13.6548
11.9506    12.3509    13.4849
11.8192    12.2321    13.3174
11.6733    12.116     13.1783
11.5178    11.9827    13.0527
11.3733    11.8608    12.8814
11.2646    11.7358    12.7488
11.1154    11.5581    12.588
10.9704    11.3943    12.4308
10.8275    11.2451    12.3006
10.6709    11.1209    12.1566
10.592     11.0102    12.0619
10.3182    10.8657    11.8068
10.1246    10.5565    11.6157
9.9471     10.3823    11.462
9.8089     10.2236    11.3251
9.6959     9.9913     11.1719
9.5347     9.8831     11.0477
9.3796     9.7705     10.9012
9.2558     9.5901     10.7284
9.1286     9.4395     10.5466
9.027      9.3562     10.3828
8.8962     9.2363     10.2629
8.8226     9.1674     10.1954
8.7278     9.0917     10.0566































































































































































8.7506     9.089      10.0556    NOSE
8.5782     9.2767     10.0524
8.4092     9.3493     10.0212
8.2975     9.3836     9.9249
8.2238     9.4644     9.812
8.0314     9.4112     9.5731
7.7831     9.3557     9.3743
7.6735     9.2766     9.2149
7.4654     9.2331     8.9879
7.3401     9.1656     8.8705
7.2054     9.1348     8.6784
7.0588     9.048      8.5075
6.8655     8.9546     8.3348
6.7285     8.8774     8.1103
6.6283     8.7061     7.9414
