AMNH       81811      Phu3mic



























































































































































8.2903     8.6034     -11.536    R-PM/MAX
8.1637     8.4862     -11.382
8.0641     8.3945     -11.255
7.971      8.3256     -11.1533
7.835      8.2498     -11.0175
7.7061     8.1409     -10.8435
7.6151     8.0659     -10.7115
7.4624     7.9588     -10.5607
7.327      7.8737     -10.4295
7.113      7.726      -10.2905
6.994      7.6717     -10.2316
6.8247     7.5964     -10.0821
6.7079     7.523      -9.945
6.5996     7.4604     -9.7303
6.5472     7.4273     -9.5706
6.4989     7.4194     -9.4339
6.443      7.3582     -9.2286
6.3892     7.3331     -9.0392
6.3132     7.3126     -8.8984
6.2542     7.2498     -8.7009
6.1274     7.2651     -8.5483
6.0513     7.2738     -8.3615
5.9734     7.1757     -8.1304
5.8704     7.1508     -7.9818
5.7989     7.1264     -7.8624
5.705      7.1142     -7.629
5.6774     7.2039     -7.4887
5.6539     7.2061     -7.3405
5.6261     7.2109     -7.185
5.5985     7.2263     -7.0534
5.5695     7.2583     -6.9132
5.5966     7.2948     -6.7147
5.5984     7.3353     -6.6155
5.6251     7.3147     -6.5073
5.6628     7.2824     -6.3589
5.7289     7.3218     -6.2888




































































































































































9.7853     7.7053     -11.4199   L-PM/MAX
9.7354     7.588      -11.3237
9.7057     7.463      -11.2272
9.6965     7.3712     -11.1058
9.6663     7.2237     -10.9785
9.6515     7.1293     -10.8973
9.6346     7.0362     -10.7941
9.6085     6.9416     -10.7263
9.5679     6.7844     -10.6012
9.5299     6.6271     -10.5219
9.5003     6.4004     -10.4409
9.5243     6.2604     -10.3295
9.6017     6.1012     -10.1673
9.6162     5.9487     -9.8901
9.6157     5.8931     -9.7275
9.6394     5.8401     -9.5821
9.6481     5.8148     -9.4769
9.6497     5.7376     -9.3206
9.6341     5.68       -9.1409
9.6197     5.6201     -8.9422
9.5616     5.5388     -8.7149
9.535      5.494      -8.6278
9.5244     5.4608     -8.5303
9.5985     5.4121     -8.3916
9.5939     5.2736     -8.1942
9.6801     5.2069     -8.0155
9.7416     5.1624     -7.8639
9.7928     5.0748     -7.6441
9.8242     4.9565     -7.4488
9.9144     4.9523     -7.2528
9.9083     4.9355     -7.0353
9.9188     4.9151     -6.7527
9.9354     4.9052     -6.5638
9.9524     4.9573     -6.3149
9.9075     5.0459     -6.1297
9.8605     5.0342     -6.185
































































































































