UWMA       MP208      Ppb8stv
30.531     -0.0168    5.3228
30.4275    0.0907     5.5096
30.3246    0.1745     5.6586
30.1977    0.2653     5.8711
30.1365    0.3628     6.0001
30.0818    0.4792     6.1108
30.0276    0.5591     6.1769
29.9531    0.7273     6.2376
29.8704    0.979      6.1215
29.9193    1.1359     5.906
29.8744    1.2553     5.6264
29.822     1.3277     5.4503
29.8036    1.4121     5.3023
29.7667    1.4956     5.1369
29.7243    1.5892     4.9368
29.659     1.7408     4.7117
29.603     1.9457     4.5643
29.6112    2.0152     4.3769
29.5612    2.0756     4.2206
29.5177    2.2581     3.9176
29.5303    2.3935     3.6826
29.5178    2.5261     3.4574
29.517     2.6643     3.2474
29.5629    2.7331     3.0733
29.5886    2.78       2.8433
29.7012    2.7783     2.5508


































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































32.1064    0.9138     8.2083     OP
30.4313    0.4796     8.4175     BA
26.2201    -0.926     8.3702     ST
23.5927    -1.6172    9.0157     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
27.7394    -2.3986    8.6156     R_M3D
25.7529    -3.2701    9.0391     R_M12
23.773     -3.134     9.1835     R_MP3
23.0204    -2.9702    9.4964     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
25.7488    1.3283     8.4634     L_M3D
24.1189    0.8048     8.944      L_M12
22.8897    -0.0504    9.0831     L_MP3
22.4507    -0.7636    9.4753     L_PMI
22.7552    -2.9358    8.8095     O1
25.0844    2.1932     7.2966     O2
27.8814    -3.7154    4.0326     O3
32.7569    3.6026     5.9776     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































27.6242    -2.6822    8.5094     R-ALV
27.3841    -2.9788    8.6614
27.0835    -3.1726    8.7444
26.8445    -3.2797    8.804
26.5383    -3.3494    8.8604
26.2718    -3.4054    8.9459
26.1139    -3.384     8.9458
25.6331    -3.3448    8.8875
25.3005    -3.3234    8.8645
24.9952    -3.2644    8.853
24.7893    -3.3078    8.8734
24.5039    -3.3145    8.9228
24.3502    -3.2553    8.9136
23.7861    -3.2537    8.9426


























































































































































































25.8291    1.1391     8.4623     L-ALV
25.6099    1.1684     8.6069
25.3123    1.1037     8.7497
25.0065    1.114      8.7869
24.6746    0.9974     8.8727
24.3382    0.894      8.8139
24.0737    0.7454     8.8631
23.8699    0.5993     8.8444
23.6355    0.4744     8.8235
23.4178    0.2847     8.8678
23.1849    0.1484     8.9445
22.9927    0.0153     8.9975
22.8489    -0.098     9.0039
22.736     -0.1576    8.9439
