UCMVZ      81571      Phu48stv
7.8702     7.6226     10.2755
7.7639     7.5971     10.1665
7.6921     7.5789     10.0954
7.5892     7.5454     10.0083
7.5058     7.5157     9.9207
7.3971     7.4856     9.8378
7.2653     7.4398     9.7478
7.1795     7.4278     9.6519
7.0433     7.3796     9.5513
6.9284     7.3474     9.4555
6.8426     7.3346     9.3729
6.7277     7.3003     9.2754
6.6038     7.29       9.1368
6.4857     7.2653     9.0011
6.3915     7.272      8.9135
6.3435     7.2697     8.7803
6.2445     7.2076     8.6172
6.1735     7.1836     8.4005
6.1516     7.1734     8.2925
6.1086     7.1454     8.2259
6.0697     7.1471     8.1219
6.0548     7.1218     8.0205
5.9701     7.0675     7.8357
5.9038     7.0448     7.6774
5.847      7.0213     7.5483
5.815      7.025      7.4086
5.7776     7.0362     7.197
5.6879     6.9802     7.0615
5.6668     7.0272     6.9092
5.5992     7.0745     6.7444
5.5071     7.0206     6.5377
5.4093     7.0787     6.3522
5.3498     7.1309     6.0745
5.29       7.1336     5.9338
5.264      7.1481     5.7885
5.2558     7.1642     5.6658
5.2532     7.2015     5.5026
5.2549     7.2107     5.3548
5.2458     7.1036     5.2191
5.3427     7.0492     5.0744






















































































































































9.4803     6.8998     11.0045    L-PM/MAX
9.4029     6.7446     10.8374
9.3302     6.6023     10.6542
9.2629     6.4906     10.5331
9.1985     6.3627     10.4179
9.1085     6.2529     10.3218
9.0492     6.1694     10.2237
9.0097     6.0703     10.0975
8.9293     5.9413     9.9996
8.8687     5.8498     9.8744
8.8039     5.7409     9.7882
8.7341     5.6658     9.6905
8.6714     5.5682     9.5689
8.6385     5.5219     9.4632
8.6102     5.3957     9.3378
8.5535     5.2615     9.2077
8.5058     5.139      9.0947
8.454      5.0402     9.0057
8.4254     4.935      8.9245
8.4006     4.8777     8.8225
8.369      4.7888     8.6608
8.2853     4.7002     8.4776
8.1866     4.6064     8.2958
8.1672     4.5979     8.1314
8.1264     4.5517     7.9788
8.0859     4.5006     7.8478
8.02       4.4612     7.6953
7.9875     4.391      7.5434
7.9513     4.3611     7.3899
7.9296     4.2754     7.2475
7.8975     4.2179     7.1668
7.8063     4.0987     6.8724
7.727      4.0187     6.647
7.6984     3.8821     6.4178
7.7434     3.8542     6.2933
7.878      3.8005     6.0808
7.8883     3.7595     5.8765
7.9239     3.728      5.6185
7.9194     3.7124     5.4144
7.9019     3.7039     5.2582
7.8427     3.8168     5.0807
