FMNH       27191      Phh6stv
5.6051     6.6339     6.2304
5.5424     6.5977     6.0376
5.4411     6.4967     5.8213
5.3645     6.4021     5.567
5.3407     6.3762     5.3816
5.3023     6.2755     5.169
5.4165     6.2926     4.7435
5.4873     6.191      4.4786
5.6137     6.1005     4.222















































































































































































8.2293     6.3267     9.7129     L-PM/MAX
8.2454     6.1883     9.5772
8.2322     5.9954     9.4135
8.1767     5.8747     9.2604
8.1646     5.7604     9.1402
8.2021     5.6467     9.0356
8.2489     5.5005     8.8777
8.2359     5.3577     8.7342
8.2418     5.2447     8.6531
8.199      5.0332     8.5042
8.174      4.8964     8.3379
8.1133     4.77       8.1648
8.0998     4.6471     8.0269
8.1157     4.5409     7.8346
8.1285     4.4472     7.6348
8.1794     4.3945     7.4884
8.2374     4.3355     7.3593
8.2382     4.2996     7.2359
8.2907     4.2401     7.1234
8.344      4.1677     6.9935
8.3613     4.1073     6.8002
8.3684     3.9975     6.526
8.3621     3.9585     6.3315
8.3416     3.8945     6.1944
8.3522     3.8461     6.0419
8.2881     3.788      5.8055
8.313      3.7232     5.6048
8.3118     3.6878     5.5172
8.3512     3.5946     5.0801
8.2816     3.6103     4.8743
8.1766     3.6436     4.7978
8.1844     3.8323     4.5009
8.2734     3.9052     4.3892







































































































































































7.1299     9.4619     5.8374     ROSTRUM
7.0848     9.3922     5.9886
6.9988     9.3449     6.1468
6.9978     9.2637     6.3443
7.09       9.1646     6.4429
7.1795     9.0493     6.6432
7.2076     8.9222     6.8764
7.1528     8.8091     7.0576
