LSZT       R13        Phu182sf
-0.2891    21.8181    14.1515    IN
-0.014     16.6934    16.5186    BR
0.3684     9.7012     15.6169    GL
0.3894     9.7116     15.1162    NA
0.5157     4.1311     9.4763     RH
0.7707     1.0366     6.0706     NS
0.7828     0.6715     4.7903     PR
-0.0022    0.8839     5.0364     R_PR2
-0.29      5.46       9.8527     R_PMS
-3.5713    9.2534     8.3707     R_ZMI
-1.7633    9.677      12.9081    R_ZMU
-0.0665    9.7145     13.9904    R_DA
-1.7837    9.8684     15.3045    R_MTI
-1.4058    10.5393    16.4962    R_MTS
-3.3857    10.7078    13.7016    R_FMO
-4.3098    11.3176    13.64      R_FMT
-4.5164    17.35      11.4484    R_PO
-5.0197    11.3493    10.1255    R_ZTS
1.6417     0.8748     4.6067     L_PR2
1.2738     5.7538     10.0981    L_PMS
4.4854     9.4565     8.6765     L_ZMI
2.437      9.8438     12.9694    L_ZMU
0.9838     9.8711     14.0074    L_DA
2.5112     10.0719    15.4393    L_MTI
2.3789     10.7909    16.5206    L_MTS
4.1043     11.2234    13.9637    L_FMO
4.8141     11.7       13.7935    L_FMT
4.6908     18.0752    11.8432    L_PO
5.7309     11.8957    10.481     L_ZTS
-0.1518    0.8763     6.0686     O1
3.3406     11.8538    15.9232    O2
-5.6338    13.5638    10.4095    O3
0.3497     21.5551    13.7932    O4







































































































































































0.3786     9.7008     15.6274    GLRH
0.4385     9.6914     15.3584
0.4428     9.709      15.1661
0.418      9.7094     15.0015
0.4219     9.7274     14.7241
0.4239     9.6706     14.4624
0.4418     9.5662     14.232
0.4566     9.4428     13.998
0.4552     9.2217     13.7206
0.4286     9.0173     13.5003
0.4221     8.8019     13.2609
0.4188     8.6299     13.0968
0.4434     8.4495     12.9236
0.4267     8.268      12.7658
0.4322     8.0764     12.5623
0.4595     7.8693     12.3522
0.4523     7.671      12.1677
0.4197     7.5116     12.0052
0.4101     7.3261     11.8609
0.3838     7.1112     11.7007
0.4463     6.9375     11.5325
0.4431     6.757      11.4233
0.4627     6.5626     11.2981
0.4538     6.3849     11.1394
0.4562     6.1073     10.9358
0.4944     5.8904     10.812
0.5331     5.6628     10.6311
0.5188     5.4757     10.4868
0.5294     5.2738     10.345
0.5545     5.0255     10.1889
0.5475     4.7895     10.0634
0.6072     4.61       9.9303
0.5816     4.5017     9.8538
0.5978     4.3741     9.7343
0.6044     4.2408     9.6402
0.5946     4.2094     9.5916
0.5819     4.1608     9.5236



































































































































































0.5733     4.138      9.4814     NOSE
0.3615     4.1378     9.4313
0.1636     4.1129     9.3529
0.0263     3.9922     9.2404
-0.1283    3.9536     8.992
-0.2567    3.7651     8.8359
-0.3557    3.5716     8.661
-0.4352    3.3891     8.4902
-0.5083    3.2124     8.2352
-0.5713    3.0058     7.9779
-0.5672    2.81       7.7706
-0.5276    2.6755     7.5864
-0.4915    2.4879     7.4263
-0.4538    2.3684     7.3137
-0.4087    2.2394     7.2242
-0.3815    2.0455     7.0774
-0.3788    1.8596     6.9226
-0.3549    1.6393     6.7757
-0.3094    1.5459     6.7265
-0.212     1.3896     6.6187
-0.0976    1.2379     6.5686
0.0297     1.1488     6.5031
0.2104     1.0513     6.3373
0.3349     0.9748     6.2104
0.5282     1.0515     6.121
0.7106     1.1256     6.1147
0.9699     1.1363     6.1355
1.1708     1.0765     6.2068
1.3927     1.0598     6.4533
1.5601     1.2367     6.582
1.6446     1.4402     6.7119
1.7509     1.6486     6.8317
1.8055     1.8671     6.9379
1.7743     2.0788     7.0856
1.7819     2.2047     7.2171
1.7589     2.4435     7.3562
1.786      2.6707     7.5047
1.9047     2.8075     7.7815
1.9169     3.0485     8.0135
1.8278     3.2265     8.1881
1.7446     3.4231     8.3634
1.7709     3.5277     8.5271
1.7405     3.6397     8.6245
1.6543     3.7566     8.771
1.6153     3.8332     8.8506
1.4635     4.0176     8.9944
1.364      4.1593     9.1701
1.0876     4.1247     9.2845
0.9377     4.1284     9.3228
0.5676     4.1395     9.4781































































































































