FMNH       27192      Phh7stv
16.5031    15.8519    15.448     IN
12.3161    11.0928    16.5453    BR
8.9323     7.1201     13.6973    GL
9.1154     7.2066     13.1033    NA
6.9725     5.034      8.1541     RH
5.899      3.6505     5.369      NS
5.7958     3.5313     3.6595     PR
5.157      4.2671     3.803      R_PR2
8.1582     6.8765     9.6728     R_PMS
7.1948     11.0255    8.2583     R_ZMI
8.213      9.006      11.3692    R_ZMU
9.1062     7.7899     12.3681    R_DA
7.7729     8.36       13.4033    R_MTI
8.1961     8.6823     14.5677    R_MTS
7.3261     10.3389    12.6947    R_FMO
6.8581     11.1964    13.309     R_FMT
10.4881    16.3333    12.2544    R_PO
6.4178     13.0622    10.0043    R_ZTS
6.6287     2.9877     3.744      L_PR2
8.9122     6.4812     9.6475     L_PMS
13.3761    6.0112     8.4079     L_ZMI
10.9321    6.7951     11.3336    L_ZMU
9.656      7.4152     12.4975    L_DA
10.9906    5.9897     13.4024    L_MTI
11.2738    6.3772     14.4008    L_MTS
12.4955    6.1968     12.6055    L_FMO
13.6389    5.887      12.9328    L_FMT
17.5073    10.2109    11.8863    L_PO
15.4356    6.2839     9.6072     L_ZTS
5.9238     2.8345     3.9006     O1
7.6692     10.0388    14.2249    O2
17.5816    7.6343     10.9345    O3
16.8028    15.0635    14.9324    O4







































































































































































8.9449     7.0724     13.6595    GLRH
8.9845     7.1212     13.4338
9.0717     7.1354     13.2225
9.0507     7.2268     13.0959
9.0902     7.2587     12.8852
9.1205     7.2917     12.7438
9.1679     7.3298     12.5639
9.1702     7.3689     12.3961
9.164      7.4082     12.2745
9.1797     7.4187     12.14
9.1774     7.4129     11.9938
9.1845     7.395      11.7512
9.1345     7.3675     11.6452
9.1219     7.3342     11.5212
9.0803     7.3292     11.4033
9.0479     7.2766     11.2145
8.9944     7.1997     11.0485
8.9249     7.1721     10.9214
8.872      7.1129     10.7553
8.8325     7.0565     10.6342
8.772      6.9973     10.5124
8.6977     6.929      10.4014
8.66       6.8383     10.2753
8.6126     6.7257     10.1679
8.5347     6.6709     10.063
8.3821     6.5238     9.9057
8.2797     6.4205     9.7702
8.1946     6.323      9.6699
8.1094     6.2386     9.56
8.0697     6.1633     9.5078
7.9863     6.0502     9.397
7.8774     5.9845     9.2912
7.8006     5.8624     9.2168
7.6789     5.7522     9.0837
7.5757     5.6882     8.9544
7.4285     5.5015     8.8077
7.3792     5.3891     8.7324
7.3082     5.2624     8.5919
7.2422     5.1921     8.4787
7.1687     5.1295     8.3925
7.0938     5.0668     8.3072
7.0404     5.0517     8.2329
6.9962     4.9942     8.144





























































































































































6.9925     5.0205     8.1538     NOSE
6.8425     5.074      8.1269
6.7314     5.2128     8.164
6.6602     5.3295     8.1445
6.5953     5.4843     8.0921
6.5124     5.5253     7.8843
6.3751     5.4843     7.7536
6.2357     5.4959     7.6116
6.1213     5.477      7.4585
5.9611     5.4868     7.2949
5.824      5.4691     7.0859
5.7029     5.3261     6.9394
5.5773     5.2552     6.7521
5.5553     5.152      6.5761
5.5352     5.0626     6.4396
5.4966     4.9994     6.3311
5.4598     4.9461     6.2284
5.4545     4.9013     6.1214
5.4153     4.7697     5.9335
5.3901     4.6091     5.8433
5.3691     4.4925     5.7802
5.3354     4.3194     5.7032
5.3559     4.2        5.6438
5.5119     4.021      5.5723
5.6435     3.9045     5.5059
5.7792     3.7931     5.407
5.9184     3.7398     5.3779
5.9999     3.5913     5.3996
6.115      3.4862     5.4798
6.2424     3.3978     5.5671
6.3843     3.2708     5.6636
6.5345     3.2091     5.7375
6.6813     3.2066     5.8052
6.8305     3.2207     5.9032
6.9486     3.2191     6.0189
7.0711     3.2047     6.2301
7.1668     3.2677     6.4
7.2536     3.3983     6.5734
7.3386     3.4398     6.7225
7.4329     3.5585     6.8982
7.5824     3.6109     7.1214
7.5903     3.7933     7.2739
7.6242     4.0031     7.4739
7.626      4.1652     7.6144
7.6276     4.2213     7.7066
7.6281     4.3499     7.8107
7.635      4.4433     7.9456
7.6249     4.5496     8.0146
7.5826     4.6627     8.1398
7.4339     4.7254     8.1786
7.2572     4.7704     8.2138
7.1066     4.918      8.1743
7.0212     4.9898     8.1422


















































































































