NME        AL363-A1   Par1sf
30.16504   -8.24484   10.80516
30.23108   -8.25754   10.71372
30.33014   -8.23468   10.61974
30.42666   -8.25246   10.42162
30.52826   -8.33374   10.21842
30.60446   -8.37692   10.09396
30.68574   -8.44804   9.91108
30.75686   -8.50646   9.71804
30.84068   -8.53186   9.5631
30.90926   -8.59028   9.42086
30.98038   -8.62584   9.2964
31.04642   -8.65124   9.09828
31.16834   -8.65378   8.9281
31.33344   -8.70204   8.71728
31.44266   -8.75792   8.60552
31.57728   -8.75284   8.42518
31.6738    -8.84428   8.29056
31.82112   -8.81888   8.0772
31.9151    -8.83666   7.88416
31.99892   -8.85952   7.74192
32.04972   -8.86714   7.66064
32.12338   -8.88746   7.5565
32.21736   -8.90016   7.32536
32.22752   -8.97128   7.18566
32.31896   -8.97128   7.01294
32.30626   -9.03986   6.9088
32.3088    -9.12368   6.78434
32.3088    -9.19734   6.64972
32.35706   -9.26592   6.47446
32.36976   -9.19226   6.41096




































































































































































29.50718   -7.29742   11.16838   L-PM/MAX
29.66466   -7.23646   11.05916
29.76372   -7.2136    10.91692
29.89072   -7.1882    10.8077
29.94406   -7.18058   10.71372
30.01772   -7.17804   10.55624
30.09392   -7.15264   10.43432
30.16758   -7.13232   10.3251
30.2768    -7.11454   10.12444
30.3149    -7.05612   10.03554
30.3149    -7.00278   9.90346
30.36316   -6.94436   9.76884
30.43428   -6.88848   9.58596
30.48      -6.79958   9.43102
30.53842   -6.7564    9.31418
30.59684   -6.69036   9.17448
30.68574   -6.60146   9.0678
30.78988   -6.54812   8.93826
30.85592   -6.45922   8.84428
30.92958   -6.42112   8.72998
31.04642   -6.35508   8.58774
31.15056   -6.2865    8.40486
31.23438   -6.24332   8.28294
31.31312   -6.19252   8.16102
31.36138   -6.1849    8.0772
31.4325    -6.15188   7.95528
31.4579    -6.15442   7.91464
31.5214    -6.04012   7.73684
31.57728   -6.00456   7.61492
31.64078   -5.95884   7.4422
31.71952   -5.9563    7.2771
31.75762   -5.93852   7.1755
31.68396   -5.83946   7.0739
31.68904   -5.75056   6.93928
31.70428   -5.715     6.8072
31.71444   -5.67436   6.68782
31.6992    -5.63118   6.54812
31.6611    -5.63372   6.37794


































































































































































29.51226   -10.43686  6.42366    ROSTRUM
29.53512   -10.45972  6.50748
29.60878   -10.47242  6.66496
29.6418    -10.47242  6.81736
29.65196   -10.4267   6.93928
29.69768   -10.38098  7.0866
29.74594   -10.34542  7.20852
29.73324   -10.3124   7.30504
29.77896   -10.25398  7.45744
29.78404   -10.19302  7.5819
29.81198   -10.15746  7.68858
29.845     -10.0965   7.81812
29.84754   -10.06856  7.9375
29.87548   -10.0076   8.04926
29.88564   -9.98728   8.13054
29.90342   -9.94664   8.22198
29.9085    -9.91616   8.30072
29.94406   -9.83488   8.4963
29.94914   -9.78154   8.65124
29.96692   -9.7282    8.74268
29.972     -9.6901    8.86206
29.98978   -9.6266    8.97382
29.9593    -9.61136   9.17702
29.99486   -9.48182   9.23544
29.99232   -9.4361    9.31926
30.01264   -9.36752   9.43864
30.03296   -9.30402   9.54532
30.0355    -9.18718   9.64946
30.03042   -9.09066   9.74852
30.0228    -9.00176   9.87552
30.01518   -8.93826   9.9441
30.04058   -8.8519    10.08126
30.03804   -8.81126   10.13714
30.0355    -8.76046   10.21334
30.0355    -8.64616   10.34542
30.02788   -8.56996   10.48766
30.05836   -8.46836   10.58418
30.08122   -8.36422   10.70864
30.0736    -8.3312    10.79754
30.1117    -8.26008   10.87628
30.14472   -8.20928   10.99058
30.13202   -8.15086   11.17092
30.1625    -8.03656   11.33348
30.19806   -7.874     11.4681
30.18028   -7.7216    11.55192
30.20314   -7.60984   11.557
30.17774   -7.4295    11.4427
30.08122   -7.29996   11.29792
30.02788   -7.24408   11.17854
29.99994   -7.23138   11.049
29.86278   -7.17804   10.8331
29.81452   -7.14248   10.72134
29.78404   -7.12724   10.6426
29.7434    -7.13994   10.54354
29.70276   -7.10184   10.47242
29.67228   -7.05866   10.3886
29.6545    -7.04088   10.30478
29.61386   -7.00532   10.23112
29.591     -6.88848   10.17524
29.54528   -6.78688   10.06856
29.49448   -6.69544   9.97966
29.49448   -6.62178   9.8679
29.46146   -6.55066   9.79424
29.46908   -6.46176   9.71296
29.4513    -6.42366   9.65454
29.44114   -6.34238   9.58596
29.41066   -6.2865    9.4996
29.3751    -6.22046   9.40054
29.2735    -6.19506   9.02462
29.23286   -6.16966   8.8646
