LSZT       R27        Phu172sf
0.0152     20.298     14.4815    IN
0.6469     15.313     17.1125    BR
1.1016     8.5327     15.6221    GL
1.0109     8.597      14.9925    NA
1.2617     3.2719     8.7588     RH
1.3362     0.6443     5.1215     NS
1.3348     0.2526     3.6955     PR
0.2856     0.4859     3.7284     R_PR2
0.5547     4.7962     9.8595     R_PMS
-3.2346    7.8516     9.3037     R_ZMI
-1.2635    8.7642     13.0627    R_ZMU
0.4835     8.8095     14.0404    R_DA
-1.1621    8.5654     15.4575    R_MTI
-0.6687    9.7951     16.7252    R_MTS
-2.8987    9.4526     14.1004    R_FMO
-3.8105    9.9798     14.4695    R_FMT
-4.0692    16.2569    11.8163    R_PO
-5.0375    10.3638    10.8233    R_ZTS
2.2232     0.5451     3.7175     L_PR2
1.9365     4.6141     9.5864     L_PMS
4.8063     8.6763     8.6051     L_ZMI
3.2864     9.2414     12.845     L_ZMU
1.5215     8.9559     14.1998    L_DA
3.3976     9.0163     15.2838    L_MTI
3.3572     10.2573    16.4559    L_MTS
4.993      10.3831    13.9174    L_FMO
5.6495     11.1778    13.8866    L_FMT
4.5928     17.1814    11.3785    L_PO
6.5538     11.3609    10.4413    L_ZTS
3.3566     2.4217     1.812      O1
-2.5069    10.3198    15.8131    O2
6.7689     13.4747    10.6167    O3
-0.7615    19.8117    13.8884    O4







































































































































































1.0911     8.5597     15.6746    GLRH
1.1119     8.5472     15.4643
1.0822     8.5799     15.2093
1.0543     8.6066     15.0129
1.0462     8.6582     14.8355
1.0228     8.6912     14.6516
1.0136     8.725      14.2684
1.0348     8.6945     14.0259
1.041      8.6278     13.7713
1.0638     8.5448     13.6029
1.081      8.3732     13.3392
1.0514     8.2269     13.1543
1.0893     8.0692     12.9514
1.0571     7.8832     12.7648
1.0736     7.7225     12.604
1.0763     7.535      12.4432
1.0892     7.2682     12.1639
1.1237     6.99       11.898
1.1289     6.6595     11.6374
1.1118     6.4575     11.5027
1.1472     6.1693     11.2873
