BPI        M3079      Ppa2stv















































































































































9999       9999       9999       SUPORB
6.0523     23.1337    7.9087
5.8193     23.1215    7.9359
5.5809     23.0835    7.9485
5.3638     23.0019    7.9467
5.0961     22.9533    7.9042
4.8323     22.8614    7.8726
4.5578     22.863     7.8159
4.2617     22.8172    7.7576
3.9732     22.7762    7.696
3.7117     22.7429    7.5973
3.4372     22.6374    7.4731
3.2382     22.6035    7.3208
2.8358     22.5997    7.0892
2.6336     22.6268    7.002
2.4336     22.7356    6.8062
2.3287     22.8067    6.6497
2.2787     22.892     6.3724
2.2239     22.9942    6.0708





















































































































































































9999       9999       9999       RORBIT







































































































































































































4.3423     24.4125    5.5591     LORBIT
4.0287     24.4502    5.5819
3.7258     24.3956    5.6046
3.4782     24.2306    5.6489
3.2686     24.0207    5.6933
3.1187     23.8469    5.8777
2.9971     23.7294    6.1247
2.9627     23.6728    6.3994
3.0468     23.639     6.6242
3.194      23.4995    6.7646
3.3052     23.351     6.8716
3.5218     23.1663    7.2017
3.9177     23.3264    7.4944
4.2426     23.3662    7.5711
4.6301     23.4315    7.5566
4.907      23.4886    7.5818
5.1369     23.5032    7.5281
5.3542     23.5732    7.3865
5.5303     23.7467    7.2197
5.6977     23.8566    7.0149
5.803      23.9018    6.8112
5.7462     23.8998    6.6674


















































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS


































