FSM        47994      Phq8stv
-0.8188    21.1392    12.5502    IN
-0.4259    16.8694    15.9356    BR
0.0184     10.3015    15.8057    GL
-0.0325    10.2314    15.2521    NA
0.442      4.8575     9.2814     RH
0.5204     1.799      5.5956     NS
0.5488     1.3384     4.465      PR
-0.6108    1.5516     4.5161     R_PR2
-0.2518    5.5898     9.6367     R_PMS
-3.6366    9.1876     9.5555     R_ZMI
-1.8869    10.0743    12.9038    R_ZMU
-0.378     10.1754    14.0275    R_DA
-1.7125    10.4997    15.5824    R_MTI
-1.6597    11.2727    16.5894    R_MTS
-3.6104    11.0544    14.0326    R_FMO
-4.1607    11.6716    14.1036    R_FMT
-5.0532    16.5097    10.9579    R_PO
-5.1678    11.2033    10.748     R_ZTS
1.6117     1.7282     4.3259     L_PR2
1.1714     5.931      9.852      L_PMS
3.7934     9.6684     9.1858     L_ZMI
2.0795     10.2274    12.806     L_ZMU
0.5341     10.1673    13.8453    L_DA
1.9533     10.6878    15.7124    L_MTI
1.8433     11.6273    16.528     L_MTS
3.5952     11.4792    14.0404    L_FMO
4.0618     12.1684    13.9374    L_FMT
3.9429     17.3785    10.7931    L_PO
5.0064     11.9595    10.5452    L_ZTS
0.0089     1.0003     4.5081     O1
3.1156     12.4745    15.3436    O2
-5.9358    12.5531    10.7497    O3
-0.0273    21.0038    12.2877    O4







































































































































































0.0198     10.2833    15.7778    GLRH
-0.0003    10.3008    15.5064
-0.0092    10.2288    15.2496
-0.0095    10.2208    15.0846
-0.0127    10.1626    14.6973
-0.0235    10.062     14.4331
-0.0032    9.8642     14.0803
0.0212     9.6825     13.8337
0.0362     9.5652     13.6851
0.0363     9.4783     13.587
0.0715     9.356      13.4503
0.0819     9.2169     13.2938
0.1198     9.0978     13.1715
0.1524     8.952      13.0475
0.1857     8.7147     12.8489
0.1953     8.4834     12.6177
0.2286     8.327      12.5074
0.2513     8.1571     12.3567
0.2633     7.9557     12.1797
0.2794     7.6879     11.9768
0.3184     7.4812     11.8124
0.3321     7.141      11.5858
0.3619     6.8114     11.3031
0.3922     6.5636     11.1236
