UWMA       MP223      Ppw2stv
12.2031    11.0172    8.5266
12.2167    10.8555    8.4532
12.2738    10.5855    8.3154
12.3115    10.4349    8.1817
12.4018    10.1206    7.9726
12.5874    9.8954     7.8433
12.7084    9.5847     7.6762
12.6708    9.3601     7.5619
12.7903    9.0453     7.4432
12.8474    8.7515     7.3791
12.9162    8.5144     7.2811
13.002     8.3682     7.1784
13.0979    8.1287     7.0351
13.181     7.9186     6.9073
13.2088    7.8236     6.8168
13.2539    7.6886     6.7159
13.3177    7.5915     6.6201
13.4765    7.5108     6.4493
13.511     7.322      6.2781
13.4657    7.1557     6.0858
13.412     7.0902     5.9439
13.2844    7.0913     5.7117













































































































































































9.0389     10.2113    4.2066     ROSTRUM
8.9314     10.3534    4.6432
8.9285     10.4393    5.0193
8.9863     10.5515    5.2924
9.0732     10.6564    5.4645
9.125      10.7145    5.6342
9.2355     10.7802    5.8882
9.3179     10.8515    6.0559
9.3748     10.9049    6.2419
9.4422     10.9237    6.5047
9.4579     11.0099    6.6113
9.5358     11.0114    6.8342
9.5899     11.1213    7.0573
9.6582     11.2129    7.2012
9.7585     11.3285    7.3704
9.8823     11.4651    7.5657
10.0412    11.5064    7.7038
10.23      11.5172    7.8234
10.3298    11.5459    7.9283
10.4604    11.592     8.0242
10.5451    11.6037    8.1173
10.6704    11.6587    8.228
10.7662    11.6572    8.3071
10.8549    11.6979    8.422
10.943     11.715     8.579
11.0456    11.7335    8.6777
11.1556    11.7926    8.8184
11.3248    11.8209    8.984
11.4235    11.9       9.054
11.5339    11.9633    9.0978
11.59      11.9634    9.0409
11.765     11.9187    9.0172
11.9641    11.8707    8.8965
12.0857    11.7938    8.8089
12.2078    11.781     8.6966
12.3533    11.6901    8.5067
12.5264    11.6353    8.2916
12.6966    11.5678    8.1342
12.8909    11.535     8.0257
13.0629    11.4986    7.9308
13.2467    11.4438    7.8216
13.4394    11.4332    7.6343
13.5595    11.3654    7.4639
13.661     11.3309    7.2742
13.728     11.2644    7.149
13.802     11.1179    6.9016
13.813     11.0934    6.7479
13.8685    11.0305    6.4966
13.9607    10.9879    6.312
14.0674    10.955     6.0681
14.2282    10.8783    5.8264
14.324     10.7978    5.669
14.4225    10.7708    5.5198
14.5113    10.7067    5.3106
14.5557    10.6718    5.1338
14.5677    10.659     4.9542
14.5747    10.6507    4.7686
