TMP        AZ784      Phu111sf


























































































































16.7329    5.6619     11.8729    L-PM/MAX
16.8561    5.2759     11.7068
17.0082    4.9653     11.5515
17.1311    4.7091     11.4013
17.2231    4.469      11.2746
17.3326    4.2526     11.1683
17.4615    4.0409     11.0834
17.5606    3.8768     10.9953
17.6473    3.6899     10.8485
17.7903    3.4616     10.7154
17.8582    3.3092     10.5455
17.9872    3.1605     10.4148
18.1055    2.9517     10.0823
18.1302    2.7672     9.8312
18.2231    2.5924     9.5255
18.2896    2.3702     9.2606
18.355     2.2308     9.1017
18.4311    2.0773     8.9736
18.6189    1.8844     8.6823
18.7113    1.7144     8.4417
18.7955    1.517      8.1662
18.7975    1.4345     8.0055
18.7971    1.3874     7.7995
18.7565    1.4699     7.5984
18.5109    1.4177     7.3842
18.2621    1.469      7.3625














































































































































































13.6018    6.1027     7.1762     ROSTRUM
13.5793    6.0771     7.4905
13.613     6.0377     7.7808
13.6834    6.0724     7.9713
13.8193    6.0684     8.17
13.9313    6.1039     8.354
14.1195    6.0949     8.5981
14.2321    6.0321     8.8099
14.3049    6.0183     9.0526
14.3263    6.0539     9.3689
14.2797    5.9527     9.7224
14.258     5.9737     9.9007
14.2265    5.9174     10.272
14.1763    5.8998     10.5327
14.0995    5.8996     10.7449
13.9127    5.8774     11.0796
13.8876    5.8376     11.2795
13.8513    5.7739     11.5156
14.0693    5.7274     11.7058
14.2184    5.7274     11.763
14.4009    5.7571     11.8358
14.5926    5.7457     11.8257
14.7315    5.7411     11.7769
14.9712    5.8037     11.8206
15.19      5.8544     11.8512
15.3928    5.8783     11.8708
15.5637    5.8702     11.9416
15.7688    5.8852     12.0144
15.9233    5.9094     12.0949
16.0815    5.9317     12.1353
16.2257    5.9726     12.1486
16.4047    5.9807     12.1332
16.5534    5.9986     12.0857
16.6757    6.0126     12.0529
16.9973    6.073      12.0017
17.2861    6.0295     11.9911
17.4905    6.0241     11.991
17.8523    6.0676     12.0865
18.0331    6.1003     12.0605
18.2179    6.2444     11.8545
18.3534    6.2667     11.6393
18.4148    6.2747     11.2906
18.298     6.2596     10.9863
18.1695    6.3119     10.6187
18.194     6.3199     10.285
18.16      6.3491     9.8795
18.1164    6.2767     9.5718
18.1557    6.2397     9.3237
18.2227    6.2657     9.091
18.4336    6.1701     8.8189
18.5941    6.1954     8.6047
18.7645    6.1847     8.3813
18.9125    6.1772     8.1857
19.0035    6.1019     7.9613
19.0467    6.0712     7.7685
19.0432    6.0454     7.4549
19.0566    6.0281     7.2854
19.0362    6.0793     7.1599








































