LSZT       R21        Phu179sf
0.3796     21.0373    13.1072    IN
0.7495     16.8678    15.968     BR
0.8069     10.502     15.5678    GL
0.7747     10.4873    14.9641    NA
0.48       4.81       9.7953     RH
0.5909     2.0832     6.0301     NS
0.7599     2.0435     5.2354     PR
-0.251     2.2135     5.3154     R_PR2
-0.1233    6.631      10.503     R_PMS
-3.5374    9.7716     8.8811     R_ZMI
-1.511     10.3887    12.6941    R_ZMU
0.2112     10.5955    13.9707    R_DA
-1.7329    10.825     15.4132    R_MTI
-1.3648    11.5306    16.2358    R_MTS
-3.0416    11.2849    13.8179    R_FMO
-3.9022    12.1078    13.6905    R_FMT
-3.9369    17.1831    10.9678    R_PO
-4.5734    11.9004    10.3088    R_ZTS
1.6059     2.2507     5.3544     L_PR2
1.1222     7.1161     10.876     L_PMS
4.3284     10.1003    8.6643     L_ZMI
2.78       10.5382    12.6381    L_ZMU
1.2697     10.5445    13.8682    L_DA
2.9724     10.8455    15.2914    L_MTI
3.036      11.4978    16.0541    L_MTS
4.344      11.4337    13.6325    L_FMO
5.0572     12.2591    13.4378    L_FMT
4.4449     17.7865    10.6585    L_PO
5.6606     12.2377    10.0159    L_ZTS
1.6235     2.1051     6.0601     O1
-2.7027    12.4877    15.3383    O2
6.0471     13.8106    10.1907    O3
-0.2933    20.9078    12.88      O4







































































































































































0.7744     10.4926    15.4933    GLRH
0.7642     10.4786    15.2607
0.7987     10.4846    15.0916
0.7628     10.4734    14.913
0.814      10.4482    14.6833
0.8177     10.4363    14.503
0.839      10.3644    14.2973
0.8077     10.2743    14.0949
0.7852     10.1449    13.9123
0.734      9.9392     13.6805
0.7166     9.7604     13.5108
0.6499     9.5413     13.3333
0.7079     9.3423     13.1591
0.6782     9.1003     12.9323
0.6947     8.9718     12.8224
0.6389     8.7961     12.703
0.6093     8.6316     12.6001
0.5916     8.4789     12.4985
0.5712     8.2326     12.3073
0.5508     7.9839     12.1466
0.52       7.8022     12.0081
0.5311     7.5904     11.8295
0.5165     7.3186     11.6341
0.5139     7.0712     11.4771
0.4972     6.8289     11.3108
0.4744     6.6216     11.1815
0.4802     6.3693     11.0127
0.4949     6.1753     10.9052
0.4807     5.9793     10.7722
0.5013     5.7977     10.652
0.486      5.5711     10.5146
0.4848     5.4086     10.3807
0.4678     5.2161     10.2626
0.4792     5.0721     10.1057
0.5108     4.9604     10.0093
0.4937     4.8767     9.915
0.4951     4.797      9.8346



































































































































































0.4741     4.7803     9.7954     NOSE
0.3197     4.6732     9.6136
0.0024     4.5831     9.2699
-0.2977    4.6602     8.9982
-0.4495    4.4986     8.7819
-0.5366    4.3536     8.537
-0.6232    4.1945     8.2454
-0.6282    3.9651     8.094
-0.6164    3.7677     7.8866
-0.5186    3.5512     7.6597
-0.4993    3.2941     7.4745
-0.4226    3.1549     7.337
-0.3588    2.9236     7.1573
-0.3225    2.6823     7.0035
-0.2229    2.4179     6.8236
-0.1399    2.2175     6.6411
-0.0249    2.0992     6.4662
0.0737     2.0079     6.3
0.2708     2.02       6.1543
0.4266     2.094      6.0916
0.5548     2.1413     6.0486
0.7365     2.111      6.0926
0.976      2.2115     6.3578
1.21       2.3727     6.5812
1.3266     2.6641     6.7836
1.4494     2.7713     6.9313
1.6169     3.01       7.2188
1.705      3.1577     7.3814
1.7952     3.2805     7.5471
1.8697     3.4489     7.7983
