TMP        AZ 1006    Phu126sf
16.9716    3.5379     7.9411
17.0049    3.5015     7.7819
17.076     3.3996     7.5716
17.1114    3.3332     7.4592
17.0567    3.305      7.2439
16.9965    3.2728     7.0681
16.8248    3.2792     6.9054
















































































































































































12.6043    6.3545     7.3658     ROSTRUM
12.629     6.3395     7.6314
12.6505    6.3751     7.897
12.6912    6.372      8.0748
12.7926    6.3629     8.2453
12.9679    6.4092     8.4404
13.0836    6.4305     8.5227
13.2039    6.4012     8.6555
13.301     6.4111     8.823
13.3271    6.4219     8.9511
13.3629    6.4305     9.1016
13.4096    6.4091     9.2941
13.4452    6.4313     9.5039
13.4836    6.4262     9.5946
13.5076    6.4004     9.7295
13.5567    6.3908     9.9067
13.5987    6.3812     10.0378
13.6395    6.3744     10.1518
13.7564    6.3864     10.2733
13.9075    6.3763     10.4315
14.132     6.3714     10.5496
14.247     6.383      10.6057
14.3805    6.4009     10.7035
14.5461    6.3727     10.818
14.6748    6.4253     10.8744
14.792     6.4467     10.9149
14.9066    6.4951     11.0239
15.1151    6.5185     11.0991
15.3078    6.5142     11.0836
15.4766    6.5237     10.9856
15.5177    6.549      10.9494
15.7154    6.5914     10.8921
15.9281    6.6405     10.7764
16.1046    6.6837     10.6548
16.3796    6.6884     10.4615
16.5499    6.6901     10.3013
16.6968    6.6678     10.0477
16.7034    6.7207     9.6907
16.6692    6.7306     9.3822
16.6643    6.7329     9.1524
16.7208    6.7773     8.9771
16.7392    6.7707     8.7873
16.8681    6.8144     8.5654
16.9772    6.8459     8.3929
17.0766    6.8383     8.2423
17.1354    6.8161     8.0657
17.1956    6.8393     7.9
17.2251    6.829      7.7189
17.2235    6.8173     7.5652
17.2214    6.822      7.434
17.2027    6.8235     7.3182
17.2283    6.8506     7.1929




















































































































































11.3252    10.0601    12.622     SUPORB
11.3865    10.1226    12.9482
11.4674    10.1846    13.2813
11.5784    10.2063    13.5611
11.7779    10.0902    13.8302
12.017     10.0456    14.0978
12.2485    9.9365     14.272
12.4991    9.9615     14.4787
12.8262    10.0148    14.6791
13.0916    10.0751    14.7838
13.3033    10.137     14.8669
13.5816    10.0427    14.92
13.7697    10.0519    14.9649
14.0857    10.0106    14.9904
14.3319    9.9192     14.97
14.4644    9.8135     14.9306
14.5752    9.658      14.865
14.6762    9.5111     14.8156
14.8481    9.4263     14.7362
14.9917    9.4345     14.7311
15.2137    9.4735     14.7642
15.437     9.7302     14.878
15.6945    10.0104    14.9386
15.9872    10.1376    14.9265
16.3959    10.1813    14.8236
16.5882    10.1967    14.7399
16.8394    10.2066    14.6528
17.0851    10.2498    14.52
17.2772    10.2901    14.4078
17.4054    10.3461    14.2889
17.614     10.4305    14.1395
17.9266    10.641     13.7815
18.0584    10.668     13.5836
18.1809    10.7587    13.359
18.2356    10.892     13.169
18.2618    10.9639    12.8039
18.3051    10.8052    12.6613
18.3095    10.7565    12.462
18.3316    10.7015    12.3748
18.3506    10.634     12.2545
































































































































































13.1665    8.7085     11.6183    RORBIT
12.9078    8.7249     11.6724
12.6482    8.7544     11.7486
12.3407    8.8621     11.8801
12.1272    9.0388     12.0208
11.9972    9.2169     12.1816
11.8975    9.36       12.3662
11.8364    9.4593     12.5334
11.7842    9.561      12.7026
11.8134    9.7122     12.979
11.8265    9.631      13.3599
12.012     9.5234     13.6215
12.3132    9.3454     13.9404
12.5196    9.2883     13.911
12.7329    9.2119     13.9593
13.0415    9.0551     14.0482
13.3633    9.0718     14.0062
13.6107    9.0962     14.0191
13.782     9.1469     14.0792
14.1889    9.0858     14.1723
14.3411    9.1112     14.0374
14.4104    9.207      13.861
14.5322    9.2319     13.5457
14.6306    9.1857     13.329
14.6257    9.2116     13.1522
14.6423    9.1545     13.0465
14.6831    9.0637     12.9354
14.6992    9.0078     12.8168
14.7014    8.9646     12.7572











































































































































































16.686     9.0579     11.5722    LORBIT
17.0039    9.0756     11.6581
17.1859    9.1215     11.7294
17.3965    9.2255     11.7954
17.5868    9.4141     11.9026
17.6817    9.59       11.9984
