NMNH       381435     Php10stv
10.9603    9.7848     9.2931
10.915     9.6692     9.1784
10.9133    9.5322     9.0426
10.9006    9.3885     8.9171
10.8668    9.2385     8.8146
10.7953    9.0971     8.6951
10.7807    8.8981     8.5654
10.7265    8.7363     8.401
10.689     8.6118     8.2667
10.6535    8.39       8.0788
10.6975    8.1432     7.7917
10.649     8.0245     7.5991
10.6816    7.967      7.3908
10.725     7.9089     7.1429
10.7325    7.8556     6.8566
10.812     7.7581     6.6347
10.9415    7.6371     6.4202
10.9774    7.5177     6.1179
10.9753    7.503      5.9956
10.9438    7.5047     5.8401
10.9368    7.504      5.7002
10.8686    7.6779     5.3652












































































































































































10.1384    12.9867    6.1607     ROSTRUM
9.966      12.9173    6.4225
9.9223     12.8421    6.559
9.9082     12.7859    6.7389
9.9422     12.6808    6.9086
10.0127    12.5487    7.0673
10.0676    12.4095    7.2083
10.0854    12.2955    7.364
10.0765    12.1879    7.5
10.0575    12.125     7.6244
10.0368    12.0737    7.7555
10.0086    12.0197    7.8884
9.9201     11.9078    8.0237
9.904      11.8402    8.1358
9.8613     11.7631    8.2471
9.8348     11.6177    8.3997
9.8289     11.5389    8.4845
9.7611     11.4444    8.5993
9.6974     11.4161    8.7667
9.5644     11.3283    8.9419
9.5175     11.2879    8.9716
9.4735     11.2331    9.1431
9.5001     11.0659    9.2805
9.6172     10.9731    9.3359
9.8371     10.8644    9.4282
10.0895    10.6946    9.3464
10.2631    10.5718    9.3776
10.4841    10.4768    9.4701
10.575     10.2464    9.6425
10.6766    10.129     9.6457
10.8532    10.0514    9.6367
10.9898    10.0111    9.5648
11.1471    9.9034     9.493
11.3246    9.837      9.4856
11.4396    9.6841     9.468
