FMNH       27036      Phh5stv
16.1932    16.0427    15.2586    IN
12.1676    11.7657    16.6978    BR
8.8163     7.9139     13.9559    GL
8.9668     7.9897     13.4417    NA
7.1564     5.8242     8.1882     RH
6.3963     4.4988     5.6322     NS
6.1836     4.2433     3.9279     PR
5.5894     4.9643     4.2027     R_PR2
7.9901     7.0362     9.2766     R_PMS
7.2167     11.0945    8.5749     R_ZMI
8.3347     9.5315     11.5421    R_ZMU
9.111      8.4817     12.8798    R_DA
7.8036     9.2246     13.5903    R_MTI
8.2459     9.1933     14.6325    R_MTS
7.1754     10.8143    12.9247    R_FMO
7.1563     11.4941    13.4255    R_FMT
10.8819    16.1909    12.3072    R_PO
7.1163     13.3506    9.935      R_ZTS
6.9602     3.6896     4.3311     L_PR2
8.4435     6.7714     9.3315     L_PMS
12.7729    6.2433     9.0436     L_ZMI
10.7968    7.4526     11.7579    L_ZMU
9.5823     8.1965     12.9587    L_DA
10.6714    6.7592     13.9505    L_MTI
10.6862    7.2627     14.8478    L_MTS
12.0999    6.6036     13.3006    L_FMO
12.7936    6.4396     13.6685    L_FMT
17.2512    10.7545    12.8111    L_PO
14.8291    6.4292     10.6856    L_ZTS
6.3714     3.6221     4.1634     O1
7.8654     10.8463    14.4032    O2
16.4727    7.6471     11.183     O3
16.8197    14.5254    14.65      O4







































































































































































8.7693     7.9026     13.9822    GLRH
8.815      7.9745     13.7896
8.904      7.9258     13.5889
8.938      7.9891     13.3926
9.0214     8.0222     13.2075
9.0868     8.1183     12.9934
9.1546     8.1481     12.7821
9.1563     8.1663     12.5865
9.1983     8.1649     12.306
9.1654     8.1354     12.1447
9.1525     8.1038     11.9455
9.1422     8.0548     11.7522
9.1357     7.9937     11.5763
9.0776     7.9507     11.4551
9.0516     7.9018     11.2854
9.0135     7.8295     11.1221
8.9528     7.7838     10.9556
8.8801     7.7121     10.7599
