NME       KL 157-1  Tol2sf
7.4288    4.427     -3.6761
7.4       4.3673    -3.804
7.3687    4.322     -3.9392
7.3661    4.3193    -4.1396
7.302     4.3378    -4.3256
7.2497    4.3657    -4.5206
7.1954    4.3983    -4.6296
7.1816    4.4307    -4.7664
7.1745    4.4761    -4.9563
7.1297    4.4872    -5.0894
7.0957    4.5212    -5.2055
7.051     4.5108    -5.3265
7.018     4.5401    -5.4608
6.9891    4.5459    -5.5638
6.9233    4.5429    -5.6831
6.8569    4.5541    -5.8159
6.7669    4.5454    -5.9463
6.6683    4.5201    -6.0704
6.5355    4.5174    -6.266
6.5013    4.5293    -6.4085
6.418     4.5543    -6.6286
6.3589    4.541     -6.7906
6.2618    4.5833    -6.9799
6.1667    4.581     -7.1233
6.0928    4.5871    -7.2381
6.0369    4.6074    -7.3459
5.9566    4.6572    -7.457
5.8426    4.6949    -7.4998
5.7389    4.7516    -7.5698
5.5883    4.8842    -7.6475
5.4823    5.0043    -7.7451
5.3529    5.0603    -7.772
5.2791    5.1431    -7.8232
5.2129    5.1857    -7.8472
5.1194    5.2517    -7.9006
5.0597    5.3279    -7.9524
4.9479    5.3978    -7.9439
4.7885    5.4793    -7.9792
4.7558    5.5601    -7.9901
4.659     5.6267    -7.9744






























































































































































11.7758   5.9142    -12.9783  SUPORB
11.7393   5.891     -13.1222
11.7126   5.904     -13.2808
11.6607   5.8866    -13.4888
11.5475   5.8577    -13.5986
11.4652   5.8557    -13.7147
11.3742   5.8723    -13.8701
11.3197   5.9073    -13.9908
11.2033   5.9683    -14.1532
11.0682   5.9957    -14.3548
10.9222   6.1032    -14.4513
10.8811   6.0946    -14.4748
10.8219   6.1916    -14.5831
10.6902   6.281     -14.6959
10.5649   6.3815    -14.8069
10.3841   6.4684    -14.8949
10.1906   6.5499    -14.9821
10.0714   6.5895    -15.0215
9.9375    6.6162    -15.0491
9.8271    6.7047    -15.0841
9.6679    6.7494    -15.1249
9.4961    6.7945    -15.1353
9.3032    6.9023    -15.1603
9.1488    6.9383    -15.1552
8.9777    7.0184    -15.1429
8.7753    7.1483    -15.1107
8.6197    7.2901    -15.0858
8.489     7.3858    -15.0565
8.3725    7.5203    -15.0413
8.2525    7.6328    -14.9883
8.1471    7.7209    -14.9689
8.0534    7.8186    -14.9603
7.9435    7.9286    -14.9291
7.8635    8.0251    -14.8726
7.7486    8.1005    -14.8161
7.6613    8.1751    -14.7594
7.5597    8.1981    -14.7221
7.4131    8.3755    -14.724
7.4789    8.5145    -14.7675
7.3571    8.6328    -14.8327
7.2195    8.7356    -14.9044
7.1013    8.8497    -14.9379
6.9074    9.0285    -14.9898
6.802     9.1434    -15.017
6.6185    9.3558    -15.0831
6.4934    9.4522    -15.0802
6.338     9.5694    -15.0938
6.2658    9.6732    -15.1048
6.1992    9.8497    -15.1036
6.1587    9.9166    -15.1241
6.0379    10.1029   -15.0974
6.013     10.2711   -15.0936
5.9697    10.3931   -15.0631
5.9153    10.522    -15.031
5.843     10.6616   -14.9895
5.8833    10.8081   -14.9679
5.7605    10.9575   -14.895
5.6598    11.047    -14.84
5.5178    11.1595   -14.7395
5.4763    11.329    -14.65
5.4384    11.4608   -14.5848
5.3725    11.6065   -14.4852
5.3193    11.6271   -14.4262
5.2898    11.7428   -14.323
5.2023    11.9738   -14.1583
5.1458    12.1108   -13.9423
5.1092    12.2227   -13.7635
5.3197    12.2371   -13.8284
5.2373    12.3393   -13.6305
5.2939    12.4914   -13.441
5.3526    12.6749   -13.2197
5.3231    12.6914   -12.9359
































































































































8.5795    6.5633    -11.0002  RORBIT
8.7324    6.4426    -11.0192
8.8879    6.3505    -11.0047
9.0255    6.3076    -11.0812
9.1327    6.2537    -11.0751
9.2868    6.1829    -11.0884
9.4679    6.1529    -11.1358
9.6047    6.0537    -11.1553
9.7037    6.0918    -11.2429
9.8691    6.0931    -11.3515
9.9856    6.0855    -11.4391
10.0975   6.1025    -11.5828
10.2183   6.1042    -11.6819
10.3417   6.1241    -11.8134
10.4384   6.1293    -11.9428
10.5559   6.1299    -12.1099
10.6954   6.103     -12.3178
10.6847   6.1447    -12.4394
10.7554   6.1683    -12.6089
10.8034   6.1389    -12.7524
10.8289   6.1667    -12.9509
10.7878   6.1589    -13.0928
10.759    6.1133    -13.2368
10.6721   6.0924    -13.3544
10.5076   6.018     -13.5648
10.38     6.0399    -13.6471
10.2719   6.0307    -13.7388
10.124    6.0748    -13.8028
9.9819    6.1237    -13.8777
9.8091    6.1186    -13.9612
9.7296    6.1443    -13.9946
9.5948    6.1595    -14.0609
9.485     6.2107    -14.0303
9.3776    6.2566    -14.0659
9.2542    6.3009    -14.0813
9.1151    6.3793    -14.0878
8.9085    6.4145    -14.0772
8.7805    6.5131    -14.0242
8.7038    6.5886    -13.9772
8.6392    6.6612    -13.962
8.5167    6.8371    -13.8817
8.4701    6.979     -13.8597
8.3089    7.0703    -13.8328
8.1587    7.1692    -13.7791
7.997     7.3274    -13.6868
7.6813    7.5021    -13.662
7.7213    7.5204    -13.5319
7.7793    7.5508    -13.4154
7.7221    7.5735    -13.2578
7.7068    7.6387    -13.0943
7.7159    7.6566    -13.0211
7.6941    7.708     -12.8694
7.7184    7.7538    -12.7728
7.7298    7.7589    -12.653
7.7826    7.7332    -12.4794
7.8189    7.6659    -12.2903
7.7897    7.6286    -12.1194















































































































































5.8794    9.6353    -10.8835  LORBIT
5.7969    9.7401    -10.8243
5.7531    9.8488    -10.8257
5.7023    9.8995    -10.828
5.6459    10.0084   -10.8008
5.6144    10.1706   -10.8184
5.5175    10.2335   -10.8505
5.4286    10.3552   -10.9114
5.381     10.4708   -10.9773
5.2909    10.6676   -11.0903
5.2381    10.8163   -11.2171
5.2063    10.9209   -11.3463
5.2388    11.0456   -11.4561
5.2592    11.1116   -11.5558
5.2191    11.2057   -11.6649
5.2232    11.2913   -11.8006
5.2437    11.3601   -11.8923
5.2796    11.4049   -11.9593
5.2733    11.4801   -12.1256
5.2427    11.5317   -12.2697
5.2524    11.6585   -12.4522
5.2432    11.7638   -12.5862
5.1809    11.7197   -12.7985
5.1565    11.6399   -13.1036
5.1376    11.5597   -13.2974
5.1443    11.4141   -13.4407
5.1503    11.1775   -13.5924
5.1881    11.0625   -13.6221
5.2007    10.8869   -13.7709
5.2639    10.7069   -13.9377
5.3463    10.4487   -14.127
5.4568    10.1919   -14.1706
5.4794    9.9124    -14.2077
5.7141    9.615     -14.0676
5.8122    9.4459    -14.0196
5.9735    9.2755    -13.9411
6.0957    9.091     -13.9628
6.167     8.9808    -13.9597
6.3962    8.5735    -14.0253
6.6434    8.5363    -13.6287
6.7261    8.5637    -13.3663
6.8482    8.5411    -13.1538
6.8957    8.5628    -12.9899
6.9373    8.5909    -12.7869
6.9993    8.6358    -12.6483
6.958     8.7093    -12.3586
6.8125    8.7472    -12.1621
6.7968    8.8732    -11.995
























































































































































9999      9999      9999      RTEMFOS







































































































































































































9999      9999      9999      LTEMFOS







































































































































































































4.4083    5.1957    -9.3974   OP
6.0138    6.6337    -9.8189   BA
10.0404   10.7902   -10.5229  ST
15.1519   15.9608   -12.8623  IV
9999      9999      9999      R_PG
9999      9999      9999      R_ZTI
13.176    10.2626   -12.9758  R_M3D
15.8488   12.2723   -13.2792  R_M12
17.1425   14.1291   -13.3575  R_MP3
9999      9999      9999      R_PMI
9999      9999      9999      L_PG
9999      9999      9999      L_ZTI
9.644     14.1357   -13.1458  L_M3D
11.6029   16.3693   -13.4757  L_M12
13.6528   18.4171   -13.6838  L_MP3
9999      9999      9999      L_PMI
16.5294   15.9957   -12.3651  O1
6.4702    12.7892   -3.0117   O2
12.2544   3.0246    -8.457    O3
2.2581    3.908     -5.7465   O4




















































































































































































9999      9999      9999      RZYGINF







































































































































































































9999      9999      9999      LZYGINF







































































































































































































13.3381   10.2931   -12.9439  R-ALV
13.5646   10.3185   -13.0013
13.7293   10.4346   -13.01
13.928    10.5011   -13.0192
14.1512   10.6068   -13.0277
14.4142   10.7963   -13.0586
14.5944   11.0348   -13.0078
14.7804   11.1704   -13.0182
14.9974   11.3154   -13.0608
15.1257   11.4097   -13.0605
15.3157   11.5803   -13.0677
15.4305   11.6756   -13.1007
15.5297   11.7936   -13.1304
15.6157   11.9146   -13.1469
15.7214   12.0694   -13.1699
15.8023   12.2038   -13.1784
15.9224   12.2971   -13.2356
16.0594   12.4704   -13.2775
16.1283   12.5873   -13.3346
16.21     12.7331   -13.3836
16.2932   12.7988   -13.3791
16.4167   12.9174   -13.4258
16.5041   13.048    -13.4504
16.5993   13.199    -13.4872
16.6876   13.332    -13.4961
16.7869   13.4293   -13.5078
16.9198   13.584    -13.5158
17.0106   13.6995   -13.5357
17.0899   13.9036   -13.4473
17.1337   14.0852   -13.4251
17.1501   14.1596   -13.3037









































































































































































9999      9999      9999      L-ALV
