BM(NH)     ZD.50a     Phh16a





























































0.1577     5.5775     9.6017     L-PM/MAX
0.2508     5.3414     9.4806
0.3034     5.1081     9.349
0.3654     4.8492     9.1989
0.4271     4.6893     9.0589
0.4994     4.4202     8.87
0.629      4.0905     8.6312
0.699      3.8439     8.4672
0.8389     3.6317     8.2622
0.9151     3.4373     8.0409
1.0338     3.2921     7.6509
1.0877     3.2063     7.3387
1.1671     3.1343     7.1441
1.2696     3.0346     6.9046
1.3656     2.8879     6.6404
1.4827     2.732      6.3408
1.611      2.5315     6.0759
1.6736     2.3702     5.8629
1.5911     2.4172     5.3853
1.5748     2.52       5.2111
1.4794     2.5585     5.1581



















































































































































































-2.6158    6.4105     5.9407     ROSTRUM
-2.6521    6.3703     6.1715
-2.6318    6.3608     6.3162
-2.5282    6.3239     6.4967
-2.2458    6.2965     6.5668
-2.0659    6.2541     6.6194
-1.8857    6.2126     6.7563
-1.7007    6.1047     7.0489
-1.696     6.0835     7.2872
-1.7521    6.0558     7.5559
-1.8356    5.9567     7.79
-1.8656    5.8886     7.9358
-1.9193    5.7662     8.1239
-1.9221    5.7387     8.2614
-1.9309    5.6958     8.3971
-1.913     5.6783     8.5669
-1.8933    5.6144     8.6952
-1.8853    5.4915     8.9232
-1.8893    5.4529     9.0839
-1.867     5.4925     9.2067
-1.623     5.4461     9.3815
-1.4113    5.4184     9.4153
-1.1432    5.3877     9.3879
-0.9431    5.3744     9.3467
-0.7726    5.3592     9.3449
-0.6569    5.3856     9.4491
-0.5371    5.3228     9.5547
-0.3339    5.2795     9.6161
-0.1608    5.2849     9.6076
0.0104     5.2829     9.5349
0.1614     5.2791     9.4734
0.2849     5.3        9.4455
0.4782     5.2882     9.4293
0.708      5.2803     9.442
0.8811     5.3024     9.5466
1.062      5.2905     9.5921
1.2559     5.3055     9.5387
1.3525     5.4454     9.324
1.3981     5.481      9.1836
1.4598     5.5585     8.9851
1.4962     5.6611     8.7202
1.5291     5.8011     8.4852
1.5319     5.8781     8.3337
1.3781     6.0962     7.5935
1.3457     6.2463     7.3205
1.4404     6.3235     7.1839
1.6159     6.3252     6.9574
1.7946     6.3209     6.8647
1.9598     6.2566     6.7954
2.2123     6.2111     6.7135
2.4025     6.253      6.5164
2.4531     6.3675     6.281
2.4357     6.4226     6.1038
2.4663     6.4856     6.0612


















































































































































-4.0001    9.9915     13.1298    SUPORB
-3.866     9.9919     13.334
-3.7726    9.9258     13.5346
