FSM        996        Phh31stv
0.8636     19.7076    10.6846    IN
0.9078     15.5496    14.3996    BR
0.9519     9.9822     12.3372    GL
0.9472     10.0649    12.1529    NA
1.3004     7.557      9.2657     RH
1.4705     5.7698     7.27       NS
1.4984     5.4934     6.5902     PR
0.5178     5.7804     6.6029     R_PR2
0.9091     9.1122     9.774      R_PMS
-2.1372    10.7181    7.9139     R_ZMI
-0.5417    10.2576    10.3052    R_ZMU
0.7413     10.4899    11.4098    R_DA
-0.6854    10.309     12.4361    R_MTI
-0.4882    10.8063    13.2436    R_MTS
-1.9062    10.8887    11.3703    R_FMO
-2.4513    11.4172    11.5956    R_FMT
-3.223     15.9715    9.6145     R_PO
-3.1899    12.028     8.8008     R_ZTS
2.4666     5.8519     6.8846     L_PR2
1.4914     9.2171     9.8835     L_PMS
4.4448     10.6669    8.3598     L_ZMI
2.9312     10.4729    10.3409    L_ZMU
1.2452     10.5481    11.5489    L_DA
2.7095     10.4009    12.5359    L_MTI
2.5646     10.8946    13.2728    L_MTS
3.8319     11.0703    11.5878    L_FMO
4.3673     11.6038    11.6551    L_FMT
4.6431     16.2534    9.9332     L_PO
5.3157     12.237     9.0809     L_ZTS
2.1641     5.3468     6.7953     O1
-1.8902    11.8534    12.5679    O2
5.7776     14.3487    9.4781     O3
-0.5561    19.4358    10.9905    O4







































































































































































0.9637     9.9736     12.4545    GLRH
0.944      10.015     12.235
0.9405     10.0975    12.0231
0.9785     10.1538    11.8493
1.0001     10.1915    11.5313
1.0298     10.1713    11.3687
1.0664     10.1356    11.2121
1.0686     10.0662    11.0288
1.0852     9.9382     10.7857
1.0898     9.8393     10.6497
1.0674     9.7306     10.4991
1.1275     9.5477     10.3322
1.1095     9.3616     10.1829
1.1876     9.062      10.0211
1.2052     8.8548     9.9262
1.2427     8.6164     9.799
