NMNH       481800     Prv4stv
0.4794     9.8574     4.9227     IN
0.3187     7.5224     7.1017     BR
0.123      3.0128     5.4283     GL
0.111      3.0059     5.4303     NA
0.0938     2.4123     4.2942     RH
0.0122     1.9997     2.6746     NS
0.0384     1.8812     2.2223     PR
-0.3636    2.0108     2.2087     R_PR2
-0.0587    2.8461     4.9949     R_PMS
-1.9755    3.6054     3.0224     R_ZMI
-1.437     3.0552     3.7089     R_ZMU
-0.3337    3.4769     4.8482     R_DA
-1.3855    3.7483     5.5348     R_MTI
-1.419     3.83       5.7933     R_MTS
-2.2441    3.7109     4.5154     R_FMO
-2.3615    4.1391     5.1474     R_FMT
-2.2412    7.3882     3.6548     R_PO
-2.9729    4.8897     3.5196     R_ZTS
0.3909     1.9693     2.1809     L_PR2
0.3113     2.7873     4.7437     L_PMS
2.2382     3.4582     2.9491     L_ZMI
1.5281     2.9446     3.6543     L_ZMU
0.5242     3.4024     4.8368     L_DA
1.5599     3.607      5.4962     L_MTI
1.5209     3.7041     5.7788     L_MTS
2.4221     3.6055     4.6498     L_FMO
2.6693     4.0451     4.9059     L_FMT
2.6405     7.2504     3.628      L_PO
3.1354     4.5338     3.3666     L_ZTS
-0.4393    2.0964     2.7324     O1
-2.121     4.2801     5.3772     O2
3.38       5.678      3.4568     O3
1.0392     9.654      5.0472     O4







































































































































































0.0409     3.0224     5.4221     GLRH
0.0467     2.9435     5.2888
0.0663     2.8848     5.1798
0.0724     2.8029     5.006
0.0371     2.7011     4.8321
0.0622     2.5953     4.623
0.0219     2.5313     4.479
0.0138     2.453      4.3655
0.0138     2.4305     4.238































































































































































































0.0198     2.4094     4.2111     NOSE
-0.2478    2.5423     4.1128
-0.369     2.5918     3.9529
-0.4239    2.5688     3.7156
-0.3983    2.5103     3.4554
-0.3606    2.4394     3.2505
-0.3595    2.324      3.1214
-0.2847    2.1982     2.9878
-0.2304    2.0702     2.8542
-0.142     2.0399     2.7616
-0.0497    2.0161     2.6998
0.0774     2.0767     2.7954
0.1768     2.1206     2.9149
0.2666     2.2441     3.06
0.3357     2.3587     3.1813
0.3232     2.4753     3.3863
0.3517     2.5134     3.589
0.3272     2.57       3.7821
0.3271     2.5079     3.9844
0.2734     2.464      4.12
0.04       2.4329     4.2105



















































































































































































-0.0393    1.9912     2.6955     NASP-PR
-0.0408    1.9608     2.5387
-0.0521    1.8888     2.379
-0.0394    1.9061     2.2093




































































































































































































-0.1168    2.8431     4.9307     R-PM/MAX
-0.1738    2.8301     4.7583
-0.2327    2.8167     4.5866
-0.3019    2.7465     4.3856
-0.3673    2.7071     4.1532
-0.4298    2.7192     3.9831
-0.4816    2.7091     3.8248
-0.5206    2.6815     3.6386
-0.5548    2.6208     3.427
-0.6207    2.5193     3.1882
-0.6721    2.4036     2.9733
-0.7384    2.3368     2.784
-0.8019    2.2824     2.6209
-0.8093    2.2491     2.4787
-0.7971    2.2305     2.3377

























































































































































































0.263      2.8127     4.7221     L-PM/MAX
0.3614     2.8109     4.5616
0.3838     2.7851     4.3974
0.412      2.7767     4.2429
0.4618     2.7338     4.0163
0.498      2.6942     3.8354
0.5126     2.6414     3.5757
