UCMVZ      154148     Phh3stv
19.7183    16.7109    12.4016    IN
15.2047    13.6311    15.6565    BR
10.7336    10.3445    14.2444    GL
10.7603    10.3874    13.8494    NA
7.6429     7.1742     9.2205     RH
6.2018     5.8191     6.8759     NS
5.8866     5.5314     5.0703     PR
5.461      6.3843     5.2021     R_PR2
8.6607     8.8457     9.9071     R_PMS
8.5598     13.5061    8.5583     R_ZMI
9.8986     11.6841    11.6997    R_ZMU
11.0389    11.1665    13.1387    R_DA
9.8124     12.1176    14.2758    R_MTI
10.5813    12.2455    15.084     R_MTS
9.5226     13.5165    12.9522    R_FMO
9.4329     14.5388    13.276     R_FMT
13.6071    18.0838    10.7092    R_PO
8.8273     15.693     9.9826     R_ZTS
6.7458     5.0628     5.3868     L_PR2
9.6524     8.4163     10.1322    L_PMS
14.1488    7.6299     8.8471     L_ZMI
12.283     9.0568     11.5983    L_ZMU
11.1705    10.3612    13.2067    L_DA
12.4623    8.7754     14.2849    L_MTI
12.7253    9.5229     15.1381    L_MTS
13.6997    8.3423     13.2119    L_FMO
14.5096    8.0339     13.5145    L_FMT
18.9244    10.8326    10.9921    L_PO
15.9016    7.2487     10.3304    L_ZTS
6.1875     5.0423     5.0824     O1
8.0621     14.5659    9.5128     O2
13.8106    8.7325     14.4018    O3
19.8399    15.3453    12.4238    O4







































































































































































10.6852    10.4077    14.2241    GLRH
10.7356    10.3701    13.9553
10.7478    10.3743    13.7958
10.803     10.3669    13.5814
10.8027    10.3282    13.2919
10.7639    10.296     13.1004
10.7218    10.2856    12.8827
10.7052    10.203     12.6537
10.6792    10.1249    12.4367
10.5969    10.1022    12.2758
10.5187    10.043     12.1315
10.4351    9.9289     11.9428
10.3828    9.8083     11.8185
10.3092    9.7921     11.7225
10.2234    9.61       11.5886
10.1473    9.5824     11.5126
10.0754    9.5262     11.4168
9.9913     9.417      11.2965
9.9055     9.3078     11.2077
9.8075     9.1901     11.071
9.6811     9.0724     10.9152
9.5501     8.9829     10.7262
9.4353     8.9097     10.6359
9.3253     8.8401     10.5338
9.2152     8.6972     10.4449
9.0335     8.5772     10.2833
8.9461     8.4349     10.1958
8.8752     8.3601     10.1072
8.7912     8.2122     10.0076
8.6452     8.0763     9.9037
8.4956     7.936      9.805
8.3677     7.8422     9.7451
8.2554     7.7443     9.6819
8.1036     7.6312     9.5667
7.9197     7.5        9.487
7.8209     7.3949     9.413
7.7233     7.2955     9.3378
7.6481     7.1982     9.2522






















