BPI        M3078      Ppa1stv
10.7697    23.4662    3.1555     IN
10.6801    20.5307    7.3099     BR
11.5688    14.9238    6.8009     GL
11.5673    14.9347    6.784      NA
11.7776    12.9335    5.246      RH
11.8981    10.5744    3.245      NS
11.8635    10.0672    2.6937     PR
11.1229    10.3305    2.5689     R_PR2
11.3604    13.6373    5.6705     R_PMS
9999       9999       9999       R_ZMI
9999       9999       9999       R_ZMU
11.133     14.7965    6.211      R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
12.5858    10.1738    2.6677     L_PR2
11.9585    13.7518    5.7036     L_PMS
14.5734    15.2958    2.7313     L_ZMI
13.4611    14.9851    4.9558     L_ZMU
12.0307    14.9171    5.9956     L_DA
13.1769    15.8028    7.0542     L_MTI
13.076     16.1296    7.3729     L_MTS
14.2813    16.1489    5.8164     L_FMO
14.5587    16.9826    6.0874     L_FMT
14.5324    20.5201    3.0974     L_PO
15.3178    16.5246    3.5527     L_ZTS
13.3946    11.6779    3.3588     O1
9.8163     15.8873    6.4325     O2
15.0625    18.523     3.8729     O3
10.2743    22.9502    3.5977     O4







































































































































































11.5361    14.9601    6.7964     GLRH
11.5416    14.6174    6.5658
11.5499    14.4401    6.4226
11.5749    14.2551    6.2899
11.6018    14.1207    6.19
11.5958    14.0497    6.0982
11.5959    13.9284    6.0038
11.6393    13.7563    5.8794
11.642     13.6067    5.7737
11.6803    13.4446    5.6931
11.7101    13.3323    5.615
11.7224    13.19      5.4924
11.7243    13.0864    5.4288
11.7363    13.033     5.3622















































































































