AMNH       80775      Phu12stv
15.5377    16.025     -13.905    IN
12.549     13.1461    -16.9143   BR
7.7468     7.9999     -16.449    GL
7.772      7.8857     -15.6118   NA
4.9638     5.1328     -9.7808    RH
3.4797     3.4834     -6.0978    NS
3.2786     3.1313     -4.8154    PR
4.0438     2.3955     -4.899     R_PR2
6.1791     5.3926     -10.7233   R_PMS
10.7669    5.5982     -9.7334    R_ZMI
9.4394     6.514      -13.3203   R_ZMU
8.2916     7.7415     -14.5066   R_DA
9.5333     6.6932     -15.8578   R_MTI
9.6367     7.9338     -17.1679   R_MTS
11.0675    6.1536     -14.5682   R_FMO
12.1862    6.3148     -14.5921   R_FMT
16.1373    10.3136    -11.9046   R_PO
12.9883    5.8464     -11.2935   R_ZTS
2.5268     4.0291     -4.9632    L_PR2
4.8515     6.285      -10.3123   L_PMS
4.9382     10.7719    -9.8798    L_ZMI
6.3306     9.5618     -13.2371   L_ZMU
7.4626     8.5954     -14.5568   L_DA
6.3946     9.7384     -15.8003   L_MTI
7.2518     10.028     -17.0852   L_MTS
5.7675     11.1773    -14.3813   L_FMO
5.8136     12.3013    -14.5054   L_FMT
9.5675     16.25      -11.6881   L_PO
5.5577     13.5121    -11.0912   L_ZTS
2.468      3.3719     -4.4221    O1
6.6578     11.5619    -15.876    O2
15.0067    7.1599     -11.2338   O3
13.1209    17.1202    -12.8588   O4







































































































































































7.7415     7.9755     -16.39     GLRH
7.7158     7.9492     -16.2441
7.7018     7.9481     -16.1295
7.6855     7.9364     -15.9955
7.6851     7.9424     -15.7629
7.7178     7.9601     -15.521
7.7128     7.9807     -15.3587
7.7451     7.9828     -15.1724
7.7048     7.9989     -14.9817
7.6747     7.9702     -14.8432
7.6382     7.946      -14.6451
7.6007     7.8633     -14.4333
7.5415     7.8087     -14.2569
7.4582     7.7362     -14.0526
7.3689     7.6704     -13.9023
7.2651     7.5708     -13.6847
7.1372     7.4773     -13.5095
7.025      7.4159     -13.3666
6.9242     7.3252     -13.2005
6.8452     7.2077     -13.0252
6.7143     7.092      -12.8214
6.6574     6.9846     -12.6629
6.5222     6.8944     -12.504
6.4083     6.7731     -12.32
6.3396     6.6972     -12.2055
6.2622     6.5886     -12.0642
6.1606     6.5088     -11.9367
6.0588     6.3531     -11.7635
5.9504     6.2338     -11.5988
5.8597     6.1192     -11.4359
5.7478     5.9973     -11.2923
5.6789     5.8378     -11.075
5.5828     5.7408     -10.9192
5.4993     5.6364     -10.7533
5.3913     5.5513     -10.6123
5.3116     5.4842     -10.4671
5.2127     5.3995     -10.3216
5.1688     5.2886     -10.1905
5.0906     5.2257     -10.0345
