MNHN       1970.409   Phu169sf
0.4971     6.6697     10.1535    L-PM/MAX
0.5942     6.3113     9.9596
0.6956     6.1668     9.7984
0.7867     5.976      9.6199
0.8874     5.7855     9.4026
0.944      5.7015     9.2792
1.0507     5.5622     9.1146
1.1559     5.369      8.8846
1.2382     5.1588     8.6202
1.3244     4.9904     8.3544
1.3698     4.8533     8.1542
1.4455     4.6163     7.7211
1.4812     4.5117     7.4826
1.5067     4.424      7.3151
1.5483     4.2503     7.1044
1.624      4.2143     6.8699
1.6566     4.1344     6.6684
1.7372     4.1021     6.4738
1.8603     3.9978     6.1959
1.8887     3.93       6.0097
1.9368     3.9546     5.8716
2.0444     3.9467     5.6789
2.1423     3.9626     5.484
2.2111     3.8929     5.2769
2.1708     3.7845     5.0508
2.179      3.7383     4.8803
2.0099     3.7091     4.7395













































































































































































-3.228     7.8319     5.9345     ROSTRUM
-3.2397    7.7917     6.1926
-3.2115    7.7648     6.4042
-3.1322    7.729      6.6605
-3.0277    7.7046     6.8947
-2.8733    7.7169     7.1678
-2.7289    7.7101     7.4144
-2.6281    7.7005     7.6346
-2.5455    7.7039     7.9141
-2.5092    7.6877     8.2401
-2.49      7.6651     8.4518
-2.5536    7.6701     8.7501
-2.7265    7.6326     9.0469
-2.7289    7.5668     9.2743
-2.8114    7.5891     9.4787
-2.758     7.6436     9.7573
-2.698     7.5627     9.9685
-2.5014    7.5802     10.1244
-2.3737    7.6207     10.2045
-2.0331    7.7222     10.2899
-1.7156    7.7245     10.4176
-1.4342    7.7019     10.5524
-1.2315    7.7158     10.6986
-0.9978    7.6967     10.7558
-0.7474    7.6793     10.9013
-0.5481    7.7022     10.9993
-0.3492    7.6919     11.0343
-0.1104    7.6628     11.0189
0.1064     7.6901     10.9155
0.2634     7.6902     10.8362
0.4695     7.7059     10.7715
0.6285     7.7299     10.749
0.8262     7.7277     10.62
1.0283     7.8192     10.5297
1.2212     7.8436     10.4515
1.4199     7.9086     10.3755
1.6142     7.9762     10.3187
1.8803     8.0205     10.2218
2.0724     8.0207     10.1954
2.1707     8.0184     9.8545
2.1903     8.0421     9.6357
2.1044     8.0813     9.4552
2.0471     8.1016     9.2424
1.9785     8.0872     8.9776
1.9144     8.0556     8.7975
1.8501     8.0932     8.5908
1.8374     8.083      8.3386
1.8736     8.1089     8.1096
1.9124     8.1283     7.8927
2.0024     8.1359     7.6256
2.1205     8.1468     7.3947
2.2891     8.1494     7.0756
2.4305     8.1387     6.7532
2.4854     8.1071     6.6068
2.5215     8.0958     6.4623
2.5301     8.0793     6.2371
2.526      8.1057     6.0577
2.5176     8.1704     5.9302
2.4975     8.1488     5.7699













































































































































-4.5265    13.2642    13.8588    SUPORB
-4.4791    13.3671    14.0112
-4.4231    13.4331    14.2314
-4.3703    13.442     14.5152
-4.2898    13.4068    14.6932
-4.1329    13.3973    14.9493
-3.9844    13.2769    15.1632
-3.7743    13.1418    15.3884
-3.5323    12.9469    15.5877
-3.3864    12.9544    15.6294
-3.1769    12.8144    15.7403
-3.0366    12.7453    15.7908
-2.9109    12.7775    15.8289
-2.8133    12.8672    15.8632
-2.6096    12.8772    15.9323
-2.2675    12.8039    15.9897
-1.9738    12.7673    16.0131
-1.6686    12.7072    16.0436
-1.3638    12.6163    16.0487
-1.0801    12.5641    16.0332
-0.8897    12.4963    15.9858
-0.6272    12.1909    15.7945
-0.4966    12.1388    15.7384
-0.3146    12.0643    15.71
-0.0333    12.1016    15.7666
0.3302     12.3421    15.9814
0.6822     12.4411    16.0473
0.9439     12.5581    16.0454
1.2664     12.6488    16.0429
1.5874     12.7221    16.0494
1.9351     12.7549    16.0033
2.2124     12.7676    15.9311
2.5144     12.8612    15.8089
2.884      13.0842    15.63
3.0806     13.3069    15.461
3.3197     13.4944    15.2413
3.488      13.4888    15.048
3.665      13.5132    14.8311
3.7579     13.5593    14.5592
3.7879     13.4152    14.6074
3.8497     13.4464    14.2597
3.9103     13.3663    14.0323
3.937      13.2944    13.8001
3.9649     13.2783    13.6526




























































































































































-2.3608    11.4217    12.6138    RORBIT
-2.6056    11.4441    12.589
-2.8554    11.5393    12.5781
-3.1009    11.6189    12.5437
-3.3586    11.7663    12.5861
-3.576     11.9654    12.7111
-3.7703    12.2318    12.9838
-3.7995    12.4228    13.215
-3.8595    12.5821    13.5085
-3.9416    12.6478    13.8984
-3.9184    12.5777    14.2091
-3.7749    12.4424    14.6507
-3.6418    12.3433    14.8379
-3.4386    12.2694    14.9773
-3.2142    12.1465    15.0523
-2.882     11.9546    15.1493
-2.6687    11.9737    15.1029
-2.4663    11.8683    15.1444
-2.2508    11.8986    15.0457
-2.0867    11.7767    15.069
-1.7655    11.8107    15.2877
-1.4476    11.8366    15.2583
-1.1224    11.75      15.2079
-0.9431    11.7067    15.0047
-0.9503    11.7592    14.7271
-0.8562    11.7341    14.3833
-0.8514    11.7338    14.0162
-0.8466    11.6099    13.8246
-0.8352    11.5282    13.6723
-0.8778    11.405     13.5339










































































































































































1.7119     11.4979    12.6423    LORBIT
1.9326     11.4454    12.5592
2.1667     11.5851    12.5307
2.3637     11.5931    12.4869
2.5777     11.626     12.4516
2.6725     11.7261    12.4855
2.8203     11.8241    12.5384
2.9549     11.9802    12.5963
3.0544     12.112     12.6603
3.1898     12.2503    12.7959
3.216      12.4022    12.9736
3.309      12.412     13.1175
3.3896     12.5182    13.2943
3.3825     12.6305    13.44
3.4947     12.6653    13.7103
3.3973     12.6949    13.6896
3.441      12.7177    13.8817
3.4174     12.656     14.1246
3.3591     12.6167    14.3118
3.2523     12.5663    14.5159
3.1831     12.4119    14.7719
3.0487     12.3696    14.8678
2.8131     12.2413    15.0465
2.5489     12.0329    15.2019
2.1905     12.0127    15.1596
1.9772     11.8895    15.1671
1.6639     11.7997    15.0783
1.2322     11.8048    15.1487
0.9992     11.8547    15.1949
0.6231     11.9036    15.0965
0.4709     11.8185    14.901
0.4096     11.7883    14.5931
0.3297     11.7213    14.2586
0.2948     11.668     14.0446
0.3018     11.6071    13.9144
0.3164     11.5359    13.7563
0.3212     11.4383    13.6316
0.2898     11.3787    13.6035


































































































































































-4.5977    13.1939    13.4845    RTEMFOS
-4.6607    13.1159    13.268
-4.7145    13.0147    13.0597
-4.746     12.9189    12.8247
-4.7828    12.8115    12.5286
-4.811     12.6274    12.1683
-4.863     12.4689    12.0137
-4.8763    12.3251    11.8026
-4.8512    12.0821    11.5135
-4.9292    11.9846    11.1954
-4.9711    11.8954    11.0142
-4.9964    11.8143    10.8894
-5.0292    11.7625    10.7472
-5.1152    11.7589    10.6152
-5.1629    11.7727    10.4597
-5.19      11.7764    10.3698
-5.2984    11.7733    10.2629
-5.3729    11.9353    10.1808
-5.4787    12.1622    10.1325
-5.5604    12.3414    10.1088
-5.6019    12.5116    10.1048
-5.6167    12.7503    10.0952
-5.6427    13.005     10.0727
-5.6435    13.1515    10.1009
-5.6436    13.2304    10.1214















































































































































































3.9552     13.1677    13.5117    LTEMFOS
4.0125     13.0954    13.3591
4.0686     13.0687    13.1869
4.0947     12.9735    13.0629
4.1207     12.9681    12.9372
4.1484     12.9025    12.8319
4.1911     12.7737    12.6463
4.2255     12.6737    12.424
4.2436     12.6438    12.2786
4.2417     12.6022    12.1669
4.264      12.4981    12.0677
4.2328     12.4112    11.8119
4.2568     12.2427    11.7018
4.2687     12.1521    11.5465
4.2722     12.0585    11.3557
4.2913     11.9227    11.2522
4.2853     11.8549    11.0727
4.3102     11.7599    10.9385
4.3723     11.7135    10.7132
4.4494     11.5803    10.5343
4.5315     11.5637    10.3072
4.6353     11.5769    10.1793
4.7086     11.6981    10.125
4.7419     11.8315    10.0733
4.8207     12.0017    9.9806
5.06       12.5881    9.9185
5.0228     12.8023    9.9051
5.0371     12.9158    9.903
5.0197     13.0157    9.9476











































































































































































-0.2318    5.1179     12.7175    OP
-0.164     7.1729     12.8976    BA
-0.3549    13.4049    12.211     ST
-0.5281    20.0106    12.4454    IV
-4.3977    7.1476     12.4743    R_PG
-5.8653    9.9215     11.3234    R_ZTI
-2.9782    15.0942    13.7254    R_M3D
-3.2843    17.6984    13.4849    R_M12
-3.0549    20.1916    13.8195    R_MP3
-2.4445    21.6075    13.4857    R_PMI
3.775      7.4701     12.5421    L_PG
5.2522     10.1813    11.5781    L_ZTI
1.9499     15.031     13.8857    L_M3D
2.2075     17.6782    13.7534    L_M12
1.8425     20.1949    14.002     L_MP3
1.4766     21.8041    13.7336    L_PMI
-1.178     23.7002    12.7776    O1
3.1954     9.7455     5.8373     O2
-6.0369    8.4717     10.6586    O3
1.3676     2.4524     10.7034    O4




















































































































































































-4.2805    13.9278    11.4406    RZYGINF
-4.3459    13.795     11.3431
-4.4223    13.6858    11.2353
-4.483     13.4996    11.1289
-4.6466    13.4017    10.9845
-4.767     13.2775    10.8971
-4.9384    13.0831    10.8699
-5.0195    12.9113    10.9057
-5.1092    12.8293    10.9116
-5.235     12.5695    11.0256
-5.3106    12.4067    11.0881
-5.4316    12.1639    11.2006
-5.4047    11.9416    11.3082
-5.3485    11.798     11.3683
-5.3343    11.6339    11.4304
-5.3348    11.4099    11.4993
-5.3155    11.2384    11.561
-5.3019    10.9299    11.6045
-5.4487    10.6833    11.5699
-5.6139    10.4731    11.5109
-5.7345    10.2356    11.4782
-5.8635    10.0418    11.3733
-5.8881    9.9714     11.3608
-5.9424    9.9417     11.2943
















































































































































































3.4946     14.2221    11.6035    LZYGINF
3.5074     13.9646    11.6186
3.5993     13.7731    11.5044
3.7123     13.6241    11.4046
3.8076     13.506     11.2815
3.9777     13.4207    11.2233
4.0758     13.2728    11.2155
4.2053     13.2076    11.2345
4.297      12.9509    11.2961
4.3612     12.8134    11.3258
4.3431     12.7442    11.3411
4.3857     12.6061    11.4231
4.4417     12.393     11.5632
4.427      12.1954    11.6564
4.4063     12.0056    11.7188
4.5052     11.76      11.7828
4.4611     11.5823    11.8156
