UCMVZ      117245     Phu45stv
19.516     17.1479    13.2578    IN
16.9193    14.6665    16.626     BR
12.2124    9.6755     15.0103    GL
12.2065    9.701      14.5623    NA
10.2951    7.5314     9.4734     RH
8.8462     6.3146     6.1336     NS
8.7089     6.3412     5.0427     PR
8.3172     6.9116     5.1363     R_PR2
10.6018    8.9275     10.259     R_PMS
10.2582    12.5596    9.3396     R_ZMI
11.317     11.3185    12.1626    R_ZMU
12.1111    10.2118    13.2475    R_DA
11.1499    11.0084    14.8099    R_MTI
11.8688    11.4124    16.1071    R_MTS
10.6572    12.6614    13.7303    R_FMO
10.8707    13.4741    13.877     R_FMT
13.7116    17.4774    11.7793    R_PO
10.6147    14.6451    10.62      R_ZTS
9.3726     5.968      4.992      L_PR2
11.6306    8.3326     10.4051    L_PMS
15.1502    8.2161     9.0299     L_ZMI
13.8224    9.073      12.0432    L_ZMU
12.7762    9.7587     13.2764    L_DA
13.6515    8.8871     14.7714    L_MTI
14.0489    9.6646     16.0666    L_MTS
15.2901    8.5558     13.5399    L_FMO
16.0827    8.7841     13.7782    L_FMT
19.5888    12.2186    11.4918    L_PO
17.2891    8.7152     10.282     L_ZTS
9.6502     5.827      6.1708     O1
9.6933     13.3427    10.2372    O2
15.4966    9.6438     15.0912    O3
20.2577    15.3848    12.4183    O4







































































































































































12.1585    9.7272     14.9088    GLRH
12.1623    9.739      14.7596
12.1838    9.7165     14.569
12.1941    9.7289     14.4191
12.2344    9.7627     14.2313
12.2434    9.8086     14.0778
12.2681    9.8065     13.9531
12.2666    9.8209     13.8363
12.2848    9.8226     13.6903
12.2523    9.8353     13.5426
12.2776    9.8143     13.4374
12.2576    9.7777     13.2991
12.2451    9.7331     13.1354
12.215     9.7108     12.9946
12.1768    9.6925     12.8711
12.172     9.6371     12.7214
12.1447    9.6215     12.6572
12.1314    9.5797     12.5647
12.0596    9.5342     12.3937
12.0167    9.5076     12.2936
11.9763    9.4398     12.1616
11.8941    9.4037     12.0378
11.7887    9.3218     11.8592
11.7199    9.2597     11.7371
11.6221    9.2099     11.5877
11.567     9.1305     11.4674
11.5393    9.0451     11.39
11.4895    8.979      11.2852
11.4612    8.9404     11.2125
11.4091    8.8518     11.1068
11.3488    8.7888     11.0264
11.3152    8.7084     10.9511
11.267     8.624      10.8428
11.2051    8.5343     10.7511
11.1651    8.4466     10.6559
11.0937    8.35       10.5554
11.007     8.3087     10.4231
10.9207    8.2256     10.3528
10.8311    8.1184     10.223
10.79      8.0404     10.1638
10.7274    7.9732     10.0822
10.6658    7.9087     9.9892
10.609     7.8343     9.8906
10.5255    7.7569     9.8202
10.4226    7.664      9.7049
10.2672    7.6491     9.5948
10.2101    7.5944     9.4798

























































































































































10.194     7.6095     9.4229     NOSE
9.9765     7.7175     9.2978
9.8189     7.8359     9.2075
9.756      7.9731     9.148
9.5942     8.0633     9.0194
9.4964     8.0767     8.9516
9.4195     8.0618     8.8726
9.3        8.0612     8.7323
9.1961     8.0893     8.5863
9.1524     8.1037     8.4594
9.0768     8.0796     8.2922
8.9825     8.0788     8.1916
8.8869     8.0232     8.048
8.7857     7.9403     7.8392
8.721      7.8944     7.6769
8.7165     7.8047     7.5683
8.6683     7.7278     7.4321
8.6514     7.6244     7.3134
8.5959     7.4843     7.1371
8.5628     7.3769     7.0009
8.51       7.2332     6.8554
8.4447     7.11       6.7485
8.4221     6.9802     6.6729
8.4025     6.8202     6.5288
8.4087     6.6497     6.3919
8.5978     6.5693     6.2709
8.7041     6.4746     6.2163
8.8713     6.4168     6.2054
8.9719     6.2315     6.1952
9.0421     6.1397     6.2068
9.1656     5.9929     6.3392
9.2874     5.9235     6.4462
9.4362     5.968      6.5543
9.5789     6.0073     6.6026
9.7123     6.0464     6.715
9.8239     6.099      6.8006
9.9127     6.1437     6.883
10.0121    6.148      6.9886
10.1409    6.14       7.124
10.2154    6.2952     7.247
10.2666    6.285      7.3714
10.3485    6.2984     7.504
10.538     6.2686     7.6472
10.5945    6.4509     7.9212
10.6161    6.6513     8.2393
10.6696    6.7831     8.4613
10.7068    6.8397     8.6239
10.7192    6.9687     8.72
10.7266    7.0004     8.8089
10.7592    7.0548     8.9964
10.787     7.0983     9.0425
10.7673    7.1631     9.1353
10.6902    7.2347     9.1983
10.584     7.2614     9.2117
10.4542    7.328      9.2349
10.3393    7.474      9.2885
10.13      7.5445     9.2972















































































































































8.7827     6.3138     6.1186     NASP-PR
8.7064     6.2809     6.0011
8.6649     6.2517     5.8558
8.6604     6.1807     5.7506
8.6391     6.1703     5.5882
8.6521     6.1767     5.4315
8.6493     6.2098     5.3031
8.6933     6.2403     5.1087










































































