AMNH       103367     scc12cs.xls
7.989      8.3016     -7.0821
7.8545     8.3884     -6.7797
7.6728     8.4631     -6.4962
7.4558     8.5726     -6.1733
7.2532     8.7346     -5.8567
7.1241     8.7842     -5.5139
7.0743     8.8577     -5.1814
7.0477     8.8557     -4.8737
7.006      8.8493     -4.6722

















































































































































































11.5671    6.8297     -7.9955    SUPORB
11.428     6.9684     -8.2545
11.2749    7.1543     -8.5333
11.1025    7.2607     -8.7857
10.8215    7.494      -9.0127
10.5446    7.7002     -9.1492
10.2188    7.8578     -9.1405
9.9703     7.998      -9.1195
9.6473     8.1615     -9.0451
9.3968     8.412      -8.9828
9.1046     8.5582     -8.9229
8.8912     8.8669     -8.973
8.7711     9.1975     -9.0627
8.6647     9.4304     -9.0866
8.5271     9.7035     -9.1211
8.3919     10.0191    -9.1019
8.2626     10.2858    -9.0251
8.1957     10.5454    -8.8435
7.9251     10.7648    -8.6323
7.7967     10.9836    -8.2796
7.7367     11.0757    -8.1299
7.6775     11.1695    -7.9361


















































































































































































9.5572     7.4467     -6.7419    RORBIT
9.7653     7.2444     -6.7028
10.0859    7.0017     -6.6925
10.3647    6.8434     -6.7445
10.5781    6.7702     -6.9051
10.7999    6.7354     -7.1848
10.9029    6.7444     -7.4891
10.9329    6.8045     -7.7346
10.8761    6.8031     -7.9963
10.8587    6.9144     -8.1358
10.7602    7.1017     -8.265
10.5835    7.2315     -8.399
10.4383    7.3723     -8.4875
10.2809    7.5348     -8.5577
10.0622    7.6449     -8.6562
9.9037     7.8335     -8.65
9.7084     7.9613     -8.6184
9.5415     8.1543     -8.4583
9.351      8.1968     -8.2711
9.1415     8.2699     -7.9881
9.0622     8.1964     -7.8394



















































































































































































7.8846     9.3906     -6.6114    LORBIT
7.7514     9.5331     -6.6047
7.5889     9.7816     -6.5667
7.4691     10.0669    -6.6268
7.4118     10.2671    -6.8012
7.3819     10.4519    -7.024
7.4124     10.6212    -7.3079
7.5134     10.7054    -7.691
7.627      10.6528    -7.9606
7.7208     10.5366    -8.1589
7.8177     10.4205    -8.3248
7.9801     10.0769    -8.4833
8.192      9.8996     -8.5124
8.2765     9.689      -8.5321
8.4621     9.3559     -8.5232
8.5593     9.1181     -8.4018
8.5713     8.9892     -8.3074
8.6177     8.7801     -7.9646
8.5568     8.715      -7.8038





















































































































































































9999       9999       9999       RTEMFOS







































































































































































































7.5665     11.2683    -7.8432    LTEMFOS
7.4526     11.3165    -7.633
7.3313     11.344     -7.4171
7.2573     11.3247    -7.2154
