FSM        1553       Phh30stv
0.363      20.9554    10.7563    IN
0.608      17.3481    14.7071    BR
0.948      11.7255    13.1819    GL
0.9337     11.8587    12.5886    NA
1.0485     9.3688     9.236      RH
1.2823     7.7436     7.399      NS
1.2882     7.2039     6.3901     PR
0.3408     7.3677     6.3725     R_PR2
0.6096     9.9033     9.6374     R_PMS
-2.1867    12.4744    8.2102     R_ZMI
-0.7431    12.1379    10.6506    R_ZMU
0.7072     12.1177    11.8478    R_DA
-0.6197    11.9693    12.9928    R_MTI
-0.5019    12.3997    13.8026    R_MTS
-1.8865    12.6041    12.0785    R_FMO
-2.1434    13.0136    12.3457    R_FMT
-3.1886    17.4807    10.0605    R_PO
-3.0402    13.5292    9.2118     R_ZTS
2.1679     7.5661     6.6389     L_PR2
1.4973     9.8902     9.5386     L_PMS
3.8637     12.692     8.3287     L_ZMI
2.4332     12.336     10.6459    L_ZMU
1.1351     12.1262    11.8644    L_DA
2.5203     12.1768    12.9596    L_MTI
2.4685     12.6132    13.6935    L_MTS
3.6777     13.0522    12.0393    L_FMO
3.9127     13.5732    12.2321    L_FMT
4.2661     17.9669    10.02      L_PO
4.5271     14.3478    8.9418     L_ZTS
1.7602     7.112      6.8758     O1
-1.6163    13.5493    13.447     O2
5.1886     15.8048    9.4448     O3
-0.1271    20.872     11.4963    O4







































































































































































0.9553     11.7399    13.1326    GLRH
0.9697     11.7669    12.8661
0.9303     11.8303    12.6392
0.8998     11.9106    12.431
0.9346     11.9669    12.0456
0.9736     11.9235    11.7904
0.9424     11.798     11.4881
0.9068     11.6371    11.2462
0.8997     11.4611    11.0107
0.9538     11.305     10.7788
0.9475     11.1669    10.6222
0.9768     10.8768    10.3594
0.9802     10.6446    10.1616
1.0051     10.4071    9.9662
1.0189     10.2283    9.8481
1.0676     9.9636     9.6444
1.0823     9.7813     9.5173
1.0996     9.6205     9.4396
1.106      9.504      9.3371
1.0909     9.3648     9.194




















































































































































































1.0744     9.388      9.2404     NOSE
0.7388     9.3417     9.1906
0.5547     9.2813     9.1484
0.4579     9.0605     8.89
0.3885     8.9582     8.7712
0.3206     8.7769     8.5467
0.2903     8.5791     8.3161
0.3407     8.2967     8.0105
0.4742     8.1463     7.9017
0.7091     7.8908     7.8444
0.8867     7.7296     7.7141
1.0412     7.6731     7.5246
1.1593     7.599      7.3917
1.2955     7.6233     7.3648
1.3971     7.6559     7.445
1.5783     7.7517     7.6977
1.6588     7.8537     7.8245
1.7582     8.0038     7.9098
1.8273     8.1716     7.9319
1.8758     8.3679     7.9869
1.9239     8.5278     8.0691
1.9569     8.624      8.1669
2.0312     8.7141     8.3093
2.0496     8.8516     8.4649
2.0416     8.9307     8.6211
1.9347     9.0427     8.7623
1.8162     9.2013     8.8929
1.7814     9.2994     9.04
1.7326     9.3556     9.0849
1.4969     9.3611     9.082
1.15       9.3783     9.2526
1.0114     9.3708     9.2446








































































































































































1.3016     7.6466     7.3691     NASP-PR
1.281      7.4559     7.2293
1.2876     7.3207     7.0852
1.2737     7.2845     6.9966
1.3098     7.232      6.8319
1.3107     7.1966     6.7112
1.273      7.1773     6.5434
1.2945     7.19       6.3913
































































































































































































0.632      9.9282     9.6602     R-PM/MAX
0.5066     9.8094     9.569
0.433      9.6739     9.4311
0.3786     9.5817     9.3435
0.3203     9.4431     9.2457
0.2839     9.3236     9.1242
0.2291     9.1792     8.9824
0.1632     9.0533     8.8172
0.1383     8.9164     8.6506
0.1122     8.7578     8.4681
0.0645     8.6153     8.2407
-0.022     8.4919     7.9891
-0.0596    8.3615     7.7774
-0.0848    8.258      7.6151
-0.1276    8.1168     7.364
-0.1896    8.0295     7.1916
-0.2307    7.9821     7.0633
-0.2237    7.9449     6.7709
-0.1594    7.9488     6.5686





















































































































































































1.4431     10.0713    9.6719     L-PM/MAX
1.5247     9.9429     9.5952
1.6653     9.7615     9.4615
1.77       9.6272     9.3406
1.8723     9.5713     9.2535
1.9284     9.4465     9.1368
2.0147     9.3266     9.0321
2.1231     9.2306     8.8859
2.1738     9.1218     8.7523
2.2407     8.9183     8.5252
2.2521     8.7693     8.3504
2.3283     8.7083     8.2051
2.4163     8.6743     8.0505
2.4493     8.6211     7.9716
2.5147     8.5073     7.7337
2.5454     8.4281     7.5637
2.6108     8.3774     7.3914
2.6633     8.2323     7.1355
2.7231     8.2088     6.9507
2.7185     8.1812     6.8127
2.7018     8.2343     6.6506



















































































































































































-1.2484    10.7383    7.1992     ROSTRUM
-1.2244    10.6659    7.4577
-1.2008    10.6069    7.6221
-0.985     10.4951    7.6896
-0.764     10.5115    7.7908
-0.629     10.5174    7.9207
-0.5726    10.4993    8.1423
-0.5424    10.4834    8.3779
-0.5194    10.4702    8.6247
-0.4854    10.4322    8.8224
-0.4456    10.4108    8.974
