AMNH       81811      phu3ms2.xls
16.7368    20.1135    -16.5684   IN
12.6439    15.665     -19.1511   BR
7.7619     10.9881    -16.8736   GL
7.8419     10.9682    -16.4876   NA
4.6311     7.7347     -9.3521    RH
2.5877     5.6068     -5.0663    NS
2.5072     5.5772     -3.6671    PR
3.3972     5.1475     -3.8364    R_PR2
5.9131     7.7868     -9.9212    R_PMS
11.1086    8.5701     -9.9235    R_ZMI
9.8131     9.9526     -14.0588   R_ZMU
8.4798     11.0417    -15.0421   R_DA
9.7723     9.7659     -16.6332   R_MTI
10.3237    10.4391    -17.9035   R_MTS
11.5195    9.5163     -15.3579   R_FMO
12.805     9.1714     -15.1657   R_FMT
17.5537    14.2727    -13.4822   R_PO
13.942     9.0667     -11.8037   R_ZTS
1.9129     6.497      -3.7319    L_PR2
4.8544     9.1115     -10.2408   L_PMS
4.9396     14.5434    -10.2842   L_ZMI
6.4618     13.0636    -14.1868   L_ZMU
7.7589     11.7336    -15.2978   L_DA
6.3276     13.0984    -16.7893   L_MTI
7.0646     13.5236    -17.9687   L_MTS
6.0601     14.6638    -15.5013   L_FMO
5.8402     15.9166    -15.4965   L_FMT
10.5986    20.5794    -13.7975   L_PO
5.5388     17.1874    -12.1801   L_ZTS
1.7227     5.8484     -3.7936    O1
5.0904     15.0211    -12.8016   O2
8.2935     20.1898    -12.441    O3
13.7415    20.2429    -16.4582   O4







































































































































































7.8349     10.9239    -16.6566   GLRH
7.8865     10.9797    -16.3426
7.9393     11.0381    -16.1229
7.9587     11.0919    -15.9552
7.9868     11.1119    -15.7834
7.993      11.1562    -15.6404
8.0012     11.1692    -15.4632
7.986      11.1545    -15.2391
7.9672     11.1385    -15.0817
7.9407     11.0912    -14.8915
7.8627     11.0403    -14.6535
7.795      10.982     -14.4807
7.7141     10.87      -14.2389
7.5954     10.7778    -13.9636
7.5393     10.7127    -13.8215
7.4465     10.626     -13.6388
7.3701     10.5967    -13.5432
7.279      10.4577    -13.3345
7.1959     10.3765    -13.1852
7.1064     10.2705    -13.0353
7.0423     10.2222    -12.9737
6.9738     10.0946    -12.76
6.9014     10.0432    -12.622
6.7922     9.9023     -12.4892
6.7124     9.8318     -12.3751
6.6073     9.6749     -12.2157
6.5115     9.6465     -12.121
6.4156     9.5109     -11.9761
6.3189     9.4266     -11.8699
6.2456     9.3232     -11.7542
6.1422     9.1521     -11.5706
6.0231     9.0391     -11.411
5.9499     8.9812     -11.343
5.8203     8.8533     -11.1416
5.741      8.7299     -10.9828
5.6583     8.6779     -10.8911
5.54       8.5848     -10.7416
5.458      8.5017     -10.6356
5.3629     8.3554     -10.4601
5.2408     8.2365     -10.3307
5.1473     8.1116     -10.1462
5.0387     7.9473     -9.9426
4.9101     7.8756     -9.7419
4.8916     7.8349     -9.6656
4.8245     7.7508     -9.5424
4.7787     7.6634     -9.4437
4.7194     7.6439     -9.2629

























































































































































4.7233     7.6354     -9.3116    NOSE
4.8822     7.535      -9.229
4.8856     7.4816     -9.2685
4.9076     7.2882     -8.9895
4.9479     7.2711     -8.9816
4.9778     7.16       -8.9312
5.1084     7.1233     -8.9454
5.1605     7.0878     -8.9056
5.1497     6.9363     -8.6986
5.1128     6.8525     -8.6099
5.1007     6.7406     -8.5625
5.0818     6.6258     -8.3646
5.0752     6.4933     -8.2165
5.0291     6.3619     -8.0625
4.983      6.2838     -7.7856
4.9717     6.2426     -7.6122
4.8788     6.2122     -7.485
4.7369     6.1        -7.3534
4.6986     5.9536     -7.2063
4.6471     5.8286     -7.0956
4.5546     5.7707     -6.8834
