FMNH       27034      Phh4stv
14.542     15.2708    14.8549    IN
11.1769    10.863     16.7616    BR
7.8503     6.6563     14.2459    GL
8.076      6.7396     13.4307    NA
6.1975     4.6259     8.8209     RH
5.2548     3.4081     6.2963     NS
5.0507     3.1731     5.0968     PR
4.3927     3.9336     5.3552     R_PR2
7.0528     6.0012     10.0622    R_PMS
5.7301     9.6984     9.1091     R_ZMI
7.0909     8.2907     11.7961    R_ZMU
8.142      7.2677     12.8104    R_DA
6.8157     7.923      13.7721    R_MTI
7.1152     8.0424     14.8509    R_MTS
6.2131     9.4445     13.0917    R_FMO
5.8864     10.2845    13.6893    R_FMT
9.2016     15.1493    12.0796    R_PO
5.5032     11.6852    10.2936    R_ZTS
5.9729     2.7719     5.4634     L_PR2
7.3089     4.9088     9.555      L_PMS
11.5278    5.5257     8.9558     L_ZMI
9.6601     6.3478     11.7241    L_ZMU
8.4977     6.9572     12.7209    L_DA
9.3522     6.0015     13.8717    L_MTI
9.3169     6.5144     14.9106    L_MTS
11.1767    5.7639     13.0474    L_FMO
12.0007    5.7623     13.7106    L_FMT
15.7191    10.1721    11.9903    L_PO
13.4615    5.78       10.2884    L_ZTS
5.3797     2.6583     5.4624     O1
6.7395     9.4792     14.7884    O2
15.1454    7.0473     10.8825    O3
15.3623    13.8272    14.5786    O4







































































































































































7.9234     6.5996     14.1111    GLRH
7.9505     6.6018     13.9337
7.9375     6.661      13.7788
7.9956     6.6739     13.6372
8.0089     6.746      13.4497
8.0726     6.7529     13.3572
8.1328     6.7848     13.117
8.1396     6.8455     12.9815
8.1673     6.8717     12.8392
8.1763     6.8569     12.6805
8.1922     6.8596     12.4865
8.1371     6.8473     12.3462
8.1146     6.8221     12.1183
8.0586     6.7942     11.9514
8.0266     6.7502     11.821
7.9845     6.7118     11.6905
7.9163     6.6791     11.5359
7.8804     6.6154     11.4041
7.8496     6.5311     11.2764
7.7921     6.4576     11.1456
7.7445     6.3536     11.0108
7.6473     6.3178     10.8611
7.5736     6.2343     10.7303
7.5256     6.1805     10.6276
7.4478     6.1306     10.5387
7.344      6.0074     10.3937
7.2949     5.9362     10.3005
7.2195     5.8417     10.2151
7.1332     5.7603     10.1131
7.1501     5.6807     10.0758
7.0299     5.4815     9.8923
6.9115     5.3986     9.7725
6.8019     5.3634     9.6611
6.7043     5.2535     9.5496
6.6235     5.147      9.4507
6.5757     5.0352     9.355
6.5217     4.9526     9.2629
6.4217     4.8663     9.1525
6.3885     4.7822     9.0751
6.3563     4.7014     8.9817
6.2572     4.6148     8.8396
6.2537     4.5808     8.798






























































































































































6.2344     4.5952     8.7827     NOSE
6.0482     4.7612     8.768
5.929      4.9441     8.8772
5.798      5.0818     8.7513
5.6767     5.0356     8.6367
5.5686     5.0234     8.5369
5.4457     5.0141     8.3888
5.2639     5.0123     8.2793
5.0711     4.956      8.1651
4.9558     4.8947     7.9812
4.9402     4.7728     7.788
4.9308     4.6991     7.6347
4.8705     4.6035     7.518
4.8151     4.4425     7.2854
4.8012     4.3722     7.182
4.7811     4.2684     7.0725
