NMNH       268893     Rpr7stv
-2.2554    14.1087    5.6095     IN
-2.2903    10.924     8.3575     BR
-2.5919    5.1516     6.1366     GL
-2.6077    5.1276     6.0554     NA
-2.6668    5.1659     4.8123     RH
-2.6724    4.2112     3.1318     NS
-2.7033    3.8512     2.5022     PR
-3.2132    3.9659     2.5087     R_PR2
-2.8067    5.1578     5.3311     R_PMS
9999       9999       9999       R_ZMI
-4.6957    5.6884     4.2754     R_ZMU
-3.2904    5.6637     5.3362     R_DA
-4.4998    5.7908     6.6089     R_MTI
-4.3805    5.8773     6.9189     R_MTS
-5.8056    6.1965     5.2942     R_FMO
-6.0799    6.7553     5.7922     R_FMT
-5.5946    11.1403    4.1098     R_PO
9999       9999       9999       R_ZTS
-2.1362    3.9684     2.4691     L_PR2
-2.496     5.1464     5.3959     L_PMS
0.274      6.083      2.7306     L_ZMI
-0.6687    5.4543     4.12       L_ZMU
-1.8779    5.6274     5.3672     L_DA
-0.9413    5.4931     6.3027     L_MTI
-0.8877    5.6793     6.6141     L_MTS
0.6726     5.8462     5.0606     L_FMO
1.0794     6.3229     5.5201     L_FMT
0.738      10.8278    3.7419     L_PO
1.2848     7.1529     3.428      L_ZTS
-2.3976    3.7917     2.6857     O1
-5.463     6.9258     6.5968     O2
1.1293     10.1845    3.3618     O3
-2.7361    14.0459    5.8478     O4







































































































































































-2.5959    5.1477     6.1019     GLRH
-2.604     5.1167     5.9794
-2.6078    5.1336     5.8741
-2.5948    5.1357     5.7523
-2.6273    5.1262     5.6406
-2.6327    5.1185     5.5188
-2.6177    5.1209     5.3861
-2.6193    5.1191     5.2417
-2.643     5.1111     5.097
-2.6351    5.1263     5.0036
-2.6349    5.1286     4.9451
-2.6447    5.1597     4.8339




























































































































































































-2.8479    5.1923     4.8812     NOSE
-2.9618    5.2196     4.8787
-3.1019    5.2496     4.6617
-3.2199    5.2302     4.4167
-3.2983    5.1861     4.2011
-3.3893    5.0347     3.9756
-3.3273    4.8933     3.8046
-3.2525    4.6331     3.587
-3.1193    4.4634     3.4962
-2.9893    4.3321     3.414
-2.8722    4.2609     3.2887
-2.7688    4.1974     3.1836
-2.6746    4.1322     3.0995
-2.5168    4.2046     3.2195
-2.4151    4.3159     3.3261
-2.2438    4.421      3.4291
-2.1349    4.5316     3.5044
-2.0111    4.6643     3.5955
-1.9325    4.8301     3.7304
-1.872     4.9327     3.8735
-1.8976    5.0735     4.0551
-1.9542    5.1518     4.2646
-2.0319    5.2236     4.4438
-2.1499    5.2472     4.6266
-2.2716    5.2359     4.7645
-2.3688    5.2087     4.8582
-2.5607    5.1495     4.8412
-2.6415    5.1561     4.8162












































































































































































-2.6721    4.1351     3.1099     NASP-PR
-2.6854    3.9764     2.9892
-2.6956    3.8525     2.859
-2.6994    3.8417     2.6672
-2.6984    3.845      2.5302
-2.6959    3.8594     2.4015


































































































































































































-2.7958    5.1361     5.3107     R-PM/MAX
-2.9199    5.1937     5.1919
-3.0587    5.2461     5.0455
-3.2297    5.2939     4.8986
-3.3476    5.3087     4.7026
-3.4819    5.3066     4.5173
-3.5854    5.2362     4.2738
-3.6086    5.1636     4.0604
-3.6064    4.982      3.8374
-3.6275    4.8294     3.6619
-3.6804    4.6971     3.4534
-3.7118    4.5256     3.278
-3.6984    4.3757     3.0914
-3.7303    4.3038     2.9451
-3.6849    4.1919     2.6601
