FMNH       34579      Phu53stv
17.6089    18.027     16.0568    IN
13.9651    14.043     18.4843    BR
9.8996     9.3483     15.6808    GL
9.8916     9.3583     15.6936    NA
7.3252     6.3209     8.7837     RH
5.8999     4.7597     5.2195     NS
5.9212     4.4764     3.5893     PR
5.3675     5.4092     3.6965     R_PR2
7.8246     7.9381     9.8681     R_PMS
7.6524     12.7894    9.2262     R_ZMI
9.0365     11.1126    13.0363    R_ZMU
9.9003     9.9635     14.6498    R_DA
8.5828     10.8677    15.7681    R_MTI
9.2884     11.3699    16.8902    R_MTS
7.9754     12.7118    14.5416    R_FMO
8.1558     13.7194    14.9772    R_FMT
12.1686    18.2742    13.4741    R_PO
7.8172     14.8549    11.4978    R_ZTS
6.8965     4.0494     3.7547     L_PR2
9.1324     7.07       9.9626     L_PMS
14.1078    7.2153     9.7249     L_ZMI
11.8512    8.415      13.0195    L_ZMU
10.6176    9.341      14.8602    L_DA
11.8664    7.9924     16.0428    L_MTI
12.4376    8.578      16.9026    L_MTS
13.5851    7.8574     14.7801    L_FMO
14.6939    8.0979     15.0978    L_FMT
18.6805    12.6153    13.8741    L_PO
15.8242    7.7778     11.7727    L_ZTS
6.325      3.8549     3.5852     O1
8.7577     12.8577    16.2221    O2
17.421     8.6999     12.3512    O3
18.2335    17.0414    15.3742    O4







































































































































































9.9119     9.3073     15.6681    GLRH
9.9204     9.3034     15.4579
9.9902     9.3097     15.2251
10.0312    9.3352     14.9802
10.0409    9.3708     14.7815
10.0544    9.3774     14.6101
10.0562    9.3584     14.418
10.0201    9.3411     14.2099
9.9993     9.3223     14.0642
9.9666     9.3105     13.8819
9.9622     9.2694     13.7715
9.9236     9.2097     13.5895
9.8885     9.1565     13.3766
9.8461     9.106      13.2688
9.8228     9.0312     13.073
9.7513     8.9966     12.9166
9.713      8.9267     12.7315
9.6395     8.854      12.5626
9.5592     8.7577     12.4354
9.5034     8.6596     12.2802
9.42       8.5862     12.1277
9.359      8.5214     12.016
9.3019     8.4532     11.9066
9.2374     8.3801     11.7721
9.1463     8.2774     11.6362
9.0668     8.1842     11.499
8.9676     8.117      11.3559
8.8705     7.995      11.2136
8.7972     7.9439     11.0933
8.7219     7.8509     10.9666
8.6652     7.7926     10.8642
8.5646     7.7124     10.7495
8.5033     7.6167     10.6328
8.3957     7.5713     10.4843
8.3283     7.4854     10.3754
8.2558     7.392      10.2734
8.1769     7.2901     10.1534
8.0767     7.1803     10.0463
7.9967     7.061      9.9036
7.8725     6.9592     9.7671
7.7707     6.828      9.6066
7.6856     6.7572     9.4838
7.6314     6.7005     9.3841
7.5936     6.6299     9.2932
7.5063     6.5594     9.1811
7.4461     6.4723     9.0832
7.4004     6.435      9.0011
7.3314     6.3602     8.8745
























































































































































7.3324     6.3155     8.8287     NOSE
7.2117     6.5239     8.8009
7.0083     6.6215     8.7306
6.898      6.7867     8.6383
6.746      6.8567     8.5915
6.6269     6.7768     8.4036
6.5269     6.7794     8.2922
6.4091     6.7344     8.1424
6.314      6.6993     7.982
6.1995     6.7003     7.8016
6.1542     6.6669     7.6492
6.0103     6.621      7.505
5.9273     6.5902     7.3266
5.8768     6.5086     7.1629
5.8133     6.465      7.0366
5.7997     6.4101     6.8697
5.7805     6.353      6.7199
5.7497     6.2264     6.5804
5.6954     6.0413     6.3353
5.6701     5.9225     6.1869
5.6708     5.7256     6.1128
5.6011     5.5768     5.9842
5.5605     5.4116     5.8642
5.5269     5.2539     5.7664
5.536      5.127      5.6696
5.4741     4.9382     5.5015
5.4841     4.8711     5.4444
5.6475     4.8092     5.336
5.7888     4.7266     5.1937
5.9778     4.7311     5.2498
6.0838     4.5354     5.3086
6.14       4.3778     5.401
6.2755     4.1967     5.5749
6.387      4.248      5.6743
6.5745     4.2823     5.8222
6.7315     4.3366     5.9374
6.9348     4.3501     6.0852
7.0862     4.3685     6.182
7.212      4.4271     6.2857
7.3519     4.4517     6.4143
7.4586     4.4575     6.6232
7.5503     4.5138     6.7639
7.6505     4.5254     6.9385
7.7055     4.6281     7.1251
7.7685     4.7429     7.3302
7.8448     4.862      7.5468
7.8915     5.0444     7.7474
7.9222     5.1572     7.9061
7.9567     5.3185     8.0858
7.9868     5.529      8.2536
8.0503     5.6452     8.3819
8.0691     5.6615     8.4497
8.0369     5.734      8.5095
7.9157     5.8231     8.5551
7.7189     6.0207     8.6441
7.6707     6.085      8.7695
7.5853     6.2112     8.77
7.353      6.3312     8.7523







