NME        KL39-1     Too3sf2
7.8279     5.6573     7.4656
7.8187     5.5639     7.3886
7.797      5.4168     7.3092
7.7323     5.2098     7.1787
7.6715     4.942      6.9912
7.6576     4.8417     6.9261
7.6569     4.6836     6.8518
7.5975     4.4969     6.7414
7.5251     4.2256     6.6124
7.4374     4.0628     6.4971
7.4545     3.8596     6.3671
7.4119     3.6779     6.2217
7.3454     3.4901     6.052
7.2739     3.2706     5.8751
7.2234     3.1017     5.7083
7.1669     2.9536     5.5132
7.0945     2.8538     5.3691
6.9528     2.6345     5.1315
6.8764     2.4764     4.8978
6.8571     2.4144     4.7558
6.6989     2.2154     4.5537
6.7393     1.9999     4.2369
6.6776     1.9257     4.0453
6.5682     1.88       3.8063
6.3182     2.01       3.6283
6.2174     2.1498     3.531
6.0013     2.2333     3.5679









































































































































































4.7262     8.3093     3.5331     ROSTRUM
4.8445     8.2954     4.143
4.9548     8.2169     4.5497
5.0266     8.1882     4.7126
5.1078     8.1526     4.854
5.1942     8.1522     5.0292
5.2387     8.0579     5.1994
5.3223     8.0276     5.3819
5.3856     7.9557     5.5966
5.4621     7.967      5.7446
5.4896     7.8764     5.8996
5.5308     7.8212     6.0597
5.6132     7.8272     6.246
5.7026     7.8596     6.396
5.7743     7.816      6.5365
5.8933     7.8269     6.6693
5.9822     7.7606     6.8046
6.1239     7.6362     7.0176
6.2429     7.5566     7.1111
6.4157     7.5043     7.2114
6.5503     7.4304     7.3164
6.7033     7.3249     7.3937
6.8193     7.2657     7.4614
6.9429     7.1331     7.5929
7.1298     6.9918     7.6802
7.2877     6.8901     7.7145
7.383      6.817      7.7438
7.484      6.7608     7.8023
8.0672     6.2902     7.7355
8.226      6.1968     7.6863
8.2968     6.1025     7.5345
8.3889     6.0573     7.4374
8.447      5.9589     7.3687
8.5773     5.8634     7.282
8.6742     5.782      7.224
8.7685     5.7167     7.136
8.9014     5.6079     7.0577
8.9333     5.5681     6.9931
9.0163     5.5141     6.916
9.0717     5.4432     6.8008
9.1226     5.365      6.7027
9.1965     5.3252     6.5743
9.2362     5.2752     6.464
9.269      5.2073     6.2709
9.2769     5.1374     6.0217
9.2548     5.1094     5.888
9.2813     5.075      5.7123
9.3245     5.026      5.4666
9.3603     4.9169     5.273
9.4126     4.8718     5.0996
9.5246     4.7993     4.8343
9.5619     4.7569     4.6484
9.6208     4.7057     4.4079
9.6585     4.6402     4.1936
9.6732     4.646      4.0494
9.6904     4.6344     3.8996
9.7418     4.6516     3.7403
9.7602     4.692      3.5993
9.7414     4.6963     3.4605
9.7033     4.723      3.3198












































































































































7.5053     13.7567    10.6848    SUPORB
7.5012     13.6524    10.9719
7.6281     13.5075    11.1659
7.6732     13.507     11.2278
7.8238     13.2795    11.5015
7.9026     13.1245    11.598
8.0604     12.9355    11.712
8.1345     12.8014    11.772
8.2943     12.5746    11.8811
8.4353     12.3732    11.9921
8.5505     12.2186    12.0315
8.6858     12.0214    12.0959
8.8586     11.8187    12.1444
9.0556     11.7138    12.1588
9.2239     11.6248    12.1682
9.403      11.611     12.1762
9.6599     11.5826    12.1817
9.8953     11.4108    12.1551
10.0226    11.2336    12.1416
10.1226    10.9639    12.1396
10.1746    10.7971    12.0872
10.2863    10.5787    12.0459
10.3425    10.3545    11.9742
10.3996    10.1741    11.9416
10.5361    10.0587    11.9306
10.6964    10.0498    12.0346
10.903     10.1043    12.1133
11.1055    10.1279    12.1494
11.3425    10.0981    12.1931
11.5744    10.0909    12.1819
11.8052    9.9935     12.1943
11.9429    9.8346     12.2004
12.0638    9.6513     12.2069
12.1692    9.4596     12.1932
12.3297    9.3725     12.1919
12.544     9.2909     12.1601
12.5923    9.124      12.1004
12.835     9.0602     12.0124
13.0439    9.0128     11.9372
13.3394    8.9369     11.7823
13.5035    8.8992     11.6869
13.7116    8.9188     11.5755
13.9034    8.866      11.4279
14.1191    8.86       11.267
14.2496    8.846      11.1747
14.4695    8.8915     11.082
14.5774    8.863      10.9055
14.6766    8.7853     10.6011
























































































































































7.9244     10.2383    8.5666     RORBIT
7.7936     10.3172    8.5569
7.6571     10.4351    8.543
7.3784     10.6981    8.497
7.2929     10.8749    8.5324
7.2661     11.1       8.5858
7.2027     11.4048    8.7191
7.213      11.6276    8.852
7.3711     11.9048    9.2307
7.1106     12.1979    9.3018
7.225      12.4588    9.6856
7.2736     12.5159    9.9294
7.4712     12.4325    10.2459
7.4423     12.3805    10.4376
7.3816     12.3184    10.7548
7.425      12.213     10.9371
7.5268     12.0525    11.1411
7.6353     11.9104    11.1745
7.7921     11.7753    11.2644
7.8713     11.6608    11.3232
8.0239     11.5011    11.3648
8.1398     11.3316    11.4556
8.3039     11.2158    11.4197
8.4549     11.0531    11.4241
8.5958     10.9367    11.3225
8.7354     10.8018    11.354
8.9233     10.6838    11.3447
9.1046     10.5649    11.3546
9.2561     10.465     11.4299
9.4079     10.3628    11.292
9.526      10.287     11.0744
9.481      10.1301    10.6786
9.499      9.9712     10.5307
9.4882     9.9198     10.3577






































































































































































10.7993    7.7521     8.4472     LORBIT
11.1035    7.6145     8.3708
11.396     7.5055     8.3509
11.5833    7.4767     8.3751
11.7688    7.4788     8.4274
11.9297    7.4672     8.4929
12.1491    7.5088     8.6165
12.4323    7.6532     8.804
12.6839    7.67       8.9903
12.8197    7.8146     9.1529
13.0091    7.9322     9.3152
13.3487    8.2362     9.8317
13.4025    8.2715     10.031
13.4544    8.2141     10.245
13.4322    8.1827     10.5168
13.3094    8.1926     10.702
13.1775    8.2268     10.8699
12.9875    8.2806     11.0379
12.8138    8.2818     11.2574
12.5534    8.3768     11.2737
12.271     8.4278     11.3553
11.8751    8.5352     11.4369
11.6028    8.7384     11.3835
11.4528    8.8605     11.344
11.3108    8.9567     11.3472
11.171     9.0279     11.3553
10.9694    9.2192     11.4333
10.816     9.3332     11.3148
10.6577    9.3804     11.1898
10.5942    9.3856     11.0299
10.3672    9.3374     10.8099
10.3471    9.309      10.6573
10.3433    9.3061     10.5095
10.307     9.2837     10.3208
10.3005    9.2891     10.1587
