AMNH       116274     Phk1stv








































































































































7.91       9.6964     5.7488     ROSTRUM
7.8823     9.6577     5.8999
7.862      9.5954     6.0551
7.8701     9.5401     6.1522
7.9085     9.4421     6.2665
7.9953     9.3762     6.4214
8.0377     9.2746     6.5552
8.0774     9.2237     6.687
8.1188     9.1123     6.8326
8.1376     9.0129     6.9698
8.1515     8.9148     7.1653
8.1573     8.8582     7.3453
8.1563     8.8157     7.4591
8.1263     8.7589     7.6344
8.1263     8.714      7.8428
8.1859     8.6348     8.0399
8.2173     8.545      8.168
8.2937     8.395      8.2728
8.4004     8.2753     8.4348
8.5099     8.1791     8.6153
8.5723     8.104      8.7885
8.7099     7.9651     9.0008
8.8193     7.9048     9.0837
8.9058     7.7895     9.0859
9.0605     7.6804     9.0473
9.1193     7.6268     8.9948
9.3196     7.6248     8.9386
9.4002     7.5727     8.8057
9.5157     7.505      8.6593
9.6735     7.4554     8.4661
9.7802     7.4303     8.3109
9.8891     7.3723     8.2116
10.006     7.3653     8.1162
10.0912    7.363      7.9692
10.1624    7.3807     7.8437
10.188     7.3995     7.737
10.2008    7.4406     7.6157
10.2351    7.4845     7.4797
10.2754    7.5378     7.2935
10.3157    7.5258     7.1308
10.3264    7.5031     6.9745
10.392     7.4636     6.7864
10.4877    7.4484     6.6138
10.5579    7.4252     6.5097
10.6063    7.3687     6.407
10.6632    7.3696     6.3206
10.7477    7.3109     6.2095
10.8168    7.2548     6.0665
10.8496    7.2834     5.8531
10.8724    7.307      5.7277
10.9023    7.3521     5.617
10.9405    7.3816     5.5821
10.983     7.4079     5.5249



















































































































































7.76       11.5171    10.7592    SUPORB
7.8128     11.4767    10.9353
7.8339     11.4158    11.156
7.8796     11.2599    11.3501
7.9597     11.0316    11.5331
8.0555     10.8126    11.6933
8.1054     10.6596    11.7787
8.1713     10.4838    11.8836
8.2154     10.2743    11.9362
8.4182     10.0988    12.0594
8.4809     9.8998     12.0592
8.6344     9.6825     12.0986
8.7857     9.4871     12.1372
8.8881     9.3405     12.1398
8.9846     9.1769     12.157
9.1133     9.027      12.1844
9.1881     8.9095     12.1844
9.2541     8.7984     12.1623
9.309      8.6703     12.1073
9.4001     8.5917     12.077
9.4446     8.5079     12.0583
9.5409     8.4136     12.0253
9.6205     8.3481     12.0267
9.7782     8.2585     12.0565
9.9273     8.2153     12.0986
10.0728    8.1558     12.1212
10.2002    8.1488     12.1613
10.3793    8.0821     12.1647
10.5557    7.9902     12.1264
10.7046    7.8552     12.0641
10.9034    7.7326     12.0232
11.0761    7.6656     12.0132
11.3041    7.5706     11.9699
11.4777    7.5344     11.9318
11.5809    7.5136     11.8906
