UWMA       ZA 180     Phu74stv
18.3586    20.6381    10.8222    IN
15.807     18.0298    14.8569    BR
11.8165    13.2086    14.1938    GL
11.8547    13.2399    13.735     NA
9.8073     10.7722    9.6494     RH
8.4533     9.2214     6.9855     NS
8.194      9.0278     5.8638     PR
7.5754     9.8048     6.0423     R_PR2
9.9894     11.7898    10.1745    R_PMS
9.3865     15.274     8.7851     R_ZMI
10.483     14.4418    11.3894    R_ZMU
11.6313    13.4751    12.5521    R_DA
10.7697    14.7907    14.0721    R_MTI
11.4132    15.0176    14.7446    R_MTS
10.1024    16.0264    12.4622    R_FMO
10.2071    16.8858    12.4774    R_FMT
12.3212    20.16      9.8378     R_PO
9.6173     17.0617    9.5542     R_ZTS
9.1179     8.4828     6.0004     L_PR2
10.8282    11.2516    10.2998    L_PMS
14.5493    11.094     8.8931     L_ZMI
13.3198    11.9892    11.4869    L_ZMU
12.143     13.0246    12.5331    L_DA
13.3062    12.5324    14.0514    L_MTI
13.4836    12.9965    14.7929    L_MTS
14.9067    11.9451    12.686     L_FMO
15.6996    12.289     12.3642    L_FMT
18.68      15.2536    10.1974    L_PO
16.3166    11.6236    9.9042     L_ZTS
8.4904     8.333      6.1125     O1
10.7363    17.1128    13.3071    O2
17.7736    12.5748    9.8238     O3
19.3655    19.2439    10.4656    O4







































































































































































11.8038    13.2204    14.1635    GLRH
11.7755    13.2236    13.9543
11.821     13.2208    13.8199
11.8257    13.219     13.6651
11.812     13.2502    13.3894
11.8131    13.1984    13.141
11.7593    13.1553    12.9529
11.7184    13.0961    12.7495
11.6752    13.0319    12.6016
11.6141    13.0224    12.4909
11.565     12.9434    12.3515
11.5467    12.8451    12.2344
11.4811    12.8046    12.1003
11.4179    12.7579    11.9605
11.3642    12.6631    11.826
11.2834    12.5693    11.6688
11.1798    12.3917    11.4331
11.0699    12.2293    11.2573
10.9627    12.1447    11.1243
10.8828    12.0385    10.9894
10.7981    11.9446    10.8815
10.7127    11.8344    10.8038
10.5933    11.7403    10.7053
10.5124    11.6795    10.6304
10.4381    11.5648    10.5434
10.3227    11.4668    10.4283
10.2598    11.3388    10.3275
10.1543    11.2034    10.1799
10.1057    11.1176    10.0812
10.0672    11.0302    10.0148
10.0191    10.9225    9.9136
9.9734     10.8644    9.8553
9.8895     10.8056    9.7755
9.8247     10.7651    9.6229






































































































































































9.8294     10.7598    9.6327     NOSE
9.6867     10.8681    9.6321
9.5588     10.9402    9.6236
9.3794     11.0517    9.5888
9.24       11.0991    9.5533
9.0923     11.0875    9.4287
9.0026     11.0558    9.3091
8.8779     11.0802    9.2019
8.7745     10.983     9.0803
8.64       10.9231    8.9492
8.542      10.8692    8.8454
8.4137     10.8315    8.694
8.3442     10.7739    8.5837
8.2155     10.6907    8.3965
8.1021     10.5687    8.2361
8.0718     10.4652    8.087
8.0043     10.3437    7.9121
7.9643     10.1687    7.7507
7.9169     10.0466    7.6423
7.892      9.8651     7.5424
7.9414     9.708      7.4535
7.9918     9.6588     7.4019
8.0781     9.6139     7.3225
8.1296     9.5247     7.2241
8.1855     9.4425     7.1525
8.2355     9.3629     7.0771
8.3204     9.2637     6.9823
8.4186     9.2051     6.9676
8.5044     9.1418     7.0313
8.6893     9.0672     7.1761
8.8261     8.9658     7.3094
8.9219     8.9307     7.4022
9.0596     8.8816     7.5074
9.1918     8.8769     7.5943
9.3007     8.9765     7.6833
9.3821     9.056      7.7977
9.4996     9.1482     7.945
9.6066     9.1338     8.0699
9.6835     9.1937     8.1534
9.7494     9.3026     8.2973
9.8433     9.3481     8.4218
9.9291     9.3959     8.5814
9.9734     9.5312     8.7316
10.035     9.6221     8.8745
10.0791    9.7917     8.9964
10.1118    9.9068     9.0816
10.137     9.963      9.2336
10.1767    10.0685    9.2931
10.1807    10.1496    9.41
10.1949    10.2903    9.4387
10.0756    10.4079    9.4881
10.0353    10.5511    9.6214
9.9474     10.6467    9.6674
9.8213     10.7843    9.669


















































































































































8.4087     9.2152     6.9673     NASP-PR
8.3119     9.1138     6.8797
8.2218     9.0072     6.7422
8.1698     8.95       6.5203
8.1538     8.9157     6.2852
8.141      8.9066     6.1039
8.1894     8.9357     5.9385

































































































































































































9.9656     11.7681    10.1322    R-PM/MAX
9.8538     11.6589    10.0527
9.7191     11.5476    9.9977
9.5963     11.4971    9.9252
9.4417     11.4454    9.8107
9.3312     11.3934    9.7317
9.2018     11.3518    9.551
9.1327     11.2827    9.4676
9.0499     11.2644    9.3662
8.8987     11.2262    9.2082
8.7956     11.1795    9.0907
8.7237     11.1157    9.0008
8.6095     11.0649    8.9054
8.5239     11.0101    8.832
8.4298     10.9921    8.7334
8.3162     10.9444    8.6119
8.2239     10.8962    8.4917
8.1751     10.8646    8.3547
8.1314     10.8504    8.2095
8.0441     10.7987    8.0107
8.0061     10.7648    7.895
7.9053     10.7335    7.6797
7.8329     10.662     7.4919
7.7964     10.6841    7.4479
7.7638     10.7852    7.3035
7.6878     10.8909    7.2211
7.6333     10.9102    7.0964
7.572      10.9242    6.9743
7.5063     10.9302    6.8048
7.4705     10.912     6.6232
7.4728     10.9145    6.4548
7.5103     10.794     6.2496
7.6141     10.6352    6.0478







































































































































































10.8006    11.2244    10.2949    L-PM/MAX
10.7119    11.0056    10.1043
10.665     10.8369    9.9945
10.603     10.7198    9.898
10.5532    10.5734    9.8156
10.495     10.4093    9.6881
10.4496    10.2745    9.555
10.3969    10.1264    9.4067
10.3821    10.0105    9.2811
10.3458    9.8888     9.1502
10.3397    9.7834     9.0442
10.3109    9.686      8.919
10.2563    9.5204     8.7534
10.1872    9.3676     8.5125
10.1764    9.2786     8.3796
10.1158    9.1183     8.0991
10.0808    8.9878     7.7967
10.0523    8.9533     7.6037
10.1091    8.8504     7.3531
10.2036    8.785      7.2249
10.2624    8.7545     7.1232
10.3315    8.6943     6.988
10.3565    8.6592     6.8192
10.3293    8.5714     6.6493
10.2789    8.5401     6.5332
10.1753    8.6076     6.3051
10.1478    8.6695     6.1752













































































































































































9.0606     13.6601    6.8198     ROSTRUM
9.0532     13.6164    6.9624
9.1207     13.7731    6.8667
9.1267     13.7015    7.058
9.092      13.6084    7.3695
9.1324     13.5629    7.5058
9.2262     13.4849    7.6544
9.2984     13.4086    7.7351
9.3783     13.3393    7.8576
9.4149     13.235     7.972
9.469      13.1703    8.1102
9.4616     13.127     8.281
9.4308     13.0807    8.4676
9.3983     13.0414    8.7129
9.3564     13.008     8.8978
9.3237     12.9809    9.0966
9.2952     12.9719    9.2972
9.2781     12.9085    9.4968
9.3514     12.8539    9.6823
9.4449     12.6965    9.8121
9.6126     12.5156    9.9061
9.6621     12.43      9.9681
9.7648     12.3403    10.0676
9.8847     12.169     10.1417
9.9941     12.0603    10.2044
10.0648    12.0007    10.2723
10.1507    11.925     10.3617
10.3029    11.8344    10.4671
10.3909    11.7534    10.5367
10.506     11.6437    10.5881
10.6698    11.4873    10.4999
10.8378    11.3551    10.4155
10.9657    11.3137    10.3198
11.0968    11.2206    10.2132
11.2241    11.1353    10.177
11.3878    11.0155    10.0825
11.5158    10.9633    9.9762
11.6658    10.8456    9.8976
11.7686    10.8024    9.8489
11.8902    10.7469    9.7861
11.956     10.7284    9.7348
11.962     10.686     9.4933
12.0118    10.7031    9.2497
12.054     10.7242    8.9909
12.0973    10.7691    8.808
12.1264    10.769     8.6074
12.1683    10.8154    8.4106
12.2472    10.8589    8.1431
12.3662    10.7993    7.9692
12.4866    10.7334    7.8382
12.6073    10.6601    7.7502
12.7173    10.5807    7.6391
12.7861    10.5107    7.5229
12.8482    10.4918    7.375
12.8837    10.5031    7.2524
12.9274    10.5018    7.1122
12.9755    10.5092    7.0325
13.0309    10.5046    6.9333














































































































































10.2047    16.9324    12.3137    SUPORB
10.2671    16.9638    12.5544
10.2773    16.9075    12.727
10.3329    16.8302    13.0075
10.3661    16.6433    13.322
10.4638    16.4986    13.5829
10.5427    16.3132    13.8016
10.5949    16.1772    13.949
10.68      16.0243    14.0914
10.8142    15.7436    14.3049
10.9296    15.467     14.4557
11.1165    15.3136    14.5982
11.2688    15.1292    14.7071
11.4949    14.931     14.8038
11.6811    14.7895    14.8734
11.8333    14.5947    14.9036
11.9209    14.4382    14.8752
11.9736    14.2009    14.8479
12.0225    14.0296    14.8057
12.036     13.8771    14.7599
12.0732    13.687     14.7407
12.1273    13.5525    14.7231
12.3157    13.4683    14.7571
12.5223    13.3793    14.8131
12.6986    13.3771    14.8511
12.8717    13.3546    14.9172
13.0246    13.3436    14.9175
13.2395    13.2214    14.9059
13.4185    13.1734    14.8814
13.68      13.0532    14.814
13.8758    12.8417    14.7059
13.957     12.7241    14.6214
14.008     12.5559    14.5228
14.1347    12.4875    14.4542
14.3303    12.3735    14.3495
14.5239    12.3828    14.2514
14.7159    12.3291    14.1308
14.8632    12.337     14.0216
15.0431    12.3671    13.8598
15.237     12.2682    13.5807
15.3769    12.2885    13.3824
15.4579    12.2439    13.1699
15.5522    12.2412    12.9962
15.5959    12.215     12.8529
15.7223    12.259     12.636
15.6785    12.1773    12.5006





































































































































