AMNH       103356     scc3cs.xls
10.9891    12.0094    -6.5931    IN
9.1455     9.8675     -8.723     BR
5.8823     6.7025     -7.3218    GL
5.8276     6.6838     -7.2183    NA
5.3439     6.2127     -5.756     RH
4.8091     5.7395     -4.5059    NS
4.5129     5.4778     -4.1789    PR
4.8204     5.2396     -4.1061    R_PR2
5.6518     6.3051     -6.1948    R_PMS
7.9919     5.3925     -4.4895    R_ZMI
6.7656     6.1369     -5.7961    R_ZMU
6.2726     6.7078     -6.8948    R_DA
7.1501     6.0464     -7.6653    R_MTI
7.3285     6.165      -8.0797    R_MTS
8.0721     5.4943     -6.9409    R_FMO
8.6218     5.4996     -6.9222    R_FMT
10.6493    8.6082     -5.1523    R_PO
9.301      5.8162     -5.0363    R_ZTS
4.2362     5.8794     -4.111     L_PR2
5.4595     6.5289     -6.2501    L_PMS
4.2385     8.8493     -4.616     L_ZMI
5.1314     7.6266     -5.8526    L_ZMU
5.6717     7.094      -6.8957    L_DA
5.1219     8.1678     -7.7298    L_MTI
5.2027     8.2299     -8.145     L_MTS
4.5082     8.9867     -7.0231    L_FMO
9999       9999       9999       L_FMT
7.2933     11.7639    -5.2931    L_PO
4.6491     10.2011    -5.284     L_ZTS
4.4143     6.9451     -4.5736    O1
4.2996     8.7068     -5.5614    O2
7.2773     11.9479    -6.436     O3
11.194     11.1045    -7.0186    O4







































































































































































5.8738     6.7248     -7.2874    GLRH
5.8163     6.6614     -7.1669
5.7558     6.6233     -6.9536
5.6855     6.5297     -6.7362
5.6232     6.4647     -6.4839
5.5577     6.378      -6.2513
5.4713     6.3185     -6.0327
5.3951     6.2381     -5.8871
5.349      6.2102     -5.7654































































































































































































5.3778     6.24       -5.7427    NOSE
5.5217     6.1583     -5.785
5.5737     6.0659     -5.7033
5.6068     5.9003     -5.4317
5.5352     5.7863     -5.1062
5.4385     5.6941     -4.9658
5.2623     5.6449     -4.8316
5.0821     5.678      -4.7553
4.9147     5.66       -4.6645
4.8082     5.7404     -4.5138
4.7259     5.9287     -4.6843
4.7498     6.1553     -4.8484
4.8056     6.3356     -4.9573
4.8335     6.4733     -5.183
4.9373     6.4971     -5.3889
5.0354     6.4893     -5.5797
5.1456     6.4704     -5.7131
5.2381     6.4375     -5.7584
5.2933     6.4112     -5.7591
5.3191     6.2875     -5.7215




















































































































































































4.8173     5.7894     -4.5106    NASP-PR
4.6675     5.6767     -4.4386
4.573      5.5633     -4.34
4.5337     5.538      -4.2485
4.539      5.5266     -4.1315



































































































































































































5.6316     6.3598     -6.1885    R-PM/MAX
5.7052     6.2466     -6.079
5.7        6.124      -5.8725
5.6662     6.0075     -5.6564
5.6713     5.9016     -5.4403
5.657      5.7466     -5.1433
5.6738     5.5989     -4.9688
5.6347     5.4973     -4.7378
5.5661     5.3389     -4.5111
5.4619     5.2092     -4.2914
5.4158     5.1852     -4.1232
5.3853     5.2255     -4.0773




























































































































































































5.4541     6.5224     -6.2423    L-PM/MAX
5.3034     6.5305     -6.0656
5.2069     6.5329     -5.9409
5.0737     6.5568     -5.7297
4.9247     6.5674     -5.484
4.7651     6.5527     -5.2406
4.5948     6.5761     -4.9131
4.424      6.5165     -4.6598
4.271      6.4718     -4.4661
4.154      6.408      -4.2904
4.2082     6.3643     -4.1016




















































































