KNM        ER 6001    Too22stv
17.3053    20.3808    7.5165     IN
13.9499    16.9296    11.579     BR
10.0346    12.2292    9.9921     GL
10.0268    12.166     8.8532     NA
8.861      10.3579    6.8767     RH
7.9408     8.8405     4.4363     NS
7.6175     8.3596     3.7393     PR
7.166      8.9598     3.57       R_PR2
8.7776     11.0544    7.008      R_PMS
7.6716     14.3315    5.3382     R_ZMI
8.4615     13.5133    7.7491     R_ZMU
9.7138     12.6115    8.5125     R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
11.5551    19.7613    6.1366     R_PO
9999       9999       9999       R_ZTS
8.2        8.1951     3.6813     L_PR2
9.5205     10.1707    6.8137     L_PMS
13.3961    9.7058     5.2509     L_ZMI
11.9643    10.7907    7.7577     L_ZMU
10.6261    12.0037    8.5788     L_DA
9999       9999       9999       L_MTI
11.7402    11.5037    10.3568    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
17.8698    14.8556    6.4211     L_PO
15.6029    10.5424    6.6271     L_ZTS
8.7564     8.5289     4.9709     O1
14.6324    9.6273     6.4658     O2
9.5454     15.9404    10.4733    O3
18.2498    19.3009    6.9139     O4







































































































































































9.9747     12.1732    9.828      GLRH
9.9677     12.1962    9.5485
9.989      12.2323    9.3175
10.0432    12.2301    9.1104
10.0275    12.1893    8.8832
9.9858     12.0926    8.6283
9.9184     11.9643    8.4017
9.8759     11.8533    8.2723
9.8182     11.7393    8.1401
9.7213     11.5866    7.9546
9.6577     11.4811    7.8767
9.5633     11.35      7.7324
9.4483     11.1852    7.6042
9.3722     11.045     7.5079
9.3044     10.9185    7.4316
9.1759     10.7733    7.312
9.1155     10.6904    7.2077
9.0069     10.5692    7.084
8.9467     10.5138    7.0384
8.8813     10.4581    6.9362






