AMNH       169432     Phu1pwl























-0.0516    7.7127     10.5943    L-PM/MAX
-0.0084    7.5414     10.3725
0.0601     7.3825     10.2355
0.1405     7.1818     10.0446
0.1979     7.0241     9.869
0.2599     6.854      9.7417
0.3423     6.6757     9.6076
0.4291     6.4132     9.3344
0.4451     6.4206     9.3244
0.5075     6.1976     9.061
0.5446     6.0439     8.839
0.5884     5.8507     8.5125
0.6307     5.6835     8.2196
0.6664     5.5622     7.9468
0.7125     5.3903     7.7267
0.7473     5.2663     7.4789
0.8509     5.1093     7.247
1.022      5.0602     7.0086
1.0694     5.0575     6.6752
1.1022     5.1375     6.573
0.864      5.1072     6.4384
0.7652     5.1115     6.2566


















































































































































































-3.2836    10.158     6.4857     ROSTRUM
-3.306     10.1595    6.822
-3.2971    10.1581    7.118
-3.1608    10.0635    7.4733
-3.0343    10.0032    7.7219
-2.9159    9.946      8.0603
-2.931     9.8737     8.3487
-2.9749    9.8908     8.6399
-3.0848    9.8487     8.9621
-3.2083    9.8707     9.3045
-3.4226    9.7976     9.7329
-3.5698    9.738      9.9977
-3.6195    9.6587     10.2077
-3.4484    9.4688     10.4716
-3.4407    9.3205     10.7568
-3.0133    9.2164     10.9589
-2.7226    9.2191     10.9635
-2.2799    9.1914     11.0089
-1.9774    9.0759     11.1596
-1.6964    8.9496     11.3633
-1.4265    8.8483     11.7077
-1.0544    8.6821     11.8827
-0.6747    8.6513     11.8755
-0.3103    8.6826     11.8018
-0.0434    8.7841     11.432
0.3364     8.8504     11.23
0.6388     8.9351     11.1681
1.6096     8.7002     11.0905
1.7461     8.7452     10.9622
1.9402     8.7277     10.6744
1.9949     8.6947     10.3637
1.9276     8.7997     9.9297
1.7761     8.865      9.6197
1.6695     9.0004     9.1865
1.6088     9.0805     8.8025
1.6645     9.2085     8.4217
1.7669     9.2295     8.193
1.9429     9.2283     7.9445
2.1772     9.364      7.6949
2.354      9.4148     7.4445
2.4033     9.4648     7.2354
2.4422     9.4359     6.9638
2.4313     9.525      6.7942





























































































































































-5.2383    14.8293    14.3003    SUPORB
-5.2028    14.8916    14.7395
-5.0704    14.9174    15.08
-4.9886    14.9156    15.4222
-4.8326    14.8243    15.7604
-4.5186    14.8104    16.1282
-4.2331    14.6399    16.3929
-3.9862    14.45      16.5987
-3.8669    14.3747    16.652
-3.5538    14.1557    16.8181
-3.3283    13.982     16.8982
-3.0503    13.7979    16.9286
-2.7531    13.9986    17.0906
-2.3978    14.0812    17.1833
