NMNH       196986     See12stv
1.1729     12.655     7.3487     IN
1.3616     9.3743     8.8798     BR
1.7327     4.709      7.0258     GL
1.7794     4.6144     6.7429     NA
1.8122     4.1164     5.5758     RH
1.8924     3.1148     3.5857     NS
1.8965     2.6588     3.0545     PR
1.4053     2.6122     3.0579     R_PR2
1.4461     4.6182     6.2606     R_PMS
-1.0738    5.2513     3.9573     R_ZMI
-0.1181    5.0354     4.7626     R_ZMU
1.1527     5.2534     6.1613     R_DA
0.0045     5.0822     6.9311     R_MTI
-0.0054    5.1472     7.4141     R_MTS
-1.1485    5.489      6.0753     R_FMO
-1.5893    5.9292     6.6575     R_FMT
-1.8085    10.3308    4.9704     R_PO
-2.2991    6.254      4.3314     R_ZTS
2.3659     2.6574     3.0312     L_PR2
2.0008     4.6273     6.4802     L_PMS
4.5332     5.698      3.9022     L_ZMI
3.6089     5.3122     4.7699     L_ZMU
2.3142     5.1438     5.9943     L_DA
3.5305     5.3466     6.9307     L_MTI
3.5034     5.38       7.4163     L_MTS
4.5856     5.8654     6.2193     L_FMO
4.8498     6.3375     6.7413     L_FMT
4.492      10.8035    5.0156     L_PO
5.5576     6.7708     4.3876     L_ZTS
1.6187     2.4545     3.072      O1
4.3435     6.386      7.072      O2
-2.8945    8.1849     4.5221     O3
2.2675     12.7298    7.0957     O4







































































































































































1.7626     4.7        6.99       GLRH
1.7607     4.6451     6.8286
1.7574     4.5972     6.7267
1.7914     4.506      6.5468
1.7905     4.458      6.4169
1.7683     4.4543     6.2595
1.7729     4.3915     6.1345
1.8002     4.3232     5.9273
1.8092     4.2273     5.7932
1.8342     4.1623     5.7362
1.8256     4.1487     5.6973
1.8093     4.1217     5.601




























































































































































































1.8022     4.1123     5.5947     NOSE
1.4856     4.2024     5.4537
1.4086     4.1544     5.243
1.3006     4.0713     4.9448
1.2841     3.9579     4.6128
1.2698     3.8768     4.4218
1.3009     3.8026     4.2814
1.3426     3.6256     4.1216
1.4694     3.4321     3.9551
1.6158     3.2655     3.7768
1.7128     3.188      3.7043
1.817      3.1401     3.617
1.9208     3.0792     3.5985
2.0354     3.2224     3.7425
2.134      3.3035     3.8631
2.2646     3.4137     3.9709
2.3433     3.5479     4.0603
2.3513     3.685      4.1645
2.3549     3.794      4.2884
2.3816     3.9048     4.4587
2.395      4.0076     4.6309
2.3508     4.0827     4.8123
2.3687     4.1295     4.953
2.3067     4.1436     5.1245
2.2683     4.1641     5.2645
2.207      4.1914     5.3202
2.1264     4.2117     5.4921
1.8247     4.1299     5.59












































































































































































1.9023     3.0512     3.5908     NASP-PR
1.9128     2.8614     3.5139
1.9246     2.7556     3.4154
1.8927     2.7026     3.296
1.8979     2.6528     3.0837



































































































































































































1.4514     4.6044     6.2875     R-PM/MAX
1.3788     4.5793     5.9538
1.3422     4.5341     5.8166
1.2865     4.4754     5.6161
1.2466     4.3957     5.419
1.2177     4.3177     5.2275
1.2109     4.2431     5.0443
1.1785     4.1853     4.8692
1.122      4.1464     4.7164
1.097      3.9975     4.4991
1.0807     3.8873     4.3292
0.9605     3.7575     4.2292
0.9446     3.5161     4.0427
0.896      3.3189     3.8904
0.8256     3.1707     3.6656
0.8227     3.0404     3.5384
0.7961     2.9272     3.4135
0.7335     2.873      3.3166
0.8002     2.8774     3.1112





















































































































































































2.0053     4.5934     6.5238     L-PM/MAX
2.0712     4.6109     6.3225
2.1504     4.6432     6.093
2.2159     4.6002     5.8581
2.2732     4.494      5.6901
2.3025     4.3757     5.4829
2.3692     4.31       5.2593
2.3729     4.2735     5.1011
2.4308     4.1948     4.852
2.542      4.163      4.6039
2.6118     4.0369     4.417
2.68       3.8431     4.2305
2.7418     3.6438     4.0709
2.8108     3.4075     3.8039
2.8719     3.2726     3.6227
2.9658     3.1208     3.4882
3.0371     3.0204     3.3231
2.99       3.0175     3.0536






















































































































































































-0.1249    4.7571     3.0259     ROSTRUM
-0.0597    4.7387     3.2597
0.0424     4.7505     3.4958
0.1838     4.7027     3.7102
0.2656     4.7727     3.9283
0.3722     4.7362     4.1427
0.4783     4.7329     4.3983
0.6944     4.7199     4.688
0.8018     4.7357     4.8567
0.9246     4.726      5.0032
1.0548     4.6998     5.1484
1.1638     4.6787     5.4071
1.2306     4.6673     5.6757
1.3186     4.6303     5.9224
1.4143     4.5734     6.0919
1.4621     4.56       6.3049
1.5363     4.5595     6.487
1.733      4.621      6.7328
2.0138     4.6115     6.4845
2.1218     4.6886     6.2852
2.1778     4.7045     6
2.2306     4.7223     5.8047
2.3402     4.7471     5.4729
2.3956     4.7423     5.1956
2.5182     4.7401     4.9604
2.6723     4.7506     4.7756
2.8319     4.773      4.6232
3.0089     4.7632     4.262
3.1122     4.8072     4.0066
3.2176     4.8499     3.745
3.3002     4.864      3.5737
3.4364     4.9477     3.3364
3.5262     4.9785     3.1601
3.5745     4.9899     2.9092






































































































































































-1.5899    5.9028     6.6673     SUPORB
-1.4505    5.8283     6.822
-1.2171    5.7362     6.9988
-1.0463    5.6816     7.1648
-0.8011    5.5359     7.2804
-0.6588    5.418      7.3138
-0.3711    5.3284     7.3743
-0.1332    5.2293     7.4184
0.0233     5.138      7.424
0.1758     5.1018     7.4294
0.3167     5.0672     7.4393
0.5175     5.0215     7.4274
0.7422     4.9755     7.4203
0.973      4.9428     7.4106
1.2272     4.8824     7.3696
1.415      4.8872     7.3347
1.6673     4.8701     7.2514
1.7748     4.9111     7.2707
1.9813     4.8965     7.3087
2.1797     4.9622     7.3861
2.7371     5.1465     7.4375
