NMNH       257998     Pyg1stv
0.531      4.3393     4.1595
0.661      4.3997     4.0153
0.8501     4.4145     3.823
0.9602     4.4482     3.6371
1.1277     4.5158     3.3902
1.1832     4.5534     3.2273
1.187      4.5711     3.0332
1.1917     4.6133     2.8531
1.1724     4.5761     2.6534













































































































































































-3.6885    5.7171     6.0104     SUPORB
-3.5791    5.6642     6.2855
-3.3243    5.5894     6.5286
-3.1353    5.4747     6.657
-2.9429    5.3863     6.7862
-2.7179    5.2849     6.8932
-2.4708    5.1624     6.9756
-2.2633    5.0387     7.0368
-1.9602    4.9549     7.0812
-1.6875    4.9067     7.1132
-1.3723    4.8498     7.1173
-1.0556    4.8104     7.1222
-0.7771    4.7391     7.0819
-0.5208    4.6923     7.0578
-0.314     4.7357     7.078
-0.0735    4.7417     7.0707
0.1625     4.7559     7.0683
0.476      4.8311     7.0722
0.7173     4.9001     7.0714
1.1727     5.0336     7.0085
1.5293     5.1321     6.887
1.793      5.2577     6.7902
2.1821     5.4507     6.5648
2.4375     5.5774     6.3096
2.5593     5.6576     6.1597
2.6591     5.83       5.9738














































































































































































-2.5499    4.6464     4.3645     RORBIT
-2.7665    4.6915     4.4367
-2.9696    4.7635     4.5151
-3.1688    4.8198     4.6891
-3.2892    4.927      4.8447
-3.3363    4.9945     4.9603
-3.3765    5.0481     5.131
-3.4458    5.1176     5.3827
-3.4191    5.1776     5.6282
-3.3435    5.1857     5.8993
-3.2284    5.1231     6.1604
-3.0375    5.0864     6.4052
-2.8217    5.0626     6.5308
-2.6182    4.9872     6.6506
-2.3414    4.897      6.7248
-1.9752    4.7747     6.761
-1.7598    4.7177     6.7762
-1.521     4.6298     6.7728
-1.3478    4.5937     6.7069
-1.1804    4.5522     6.665
-0.9949    4.5518     6.4931
-0.9164    4.5562     6.3548
-0.8512    4.5632     6.1575
-0.8575    4.5641     5.8997
















































































































































































1.5775     4.7197     4.2811     LORBIT
1.8017     4.7685     4.3612
1.9751     4.837      4.4486
2.1598     4.9363     4.5608
2.2592     5.052      4.6805
2.3762     5.1003     4.8379
2.4022     5.1637     4.9813
2.3871     5.2279     5.1451
2.4449     5.2594     5.3713
2.4255     5.2961     5.5869
2.3965     5.3234     5.7618
2.3901     5.2766     5.9799
2.2573     5.2093     6.1915
2.0714     5.1502     6.3705
1.9537     5.1241     6.488
1.7381     5.0666     6.6491
1.5177     4.9828     6.7142
1.2339     4.898      6.6966
0.9738     4.7797     6.7374
0.7528     4.7428     6.71
0.4535     4.6782     6.668
0.2408     4.6171     6.6281
-0.0047    4.5715     6.4919
-0.0535    4.6129     6.2847
-0.0934    4.6296     6.0847
-0.1182    4.6052     5.9504














































































































































































-3.7194    5.6872     5.9909     RTEMFOS
-3.7418    5.6645     5.7384
-3.7738    5.6435     5.5514
-3.7625    5.6233     5.3254
-3.8099    5.5039     5.1594
-3.7952    5.4029     5.0094
-3.7731    5.3728     4.8173
-3.7204    5.3786     4.5965
-3.7191    5.3548     4.4452
-3.7101    5.4599     4.2208
-3.7414    5.5036     4.1099
-3.7486    5.6283     4.048
-3.781     5.7458     4.0116
-3.8464    5.9002     4.0138
-3.8499    5.9323     4.0389
-3.8862    5.9988     4.0646
























































































































































































2.5944     5.9996     5.8292     LTEMFOS
2.6581     5.8887     5.7488
2.7022     5.8085     5.6318
2.7375     5.7483     5.4095
2.7618     5.6901     5.2074
2.7584     5.6294     5.0109
2.7441     5.5847     4.852
2.7198     5.4897     4.673
2.6839     5.5223     4.4543
2.6634     5.56       4.2659
2.6568     5.6385     4.0809
2.6841     5.7748     3.9618
2.7284     5.8941     3.9019
2.7624     6.0044     3.8884
2.7578     6.1542     3.9432





















































































