NMNH       122173     See13stv
2.1837     13.0059    5.4322     IN
1.8545     10.2699    7.9631     BR
1.2522     5.4085     6.1876     GL
1.252      5.4236     6.1945     NA
1.2032     4.9631     5.0108     RH
1.0842     4.0626     3.4317     NS
1.0374     3.5473     3.0624     PR
0.5549     3.703      2.9372     R_PR2
0.9016     5.2499     5.2254     R_PMS
-1.3656    6.2201     3.5593     R_ZMI
-0.4036    5.9289     4.1877     R_ZMU
0.9183     6.0485     5.593      R_DA
-0.3809    6.08       6.43       R_MTI
-0.364     6.1335     6.6335     R_MTS
-1.4047    6.4743     5.695      R_FMO
-1.4683    7.1476     5.8824     R_FMT
-0.8664    10.7466    4.0399     R_PO
9999       9999       9999       R_ZTS
1.5119     3.5877     2.9708     L_PR2
1.6019     5.1298     5.1872     L_PMS
3.9893     5.5956     3.6516     L_ZMI
3.0168     5.4996     4.2164     L_ZMU
1.7727     5.775      5.618      L_DA
2.8506     5.7176     6.4328     L_MTI
2.8405     5.7509     6.635      L_MTS
4.1229     5.9057     5.6954     L_FMO
4.2781     6.5203     5.9244     L_FMT
4.6943     10.0714    4.0468     L_PO
5.0007     6.349      3.8226     L_ZTS
0.7246     3.285      2.7136     O1
-0.7464    7.5618     6.3348     O2
5.4547     8.8685     3.8222     O3
0.9332     12.9707    5.7336     O4







































































































































































1.2715     5.4106     6.2223     GLRH
1.2687     5.3097     6.0495
1.2311     5.2795     5.9144
1.2522     5.2644     5.7883
1.2542     5.241      5.6303
1.2867     5.2259     5.4967
1.2692     5.1663     5.3385
1.2508     5.0683     5.2338
1.2265     5.0202     5.1459
1.2096     5          5.0583
1.2033     4.9304     5.0074





























































































































































































