LSZT       R5         Phu189sf
-0.3507    21.3428    13.7867    IN
-0.2833    16.8719    16.482     BR
-0.4564    9.9762     16.1088    GL
-0.5187    9.9947     15.4872    NA
-0.3797    3.6115     9.2367     RH
-0.2408    0.4531     5.6196     NS
-0.2312    -0.1955    4.4263     PR
-1.392     0.155      4.3261     R_PR2
-1.1888    4.3933     9.6461     R_PMS
-4.7001    8.9402     9.5023     R_ZMI
-2.4484    9.9135     13.226     R_ZMU
-1.0135    9.9355     14.2524    R_DA
-2.4825    10.1984    15.9076    R_MTI
-2.1187    11.1796    16.9892    R_MTS
-4.1411    10.8197    14.0434    R_FMO
-5.1367    11.5414    14.3467    R_FMT
-5.2516    17.2417    11.0949    R_PO
-6.1633    11.2006    10.8297    R_ZTS
0.8451     0.0475     4.5664     L_PR2
0.2693     5.0662     10.0955    L_PMS
3.6818     9.1224     9.2766     L_ZMI
1.647      9.8858     13.0669    L_ZMU
0.0624     10.024     14.2858    L_DA
1.5913     10.2102    15.8674    L_MTI
1.493      11.2383    16.7875    L_MTS
3.0608     11.0272    14.1332    L_FMO
4.1521     11.5472    14.0324    L_FMT
4.0438     17.2917    10.9719    L_PO
4.9814     11.1846    10.7398    L_ZTS
0.6816     0.1148     5.7076     O1
-3.9624    11.9024    15.9084    O2
5.494      13.0624    10.5765    O3
-1.1302    21.2387    13.23      O4







































































































































































-0.4844    9.9924     16.1128    GLRH
-0.4862    9.9701     15.8562
-0.5072    9.9844     15.6991
-0.4905    9.9853     15.511
-0.493     9.9506     15.299
-0.4918    9.9061     15.0264
-0.4791    9.8378     14.773
-0.4947    9.723      14.5573
-0.5019    9.577      14.3603
-0.5083    9.476      14.2301
-0.5067    9.3484     14.082
-0.5197    9.1603     13.8628
-0.5041    8.871      13.63
-0.4676    8.6131     13.3992
-0.4632    8.3814     13.1565
-0.4696    8.1358     12.9457
-0.4698    7.8706     12.6834
-0.4645    7.5555     12.4371
-0.4758    7.3169     12.2355
-0.4554    7.0973     12.0653
-0.4546    6.824      11.8452
-0.4264    6.6136     11.6875
-0.4536    6.3817     11.4847
-0.424     6.1275     11.2946
-0.404     5.9414     11.1539
-0.3943    5.7715     10.9809
-0.41      5.5486     10.8199
-0.3963    5.2089     10.583
-0.4018    4.9429     10.3752
-0.3971    4.6924     10.1807
-0.3849    4.4223     10.0022
-0.3937    4.1062     9.757
-0.3527    3.8687     9.56
-0.3302    3.7139     9.4254
-0.3868    3.589      9.2666





































































































































































-0.3598    3.5925     9.2456     NOSE
-0.764     3.5229     9.1557
-1.0062    3.4129     8.9342
-1.1413    3.2193     8.7351
-1.1665    3.0225     8.4919
-1.2384    2.7802     8.2578
-1.3059    2.639      7.993
-1.3197    2.4891     7.7715
-1.2963    2.328      7.5636
-1.3003    2.1009     7.2189
-1.293     1.9279     7.034
-1.3086    1.654      6.7967
-1.2646    1.4577     6.6156
-1.1856    1.2193     6.4913
-1.0562    1.0459     6.363
-0.9181    0.8122     6.195
-0.7613    0.6732     6.0154
-0.5093    0.5645     5.8065
-0.3033    0.4232     5.7155
-0.2035    0.4745     5.6312
0.0563     0.3542     5.8116
0.2514     0.3867     6.0051
0.4196     0.6275     6.1873
0.6245     0.7765     6.276
0.7523     1.0472     6.3638
0.8283     1.2714     6.4819
0.9006     1.5186     6.5972
0.938      1.6961     6.7313
0.9978     1.8526     6.8698
1.0296     2.0285     7.1284
1.0008     2.22       7.3759
0.8869     2.4079     7.6329
0.8536     2.5639     7.9034
0.7492     2.6412     8.0455
0.6914     2.8391     8.3214
0.6002     2.9898     8.3928
0.4256     3.1408     8.6898
0.3393     3.2995     8.8981
0.2817     3.3988     9.0483
0.0811     3.4589     9.198
-0.1045    3.563      9.2273
-0.2744    3.5688     9.2729
-0.4312    3.6171     9.2953





























































































































































-0.1979    0.3848     5.5902     NASP-PR
-0.114     0.0934     5.3207
-0.1615    -0.029     5.0688
-0.2092    -0.1122    4.7724
-0.2528    -0.1671    4.6221
-0.2331    -0.1973    4.417
-0.2773    -0.1286    4.2554

































































































































































































-1.2306    4.1354     9.4142     R-PM/MAX
-1.2638    3.9133     9.236
-1.3537    3.6809     9.0236
-1.4247    3.4633     8.8432
-1.4978    3.3111     8.6995
-1.5557    3.1167     8.4675
-1.6354    2.9615     8.2734
-1.6913    2.7491     7.9667
-1.7074    2.6345     7.7527
-1.7901    2.5098     7.4497
-1.8393    2.3671     7.0428
-1.8645    2.2864     6.8772
-2.0294    2.1614     6.4005
-2.216     2.0262     6.1988
-2.2498    1.8976     6.0391
-2.3795    1.7681     5.8238
-2.4732    1.7215     5.58
-2.5051    1.657      5.3006
-2.5504    1.5651     5.0315
-2.5088    1.5066     4.825
-2.4152    1.4533     4.6384
-2.3086    1.4921     4.5203


















































































































































































0.2781     5.0037     10.0188    L-PM/MAX
0.3252     4.7783     9.8799
0.38       4.5604     9.721
0.4676     4.2902     9.4977
0.5689     4.0548     9.2811
0.7609     3.756      9.0252
0.8586     3.4845     8.7383
0.9734     3.2518     8.4041
1.0788     3.0405     8.1985
1.1679     2.8208     7.9314
1.2573     2.6506     7.5913
1.3126     2.4897     7.2052
1.334      2.3504     6.889
1.4569     2.1678     6.5163
1.5781     2.0625     6.2584
1.878      1.9473     5.824
1.9381     1.8609     5.5809
1.9304     1.7329     5.3399
2.0527     1.7153     5.0901
2.0831     1.7576     4.8584
2.0462     1.7062     4.8243
1.8377     1.6272     4.6117


















































































































































































-3.1902    6.2487     5.7958     ROSTRUM
-3.1865    6.1723     6.0521
-3.0881    6.0838     6.4339
-2.9935    6.0448     6.635
-2.8579    5.9522     6.9465
-2.7427    5.9368     7.2501
-2.6497    5.8931     7.6725
-2.6355    5.8523     8.0681
-2.6438    5.7741     8.4717
-2.6642    5.7837     8.7707
-2.6643    5.7387     9.0189
-2.7534    5.6909     9.3198
-2.7912    5.6688     9.6631
-2.7902    5.6226     9.8897
-2.7107    5.588      10.0933
-2.6102    5.5571     10.2074
-2.5182    5.5605     10.2647
-2.2467    5.5555     10.2544
-2.0663    5.5442     10.3781
-1.8375    5.5705     10.4027
-1.5951    5.5974     10.4108
-1.4099    5.5391     10.4344
-1.2423    5.5543     10.4855
-1.1002    5.4991     10.4888
-0.9191    5.4693     10.5816
-0.7112    5.4308     10.69
-0.5557    5.4224     10.73
-0.4142    5.418      10.7247
-0.2152    5.4409     10.7037
-0.0362    5.4353     10.6354
0.0923     5.4958     10.6356
0.2964     5.5313     10.4623
0.4071     5.5566     10.3835
0.6045     5.5733     10.3213
0.8816     5.6037     10.3041
1.0815     5.6774     10.3245
1.3322     5.6351     10.3065
1.5572     5.645      10.2184
1.7028     5.668      10.1341
1.8253     5.6823     10.0748
1.9769     5.7396     9.906
1.9637     5.84       9.6931
1.8848     5.9048     9.3565
1.7804     6.0044     9.0093
1.7305     6.0882     8.6377
1.7487     6.1501     8.4221
1.767      6.1718     8.1619
1.7946     6.2286     7.9757
1.7923     6.2221     7.7156
1.8406     6.2895     7.4449
1.9343     6.3602     7.2051
2.1353     6.3791     6.8928
2.2611     6.3824     6.6734
2.3616     6.4095     6.4863
