FSM        992        Phh27stv
3.3711     9.2303     11.5226
3.4416     9.0338     11.3331
3.5838     8.84       11.1531
3.7232     8.6537     11.0445
3.8413     8.5206     10.976
3.9583     8.3295     10.8522
4.0263     8.2355     10.6565
3.9249     8.0646     10.4902
3.7148     7.9448     10.2957



















































































































































































-1.2164    11.2778    9.4484     ROSTRUM
-1.231     11.3231    9.6712
-1.2202    11.3881    9.8606
-1.1414    11.3674    9.9665
-0.9496    11.4575    10.1104
-0.7336    11.4785    10.1748
-0.5745    11.5272    10.2804
-0.4051    11.548     10.4202
-0.2623    11.6233    10.5898
-0.1027    11.6699    11.0032
-0.1515    11.7255    11.3886
-0.2094    11.7187    11.6754
-0.2496    11.7473    11.8873
-0.2682    11.7919    12.2232
-0.2411    11.7846    12.3942
-0.2442    11.8098    12.6933
-0.2934    11.8405    12.9232
-0.0437    11.8335    13.0823
0.1832     11.913     13.0573
0.4471     11.912     13.0313
0.6351     11.9561    13.0462
0.9066     12.0063    13.0915
1.0757     12.0419    13.1835
1.257      12.1193    13.2709
1.4399     12.1356    13.3012
1.6276     12.1404    13.2641
1.8404     12.1624    13.1721
1.9405     12.1896    13.0429
2.1293     12.201     12.9962
2.3718     12.2578    13.0187
2.644      12.2623    13.054
2.7987     12.2783    13.0302
2.9529     12.3016    13.0239
3.0823     12.2819    12.9883
3.2476     12.2834    12.8793
3.3024     12.0057    12.5734
3.1533     11.9349    12.3282
3.1153     11.9537    12.1041
3.1168     11.9736    11.8712
3.0992     11.9076    11.6047
3.0468     11.902     11.3061
2.9963     11.8761    10.9429
3.0234     11.9225    10.7478
3.0616     11.9386    10.5514
3.177      11.924     10.3426
3.3473     11.9305    10.2034
3.6009     11.8987    10.0683
3.7881     11.8657    9.9837
3.9282     11.8282    9.8425
3.9665     11.7926    9.5319
3.9502     11.8145    9.3463
3.936      11.809     9.2529




















































































































































-2.7484    17.2494    14.8889    SUPORB
-2.6548    17.431     14.9933
-2.5804    17.6052    15.0814
-2.4719    17.7429    15.1908
-2.3391    17.7852    15.2953
-2.1653    17.8623    15.432
-2.0685    17.8354    15.5356
-1.893     17.9455    15.6013
-1.761     17.945     15.7226
-1.6189    17.9042    15.8553
-1.5574    17.8743    15.8874
-1.379     17.8574    15.9925
-1.2479    17.8051    16.0541
-1.1078    17.7574    16.1452
-0.9604    17.7846    16.17
-0.4426    17.7489    16.301
-0.1389    17.7282    16.3575
0.1351     17.7497    16.37
0.4417     17.7843    16.3412
0.778      17.7792    16.2673
1.0645     17.6266    16.303
1.3396     17.5554    16.2658
1.6566     17.6794    16.2677
1.874      17.814     16.2144
2.1605     17.9307    16.1632
2.6024     17.9547    16.146
2.9458     18.002     16.0888
3.2195     18.0692    15.9844
3.5429     18.0432    15.8965
3.7467     18.1367    15.7645
3.935      18.2028    15.6518
4.1353     18.2951    15.5219
4.3296     18.3595    15.366
4.5147     18.3818    15.1907
4.7083     18.3293    15.0421
4.7905     18.2982    14.9502
4.9814     18.2684    14.7213
5.0047     18.2075    14.5504
5.0376     18.0616    14.4903
5.1847     17.8144    14.4361
































































































































































-0.6946    15.6527    13.6645    RORBIT
-0.9547    15.5901    13.7047
-1.2481    15.7229    13.7869
-1.4703    15.872     13.9089
-1.65      16.0314    14.0441
-1.8687    16.297     14.2828
-1.914     16.4861    14.4162
-2.0094    16.6915    14.6706
-1.9842    16.8493    14.9183
-1.9143    16.9299    15.097
-1.7817    17.0093    15.2655
-1.4924    17.0251    15.5371
-1.1854    17.0034    15.6922
-0.876     16.9405    15.7507
-0.5852    16.8967    15.7654
-0.2828    16.9893    15.9311
0.0883     16.9877    15.9761
0.3729     17.0143    15.8374
0.5575     16.9812    15.614
0.748      16.8338    15.3343
0.8368     16.7298    15.175
0.9137     16.6262    14.9695
0.9127     16.4875    14.7733
0.9981     16.2575    14.5928
















































































































































































3.2507     15.7748    13.5425    LORBIT
3.5473     15.8985    13.5603
3.8366     15.9694    13.6032
3.9481     16.1627    13.6625
4.1276     16.3819    13.7602
4.252      16.5592    13.8651
4.3186     16.7269    13.9552
4.4042     16.8936    14.1153
4.5423     16.9943    14.3038
4.5073     17.1686    14.4942
4.4624     17.2727    14.643
4.4332     17.3537    14.799
4.3056     17.3924    15.1317
4.0128     17.3761    15.2947
3.8638     17.2721    15.4994
3.3573     17.2011    15.5314
3.1541     17.1259    15.5394
2.8111     17.1769    15.7318
2.4138     17.1376    15.7977
2.1493     16.9874    15.6364
1.913      16.878     15.3464
1.7209     16.7142    15.0613
1.6375     16.5809    14.9101
1.5758     16.3854    14.6917
1.5415     16.3068    14.5739















































































































































































-2.7528    17.2317    14.8888    RTEMFOS
-2.806     17.1088    14.7657
-2.8511    16.9454    14.6419
-2.9334    16.7356    14.4608
-2.945     16.5949    14.3107
-2.9532    16.4615    14.2006
-2.9463    16.3268    14.0911
-2.9522    16.1674    13.8925
-2.9425    16.0256    13.7541
-2.932     15.8491    13.6316
-2.924     15.6704    13.4296
-2.9421    15.5209    13.2713
-2.9474    15.3804    13.0565
-2.9686    15.2813    12.9546
-2.9832    15.031     12.7248
-3.095     14.9422    12.5345
-3.148     14.8594    12.4079
-3.2354    14.8786    12.1889
-3.3377    14.8366    12.1607
-3.7041    14.9539    11.8726
-3.969     15.3011    11.7046
-4.0429    15.5199    11.6353
-4.0865    15.6764    11.5862
-4.1313    15.8802    11.5515
-4.2174    16.0821    11.483















































































































































































5.169      17.761     14.48      LTEMFOS
5.2501     17.6448    14.3563
5.2942     17.5427    14.2598
5.3529     17.4314    14.1191
5.3854     17.2362    13.9369
5.4046     17.042     13.7931
5.4162     16.8664    13.6747
5.4081     16.7233    13.527
5.4024     16.5283    13.3511
5.3884     16.3793    13.2211
5.4031     16.2293    13.0484
5.4161     16.1022    12.9083
5.3932     16.0365    12.7221
5.4453     15.8912    12.6277
5.4301     15.7192    12.4236
5.4449     15.6401    12.2392
5.5176     15.5311    12.0636
5.6297     15.3744    11.9322
5.7614     15.4164    11.6651
5.9089     15.5022    11.4644
6.0056     15.6356    11.319
6.1476     15.7216    11.2215
6.2797     16.0561    11.0711
6.3694     16.3367    10.9929
6.38       16.4905    10.9405
6.3731     16.5999    10.9012














































































































































































9999       9999       9999       OP
9999       9999       9999       BA
0.5154     15.0102    11.0412    ST
0.2248     20.937     11.6391    IV
-2.9748    9.2487     11.187     R_PG
-4.5856    11.7247    10.1359    R_ZTI
-1.5102    15.4933    12.2783    R_M3D
-2.1756    17.9676    12.5239    R_M12
-2.0143    20.449     12.5497    R_MP3
-1.7695    21.8766    12.2319    R_PMI
5.1716     10.2211    11.3618    L_PG
6.3763     13.0645    10.5607    L_ZTI
2.4503     15.8247    12.1593    L_M3D
2.8981     18.3611    12.4761    L_M12
2.4812     20.767     12.5973    L_MP3
1.9639     22.2221    12.3656    L_PMI
0.7008     24.1174    12.6393    O1
-1.9721    12.905     5.1712     O2
6.7884     12.538     10.0707    O3
-1.1678    6.0592     10.0796    O4













