AMNH       169432     Phu1bjw
1.2471     27.658     14.0682    IN
1.4968     22.687     16.9835    BR
1.5984     16.2765    16.8366    GL
1.4304     16.0948    16.2958    NA
0.6206     10.3577    10.4336    RH
0.3506     7.3027     7.2498     NS
0.3058     6.9577     5.7649     PR
-0.7981    7.3437     6.14       R_PR2
-0.1903    11.3922    10.9617    R_PMS
-3.3061    15.8213    10.3027    R_ZMI
-1.0862    16.0633    14.2636    R_ZMU
0.9057     16.3036    15.4024    R_DA
-1.1888    16.47      16.7078    R_MTI
-1.3445    17.1765    17.5437    R_MTS
-2.3517    16.9151    15.2194    R_FMO
-3.4192    17.8107    15.4044    R_FMT
-3.3992    23.6691    12.7017    R_PO
-4.726     17.833     12.0091    R_ZTS
1.4809     7.3224     6.0069     L_PR2
1.6658     11.2214    10.7703    L_PMS
4.6434     15.8236    9.4492     L_ZMI
3.3239     15.9963    13.744     L_ZMU
1.8444     16.2328    15.1421    L_DA
3.5929     16.5037    16.1139    L_MTI
3.5615     17.1895    17.2126    L_MTS
4.9833     17.0616    14.4706    L_FMO
6.0082     18.0495    14.53      L_FMT
5.2057     23.6181    11.5802    L_PO
6.3723     17.65      10.7345    L_ZTS
0.8861     6.6533     6.1788     O1
4.9608     18.2604    14.8603    O2
-2.3031    18.0959    15.3996    O3
1.2035     27.5166    13.4638    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM



















































































