MNHN       1972.355   Phh24stv
-0.7873    20.989     12.7991    IN
-0.7846    15.3471    15.5727    BR
-0.6356    10.4787    13.8303    GL
-0.6292    10.5355    13.365     NA
-0.6446    5.7093     9.2469     RH
-0.5428    3.5797     7.0053     NS
-0.5139    2.9424     5.4388     PR
-1.464     3.0158     5.4834     R_PR2
-1.0413    7.8146     10.165     R_PMS
-4.4878    10.159     8.6049     R_ZMI
-2.4942    10.5005    11.5476    R_ZMU
-0.9046    10.6762    12.5886    R_DA
-2.4011    10.5992    13.8037    R_MTI
-2.2302    11.1987    14.5185    R_MTS
-3.7521    11.1578    12.5873    R_FMO
-4.6871    11.6525    12.9768    R_FMT
-5.269     17.2742    10.4711    R_PO
-6.2778    12.0799    9.6513     R_ZTS
0.4542     3.1087     5.4454     L_PR2
-0.3229    8.0177     10.211     L_PMS
3.1184     10.1948    8.6393     L_ZMI
1.0451     10.5435    11.7054    L_ZMU
-0.3242    10.674     12.4924    L_DA
1.0791     10.7515    13.8668    L_MTI
1.0046     11.3001    14.5813    L_MTS
2.5186     11.4075    12.77      L_FMO
3.4801     11.7149    13.1974    L_FMT
3.739      17.586     10.6179    L_PO
5.0871     12.3748    10.0089    L_ZTS
0.1366     2.6355     5.1448     O1
-4.0795    11.6984    14.0066    O2
5.3282     13.7842    10.0668    O3
-1.7247    20.6309    12.3458    O4







































































































































































-0.594     10.4952    13.8219    GLRH
-0.5907    10.4794    13.5713
-0.6094    10.5234    13.3871
-0.5569    10.5162    13.2137
-0.6245    10.4946    12.968
-0.6104    10.4199    12.6578
-0.6501    10.2826    12.3134
-0.6033    10.0698    11.955
-0.6293    9.9303     11.8077
-0.6504    9.8012     11.6581
-0.6352    9.6043     11.484
-0.6408    9.4599     11.3954
-0.6474    9.3052     11.2892
-0.6829    9.1666     11.1887
-0.609     8.9489     11.0263
-0.5958    8.8183     10.9052
-0.6247    8.5792     10.7679
-0.6356    8.4042     10.6854
-0.6213    8.2469     10.5939
-0.6598    8.0427     10.4717
-0.7039    7.8527     10.3467
-0.6928    7.6521     10.228
-0.6861    7.3883     10.0634
-0.7097    7.188      9.944
-0.7167    6.9866     9.8484
-0.6918    6.7701     9.747
-0.7144    6.4911     9.6571
-0.734     6.2835     9.5745
-0.7009    6.074      9.4773
-0.6662    5.8941     9.385
-0.6678    5.8108     9.3086
-0.6373    5.7306     9.2813








































































































































































-0.6713    5.7118     9.2425     NOSE
-0.905     5.7455     9.2628
-1.1014    5.8457     9.2811
-1.293     5.8831     9.211
-1.4737    5.7713     9.126
-1.6697    5.6178     8.9438
-1.7476    5.4738     8.8049
-1.826     5.1922     8.5759
-1.8554    4.993      8.3367
-1.8183    4.768      8.0605
-1.7465    4.5336     7.8233
-1.6633    4.1538     7.6402
-1.5369    3.9232     7.522
-1.353     3.6859     7.4042
-1.2551    3.5423     7.3469
-1.02      3.4864     7.2161
-0.8226    3.5817     7.1681
-0.6606    3.5387     7.0579
-0.5357    3.5404     7.0215
-0.365     3.5781     7.1341
-0.1329    3.5336     7.2728
0.0318     3.5358     7.3263
0.1927     3.5737     7.3937
0.2959     3.7336     7.4798
0.4147     3.992      7.6071
0.5389     4.2432     7.7568
0.5702     4.4205     7.8478
0.6483     4.635      8.0277
0.68       4.7143     8.1403
0.6488     4.8081     8.255
0.621      4.9645     8.4068
0.6115     5.062      8.5703
0.4831     5.3133     8.7291
0.3698     5.4559     8.8887
0.252      5.5951     8.9891
0.1833     5.7084     9.0203
0.0169     5.8135     9.1735
-0.1837    5.8637     9.3163
-0.4876    5.7936     9.3015
-0.6611    5.7331     9.2782
































































































































































-0.5324    3.5627     7.0063     NASP-PR
-0.5407    3.3569     6.8786
-0.5484    3.1852     6.6531
-0.5306    3.0516     6.4655
-0.5685    3.0045     6.2484
-0.5385    2.9683     5.9907
-0.5453    2.9343     5.7971
-0.5124    2.9227     5.6577
-0.4626    2.9172     5.5237
-0.4618    2.9975     5.3367






























































































































































































-1.0323    7.7683     10.1383    R-PM/MAX
-1.0716    7.5697     9.957
-1.1561    7.3658     9.8521
-1.2394    7.1589     9.7697
-1.3462    6.8898     9.6717
-1.4703    6.7243     9.5703
-1.5985    6.5244     9.5158
-1.6983    6.3016     9.4322
-1.8075    6.1302     9.3405
-1.9111    5.9732     9.2332
-2.055     5.7492     9.0368
-2.131     5.6384     8.8125
-2.2685    5.4654     8.5285
-2.2769    5.2803     8.2846
-2.3156    5.1321     8.0165
-2.4513    4.9606     7.6523
-2.5418    4.7221     7.3394
-2.6       4.6416     7.1403
-2.6658    4.5202     6.8668
-2.6873    4.3521     6.4785
-2.6777    4.2585     6.3035
-2.667     4.244      6.0863
-2.571     4.2987     5.8272
-2.3414    4.3784     5.6503
















































































































































































-0.2787    7.7755     10.0237    L-PM/MAX
-0.1991    7.5221     9.9739
-0.159     7.3675     9.914
-0.0811    7.233      9.8675
-0.0444    7.0914     9.8266
0.0359     6.9354     9.7379
0.225      6.7357     9.6789
0.368      6.4963     9.5841
0.4672     6.2736     9.4669
0.5826     6.0504     9.3394
0.7293     5.868      9.1981
0.7963     5.7411     9.0719
0.8674     5.5968     8.837
0.9616     5.4681     8.6043
1.0423     5.332      8.4122
1.0927     5.2025     8.2109
1.245      5.0901     8.0011
1.3893     4.9153     7.661
1.5256     4.88       7.4692
1.5908     4.7108     7.2586
1.5314     4.5507     6.9922
1.4846     4.4437     6.7893
1.5085     4.3558     6.6206
1.5341     4.3052     6.3554
1.4676     4.3127     6.1122
1.2799     4.3592     5.9218














































































































































































-3.2728    8.4346     6.5051     ROSTRUM
-3.3081    8.3547     6.736
-3.2734    8.2934     6.9122
-2.9706    8.2534     7.1031
-2.7321    8.2844     7.1948
-2.6385    8.2497     7.2938
-2.5124    8.2243     7.4533
-2.4283    8.1823     7.7187
-2.486     8.1188     8.1007
-2.5192    8.0646     8.356
-2.5001    8.0137     8.7302
-2.5245    7.9044     9.0348
-2.5107    7.8144     9.2896
-2.4997    7.7805     9.5502
-2.6239    7.7949     9.6649
-2.6166    7.7259     9.8336
-2.4964    7.6866     9.9666
-2.1824    7.7338     10.0635
-1.9004    7.7749     10.082
-1.7072    7.7495     10.0528
-1.4881    7.7628     10.0334
-1.3231    7.7981     10.0043
-1.1491    7.8069     10.093
-1.0344    7.8133     10.1995
-0.8874    7.8122     10.2688
-0.6814    7.8248     10.3261
-0.5363    7.8137     10.2861
-0.3898    7.8695     10.2199
-0.2668    7.9254     10.119
0.0102     7.9542     10.1317
0.2523     7.9374     10.1912
0.451      7.9277     10.207
0.6906     7.8998     10.2492
0.9439     7.9107     10.211
1.0746     7.9424     10.1672
1.2892     7.9534     10.081
1.2459     8.0185     9.7515
1.2473     8.0393     9.5717
1.2372     8.033      9.3581
1.284      8.0495     9.1171
1.303      8.0426     8.9404
1.3746     8.1183     8.7422
1.3913     8.1483     8.6099
1.391      8.19       8.3561
1.3546     8.2658     8.0926
1.4306     8.3018     7.8413
1.6236     8.2925     7.5925
1.8293     8.3114     7.4444
2.0234     8.3203     7.3459
2.1672     8.3114     7.1935
2.2258     8.336      7.0249
2.2452     8.3856     6.8436
2.1952     8.3843     6.6601
2.1651     8.4444     6.5198
2.1169     8.4778     6.4122

















































































































































-4.6721    11.5829    12.9213    SUPORB
-4.6287    11.6575    13.122
-4.5331    11.8154    13.2966
-4.4877    11.7104    13.5152
-4.3536    11.6525    13.7148
-4.2733    11.7017    13.8144
-3.9304    11.6939    14.1088
-3.7226    11.639     14.2308
-3.5389    11.5727    14.2971
-3.1989    11.4899    14.3847
-2.988     11.4006    14.4237
-2.7927    11.4119    14.4419
-2.5965    11.3437    14.4713
-2.2828    11.2136    14.5087
-2.0484    11.1304    14.4927
-1.8252    11.1038    14.4942
-1.5348    11.0692    14.4766
-1.2996    11.0817    14.4425
-1.169     11.0509    14.429
-0.956     10.9945    14.3929
-0.7071    10.9837    14.3513
-0.5408    10.9745    14.368
-0.2574    11.0645    14.4117
0.0346     11.1141    14.4451
0.2953     11.0842    14.4854
0.5287     11.1531    14.5188
0.7753     11.2208    14.54
1.0288     11.2597    14.5541
1.2854     11.353     14.555
1.5739     11.4563    14.5598
1.8605     11.5619    14.5091
2.2149     11.7353    14.4613
2.4496     11.8946    14.3567
2.8076     11.9083    14.1899
2.9706     11.895     14.0816
3.1439     11.9392    13.8041
3.3106     11.9142    13.5934
3.4028     11.8934    13.4358
3.4621     11.8176    13.2876
3.5069     11.5965    13.0117
































































































































































-2.521     10.4769    11.5358    RORBIT
-2.8097    10.525     11.5522
-3.012     10.5945    11.6162
-3.2232    10.6566    11.7102
-3.3904    10.7219    11.7868
-3.5319    10.8947    11.9911
-3.619     11.0221    12.164
-3.6761    11.081     12.2829
-3.7409    11.1321    12.4774
