NMNH       410879     Php6stv
19.1622    19.3077    14.953     IN
15.6994    15.5633    17.0456    BR
12.0263    11.2277    15.091     GL
12.1789    11.32      14.3645    NA
9.9765     9.3968     9.0912     RH
8.8644     8.084      6.2377     NS
8.8974     8.082      4.7166     PR
8.1984     8.7941     5.1474     R_PR2
10.8224    10.7949    10.6127    R_PMS
9.8512     14.7404    9.5252     R_ZMI
11.1141    12.8707    12.2322    R_ZMU
12.0512    11.7833    13.4927    R_DA
10.9143    12.7768    14.5693    R_MTI
11.427     13.255     15.7727    R_MTS
10.5257    14.1355    13.4528    R_FMO
10.2253    15.471     13.8817    R_FMT
13.7698    19.2194    12.4142    R_PO
9.5147     16.2878    11.1031    R_ZTS
9.7082     7.6524     4.9964     L_PR2
11.4595    10.1713    10.4527    L_PMS
15.6237    9.4435     9.5359     L_ZMI
13.8757    10.4709    12.3825    L_ZMU
12.6109    11.3822    13.495     L_DA
13.5784    10.316     14.7198    L_MTI
13.5234    11.1224    15.9734    L_MTS
15.2093    9.9545     13.78      L_FMO
16.4167    9.9749     14.1428    L_FMT
19.9509    13.7881    12.4399    L_PO
17.6541    9.3917     11.1776    L_ZTS
9.7768     7.391      5.961      O1
10.9449    14.8064    14.9577    O2
19.1587    10.6404    11.7167    O3
20.9767    16.8313    13.679     O4







































































































































































12.0064    11.23      14.99      GLRH
12.0487    11.2727    14.7019
12.1281    11.2935    14.4825
12.1655    11.3235    14.3087
12.1931    11.3951    13.9874
12.172     11.4295    13.7979
12.1824    11.4259    13.5644
12.1864    11.4001    13.3195
12.1342    11.3412    13.0897
12.0971    11.3005    12.8991
12.0547    11.2298    12.7362
11.9834    11.1809    12.5641
11.9293    11.1346    12.3749
11.8418    11.0829    12.2266
11.7763    11.0151    12.0375
11.6892    10.9304    11.8304
11.5501    10.8279    11.6184
11.445     10.7482    11.438
11.3345    10.6718    11.2615
11.2336    10.514     11.0713
11.1124    10.4759    10.9198
11.0032    10.3735    10.7428
10.8835    10.3034    10.5821
10.7676    10.1827    10.4377
10.6718    10.0857    10.2303
10.5575    9.9858     10.0681
10.4862    9.8502     9.9119
10.3934    9.7049     9.7216
10.3175    9.6706     9.62
10.2121    9.627      9.4896
10.1373    9.5604     9.3664
10.0552    9.4866     9.2317
9.9977     9.3898     9.1079







































































































































































9.9823     9.3741     9.1111     NOSE
9.8763     9.4678     9.0526
9.7334     9.5406     9.0259
9.6427     9.6122     8.9542
9.4921     9.6892     8.8643
9.2818     9.626      8.7068
9.107      9.5841     8.4879
9.0255     9.5632     8.2514
8.8155     9.5155     8.0288
8.6736     9.388      7.7828
8.5248     9.2873     7.5456
8.5178     9.1571     7.3125
8.512      9.0188     7.1238
8.5049     8.8597     6.9771
8.5476     8.6756     6.844
8.6201     8.4756     6.6828
8.6047     8.34       6.4812
8.6818     8.2529     6.3742
8.7521     8.1618     6.2939
8.8833     8.1194     6.3128
9.0385     8.0245     6.4075
9.1408     7.9772     6.5502
9.3256     7.8407     6.7853
9.5116     7.7609     6.9053
9.6591     7.7187     7.0588
9.8198     7.777      7.2414
9.945      8.0239     7.3927
10.0574    7.9018     7.7229
10.1576    7.972      7.8786
10.2649    7.9969     8.0145
10.3395    8.2028     8.2604
10.4061    8.4265     8.5085
10.376     8.6484     8.7449
10.3909    8.8026     8.9392
10.3549    8.9503     9.0443
10.2407    9.0931     9.1046
10.1754    9.2163     9.1246
10.0691    9.3169     9.0301


































































































































































