UWMA       MP 222     Tod27stv
12.1043    9.9761     3.5397
12.0995    10.0228    3.4011



















































































































































































8.2018     13.3165    3.2138     ROSTRUM
8.1794     13.3526    3.4121
8.1758     13.4248    3.6032
8.2068     13.4174    3.7387
8.2127     13.4489    3.9321
8.3306     13.4938    4.1225
8.4965     13.586     4.296
8.6259     13.5439    4.4171
8.7056     13.5824    4.5264
8.8452     13.677     4.7438
8.913      13.6864    4.9075
9.0586     13.6572    5.0664
9.1485     13.6971    5.2242
9.1823     13.7598    5.3302
9.224      13.7804    5.5017
9.3008     13.8053    5.7135
9.419      13.8349    5.8794
9.5384     13.8507    5.9777
9.746      13.9037    6.065
9.8922     13.9156    6.1363
10.0117    13.8891    6.2232
10.1172    13.9301    6.3149
10.3133    13.9263    6.4477
10.4411    13.9545    6.583
10.5557    14.0217    6.6328
10.7157    14.078     6.7109
10.9456    14.0382    6.6975
11.3069    14.141     6.6786
11.4546    14.1239    6.5257
11.5733    14.1492    6.4069
11.7286    14.1549    6.1795
11.8226    14.1586    6.0681
12.0289    14.1122    5.9693
12.1287    14.0875    5.8859
12.2504    14.0282    5.6935
12.3261    13.9867    5.4424
12.4166    13.9841    5.275
12.4962    13.9169    5.1439
12.619     13.8231    4.944
12.7017    13.7883    4.8067
12.8359    13.6933    4.5808
12.9781    13.62      4.4445
13.1114    13.5209    4.3058
13.258     13.4189    4.1558
13.3232    13.3307    4.0135
13.3711    13.2888    3.9069
13.3869    13.2039    3.7496
13.4492    13.1348    3.5969
13.469     13.1057    3.4382
13.4672    13.0595    3.3097






















































































































































6.8406     18.2779    8.0587     SUPORB
6.816      18.2773    8.2638
6.8343     18.3113    8.4097
6.8918     18.2925    8.6435
6.9803     18.2637    8.8034
7.1451     18.1765    8.943
7.2541     18.1393    8.9967
7.3878     18.0056    9.0817
7.5213     17.9149    9.1787
7.6595     17.8006    9.2522
7.7898     17.6778    9.3152
7.9665     17.4947    9.3786
8.1277     17.3928    9.4233
8.2642     17.263     9.4867
8.5753     17.1568    9.5381
8.848      17.1252    9.5719
9.0986     17.1051    9.5853
9.2816     17.1229    9.6271
9.5114     17.1311    9.6405
9.7681     17.1131    9.6258
9.9634     16.9909    9.6089
10.0953    16.8077    9.5725
10.2091    16.723     9.5432
10.3996    16.6381    9.515
10.6359    16.686     9.5182
10.8083    16.7928    9.5685
11.0649    16.8476    9.6251
11.1969    16.9833    9.6662
11.4116    17.0693    9.7215
11.57      17.1778    9.7309
11.7906    17.2112    9.7223
12.0563    17.2455    9.7173
12.2685    17.2504    9.719
12.4718    17.2724    9.697
12.6848    17.439     9.6418
12.9505    17.4513    9.6039
13.1005    17.5498    9.5629
13.2327    17.7299    9.453
13.747     17.9494    9.2608
14.0126    18.1286    9.1055
14.155     18.1891    8.9388
14.2564    18.2355    8.7873
14.3161    18.3054    8.6491
14.3748    18.3465    8.5234
14.4348    18.3517    8.418
14.5317    18.2653    8.1415
14.5598    18.2064    7.9506
14.5453    18.1407    7.8524
























































































































































8.5883     16.5073    6.8733     RORBIT
8.3425     16.64      6.8048
8.2033     16.8262    6.8223
7.9634     17.0521    6.8919
7.8828     17.1912    7.0045
7.6289     17.3627    7.1484
7.4925     17.4817    7.3986
7.3811     17.5548    7.6314
7.2896     17.6244    7.9383
7.35       17.5926    8.2784
7.4496     17.4232    8.6395
7.6198     17.2521    8.8271
7.8452     17.1399    8.9374
8.0732     16.9437    9.0597
8.328      16.758     9.1597
8.5672     16.7067    9.1984
8.7853     16.7302    9.2026
8.9805     16.6772    9.2286
9.2103     16.6433    9.2414
9.3295     16.6172    9.2475
9.6107     16.5841    9.2605
9.8199     16.6323    9.1307
10.0949    16.5593    8.8711
10.0947    16.6066    8.6577
10.1637    16.5132    8.3159
10.1428    16.4133    8.2227
10.1007    16.4161    8.002













































































































































































12.9362    16.5663    6.78       LORBIT
13.177     16.6802    6.7927
13.3854    16.9225    6.8238
13.5421    17.0725    7.0239
13.7459    17.3615    7.2775
13.8955    17.5161    7.512
13.9163    17.5856    7.8163
13.9719    17.6227    8.1666
13.9736    17.5575    8.4312
13.8025    17.5821    8.7123
13.6892    17.4734    8.899
13.4723    17.3633    9.102
13.3431    17.3233    9.149
13.0689    17.3004    9.1794
12.7721    17.1555    9.3858
12.4697    17.0234    9.3778
12.1082    16.834     9.3858
11.6632    16.7099    9.4978
11.5189    16.7515    9.2461
11.3227    16.7254    8.9899
11.2981    16.7512    8.8226
11.2285    16.6897    8.6373
11.2037    16.6336    8.4745
11.1955    16.602     8.3611
11.1905    16.5178    8.2458
11.218     16.5002    8.1452
11.2139    16.4119    8.069













































































































































































9999       9999       9999       RTEMFOS







































































































































































































14.5464    18.2317    7.6763     LTEMFOS
14.6058    18.0901    7.4606
14.5665    17.9982    7.2606
14.6422    17.6645    6.8474
14.6662    17.3028    6.5206
14.7491    16.9399    6.156
14.8309    16.7619    5.946
14.8792    16.731     5.7732
14.8858    16.6329    5.5837
15.0408    16.6034    5.3897
15.0604    16.5696    5.1602
15.1319    16.5789    5.0803
15.2624    16.6713    4.9319
15.3565    16.8857    4.8077
15.4553    17.0579    4.7119
15.5013    17.2187    4.6087
15.5597    17.3496    4.5753
15.6694    17.5101    4.5394
15.6977    17.7319    4.563
15.7275    17.8671    4.5651




















































































































































































10.6516    11.0053    7.1121     OP
10.8302    12.8932    7.4961     BA
11.1918    18.389     8.1155     ST
11.352     23.0952    9.3155     IV
6.7211     13.0738    7.4635     R_PG
5.5682     15.468     7.1525     R_ZTI
8.8628     18.072     9.1114     R_M3D
8.7518     21.3731    9.4749     R_M12
9.4783     23.755     10.0208    R_MP3
