NMNH       381430     Php9stv
19.3694    18.7968    13.77      IN
16.3156    14.9325    16.1022    BR
12.8485    11.5396    12.848     GL
12.9121    11.7131    12.4818    NA
11.9865    10.5513    8.766      RH
11.1181    9.5987     6.6839     NS
10.8464    9.2789     5.3819     PR
10.3954    9.8589     5.5641     R_PR2
12.6626    11.7009    10.2419    R_PMS
11.3603    15.2069    9.0362     R_ZMI
12.1713    13.4235    10.9569    R_ZMU
13.0279    12.2425    11.8798    R_DA
11.8039    12.775     12.9645    R_MTI
12.4024    13.1534    13.9512    R_MTS
11.5318    14.3118    12.256     R_FMO
11.4891    15.0986    12.6773    R_FMT
14.5354    18.9308    11.9664    R_PO
11.1415    16.4241    10.1613    R_ZTS
11.6614    8.9779     5.5678     L_PR2
13.0138    11.4799    10.1443    L_PMS
16.6852    10.682     8.8737     L_ZMI
14.6101    11.323     10.8379    L_ZMU
13.5367    11.9257    11.6249    L_DA
14.2729    10.6769    12.922     L_MTI
14.0948    11.3365    13.8044    L_MTS
15.7713    10.6246    12.1504    L_FMO
16.4965    10.6749    12.4879    L_FMT
19.776     14.2401    11.5027    L_PO
17.7535    10.5526    9.8555     L_ZTS
11.1752    8.7855     5.6824     O1
11.9169    14.5829    13.4765    O2
19.1799    11.5997    10.7988    O3
19.8971    17.8231    13.567     O4







































































































































































12.8097    11.5999    12.8168    GLRH
12.8877    11.6295    12.6271
12.9368    11.6816    12.5052
12.9679    11.7624    12.3412
13.0243    11.8012    12.235
13.053     11.8352    12.1401
13.0696    11.9245    11.9469
13.0918    11.9383    11.8049
13.1407    11.9214    11.6019
13.1031    11.9153    11.3534
13.0715    11.8754    11.1293
13.0311    11.8394    10.9706
12.9763    11.8175    10.7963
12.9898    11.7467    10.6795
12.919     11.7137    10.5799
12.8507    11.6533    10.4312
12.8141    11.5818    10.2873
12.757     11.5349    10.1478
12.6638    11.4454    9.991
12.5892    11.3471    9.8695
12.5272    11.2817    9.762
12.465     11.1646    9.6278
12.4136    11.1121    9.5473
12.2998    10.995     9.3755
12.2457    10.9084    9.2534
12.1693    10.8138    9.1397
12.1129    10.7547    9.0366
12.0404    10.6359    8.9481
11.9509    10.555     8.7703











































































































































































11.9184    10.5957    8.7648     NOSE
11.8218    10.7142    8.8029
11.6737    10.7663    8.749
11.5146    10.7911    8.6048
11.3122    10.7205    8.3738
11.2185    10.6703    8.2042
11.1009    10.6151    7.9522
10.9876    10.5582    7.7988
10.8568    10.4859    7.6425
10.8148    10.418     7.4797
10.7789    10.3673    7.3679
10.8004    10.2732    7.264
10.7824    10.1474    7.2019
10.7657    10.0552    7.1164
10.7927    9.8958     7.035
10.8197    9.8051     6.9563
10.8844    9.7004     6.8529
10.9291    9.6214     6.7469
11.0798    9.5617     6.6457
11.2024    9.4583     6.7505
11.3391    9.3694     6.8817
11.5365    9.303      7.0025
11.6912    9.3311     7.0948
11.8564    9.3874     7.2298
11.9562    9.4301     7.3901
12.0263    9.4936     7.5534
12.1449    9.4885     7.7846
12.1994    9.5628     7.9139
12.2336    9.6702     8.0673
12.3093    9.7398     8.2322
12.3001    9.8708     8.3816
12.3024    9.9749     8.4827
12.3693    10.0554    8.6184
12.3077    10.1811    8.7429
12.2117    10.3501    8.8252
12.1092    10.4373    8.8314
11.9558    10.5688    8.7511



































































































































































11.0188    9.5415     6.6282     NASP-PR
10.9674    9.4304     6.5044
10.8924    9.312      6.3001
10.8278    9.2255     6.1095
10.8285    9.1521     5.9268
10.8248    9.1526     5.7666
10.8554    9.1759     5.5866
10.8672    9.2792     5.3423
































































































































































































12.579     11.6214    10.0933    R-PM/MAX
12.4775    11.5698    9.9499
12.3798    11.4898    9.7949
12.3221    11.4167    9.7031
12.2249    11.3723    9.5867
12.1529    11.3203    9.521
12.0571    11.3121    9.4362
11.9263    11.2517    9.317
11.765     11.1778    9.2097
11.624     11.1552    9.0777
11.4655    11.0682    8.8858
11.3646    11.025     8.7624
11.267     10.9196    8.602
11.0638    10.8719    8.3857
10.9799    10.8899    8.2134
10.9056    10.8327    8.0645
10.8565    10.8624    7.9209
10.7581    10.8752    7.7229
10.6783    10.8685    7.498
10.6234    10.8848    7.3063
10.5747    10.8804    7.1572
10.5278    10.876     7.0284
10.4396    10.8961    6.841
10.3781    10.8753    6.6102
10.308     10.9276    6.4499
10.3379    10.9471    6.2931
10.466     10.9752    6.0718













































































































































































13.0304    11.4792    10.2563    L-PM/MAX
13.0071    11.3446    10.0349
12.9392    11.23      9.8662
12.877     11.1101    9.7027
12.8295    10.9064    9.5695
12.7814    10.7766    9.4472
12.7505    10.6023    9.3116
12.7023    10.52      9.2251
12.6962    10.4189    9.1004
12.6753    10.2752    8.9888
12.653     10.1576    8.8731
12.6103    10.0392    8.7547
12.6073    9.8784     8.5992
12.5821    9.7771     8.4284
12.4947    9.6256     8.1751
