UWMA       GV4040     Phg1stv
31.8394    -4.6584    5.411
31.9452    -4.5394    5.3075
32.078     -4.4567    5.2318
32.1775    -4.3476    5.1233
32.2703    -4.257     4.9766
32.2587    -4.2301    4.8388
32.2674    -4.2014    4.7149
32.3803    -4.2654    4.518
32.3767    -4.3239    4.4865















































































































































































30.0857    -7.2285    6.8827     ROSTRUM
30.061     -7.02      6.8659
30.0142    -6.8628    6.8337
29.9683    -6.7845    6.7518
29.936     -6.7282    6.7215
29.9074    -6.5954    6.6464
29.8492    -6.4548    6.5714
29.8046    -6.3638    6.5474
29.7781    -6.2429    6.5307
29.7333    -6.1399    6.4976
29.6982    -6.0397    6.4374
29.6559    -5.8967    6.3369
29.6277    -5.8548    6.2168
29.5897    -5.8036    6.0301
29.5787    -5.8014    5.8579
29.5394    -5.7514    5.692
29.5286    -5.7038    5.5538
29.5295    -5.6696    5.357
29.5295    -5.6506    5.1751
29.5576    -5.6175    5.0115
29.5524    -5.5279    4.85
29.4744    -5.3597    4.6949
29.4184    -5.1883    4.622
29.3351    -5.0522    4.6246
29.3332    -4.9146    4.617
29.3231    -4.8121    4.5541
29.3355    -4.7267    4.4126
29.355     -4.6834    4.2882
29.3906    -4.6734    4.1435
29.353     -4.6673    4.0272
29.44      -4.5995    3.8687









































































































































































28.7079    -11.5705   7.2253     SUPORB
28.7208    -11.5506   7.4215
28.7554    -11.474    7.6651
28.8171    -11.341    7.953
28.8001    -11.2144   8.2034
28.7679    -11.0514   8.3519
28.7645    -10.8174   8.5538
28.7381    -10.5848   8.7005
28.6496    -10.4024   8.8103
28.5899    -10.2965   8.8678
28.5415    -10.0758   8.9578
28.4492    -9.9229    9.0383
28.2603    -9.8608    9.0873
28.1414    -9.6831    9.1624
28.0524    -9.572     9.2057
28.0951    -9.4622    9.2248
28.1725    -9.2672    9.2277
28.2578    -9.1123    9.2104
28.3003    -9.0018    9.1924
28.3399    -8.8754    9.1715
28.3859    -8.7274    9.1508
28.3445    -8.3764    9.1078
28.3279    -8.2489    9.0894
28.193     -8.164     9.1481
28.0826    -8.0801    9.1924
27.951     -8.0297    9.2325
27.821     -8.0017    9.2773
27.6298    -7.8506    9.3255
27.4478    -7.7509    9.3312
27.3678    -7.5737    9.3316
27.3327    -7.4135    9.3118
27.3728    -7.132     9.3154
27.3115    -6.9086    9.2773
27.1677    -6.76      9.2452
26.9674    -6.6248    9.1861
26.8721    -6.4268    9.1013
26.7767    -6.3756    9.0398
26.5604    -6.2515    8.9287
26.5069    -6.0513    8.7904
26.4248    -5.9705    8.6919
26.3363    -5.8754    8.5923
26.1783    -5.7625    8.336
26.1035    -5.7213    8.2083
26.0842    -5.6471    8.053
26.0127    -5.5825    7.8928
26.0041    -5.4825    7.761
26.0022    -5.4652    7.5446

























































































































































