NMNH       410877     Php1stv
20.4607    18.2971    14.3712    IN
16.1893    14.6055    16.3646    BR
12.0384    11.3825    13.8       GL
12.1657    11.4391    13.3176    NA
10.2007    10.0234    7.717      RH
9.0065     9.1503     4.8817     NS
8.8428     8.9771     3.3613     PR
8.4586     9.8354     3.3425     R_PR2
10.9508    11.1504    9.0294     R_PMS
10.8098    15.5096    8.2877     R_ZMI
11.6143    13.2941    11.2285    R_ZMU
12.3777    12.0116    12.319     R_DA
11.0929    12.8921    13.5395    R_MTI
11.7475    13.0547    14.6998    R_MTS
10.9806    14.4985    12.5644    R_FMO
10.7654    15.7425    12.991     R_FMT
14.8918    19.1902    12.2186    R_PO
10.3742    17.0927    10.1369    R_ZTS
9.6335     8.5467     3.3673     L_PR2
11.5568    10.5839    9.0598     L_PMS
15.7221    9.459      8.2162     L_ZMI
13.998     10.4009    11.0835    L_ZMU
12.8966    11.4637    11.8755    L_DA
13.689     9.9942     13.3864    L_MTI
13.7237    10.6305    14.5466    L_MTS
15.2178    9.7147     12.3672    L_FMO
16.3997    9.2922     12.5944    L_FMT
20.3793    13.0794    11.6994    L_PO
17.5909    9.0484     9.6422     L_ZTS
9.231      8.4384     2.869      O1
11.2       15.1264    13.9032    O2
18.0518    9.1648     9.2746     O3
21.4982    16.2761    13.5345    O4







































































































































































12.0451    11.3117    13.6861    GLRH
12.1574    11.3608    13.3801
12.2596    11.3818    13.1646
12.3226    11.4754    12.9668
12.3554    11.5115    12.7682
12.3954    11.5033    12.6381
12.395     11.5214    12.4809
12.3923    11.5609    12.324
12.3884    11.5542    12.1437
12.3492    11.5904    12.0142
12.3453    11.5526    11.8687
12.3025    11.5929    11.7349
12.2781    11.5778    11.5958
12.2904    11.5099    11.4613
12.239     11.4923    11.2875
12.1676    11.4984    11.1552
12.1522    11.4312    11.0358
12.1045    11.4062    10.9299
12.0646    11.3524    10.7666
12.004     11.3194    10.6416
11.9564    11.266     10.5196
11.9001    11.2454    10.4026
11.7989    11.2436    10.2785
11.7444    11.2087    10.1679
11.6662    11.1665    10.0509
11.6142    11.0931    9.9477
11.5125    11.0557    9.7973
11.4355    10.9704    9.6511
11.3786    10.9298    9.5427
11.2491    10.9285    9.4266
11.1986    10.8313    9.3058
11.0838    10.7744    9.1659
11.0233    10.6943    9.0419
10.9205    10.6194    8.9094
10.7861    10.5536    8.7462
10.7354    10.4688    8.6289
10.6416    10.395     8.4809
10.526     10.3384    8.3107
10.4733    10.2061    8.1603
10.364     10.2028    8.055
10.3118    10.1289    7.925
10.1771    10.0603    7.774






























































































































































10.2492    9.9311     7.7437     NOSE
10.0161    10.1394    7.6339
9.8386     10.2644    7.5418
9.6838     10.4633    7.4544
9.3793     10.5592    7.1968
9.2929     10.5294    6.9575
9.1088     10.4878    6.768
9.0431     10.4104    6.562
8.9325     10.342     6.3281
8.8768     10.2471    6.0908
8.8316     10.1677    5.8674
8.7756     10.0591    5.7077
8.6835     9.952      5.5059
8.6644     9.705      5.3054
8.7271     9.5047     5.1895
8.8255     9.3355     5.0099
8.9532     9.2387     4.9301
9.062      9.1748     4.878
9.1554     9.0336     4.9952
9.236      8.8678     5.0707
9.4643     8.7744     5.244
9.7026     8.7688     5.4606
9.929      8.7955     5.7591
10.0727    8.8264     6.0883
10.1961    8.7508     6.3843
10.2721    8.8942     6.5425
10.3528    8.9347     6.7419
10.3818    9.0162     6.8752
10.4765    9.0801     7.0141
10.5425    9.2211     7.2939
10.6285    9.3217     7.435
10.5966    9.4809     7.5969
10.5183    9.6489     7.7021
10.3994    9.7343     7.7149
10.2185    9.9367     7.7141





































































































































































8.8828     9.0156     4.7546     NASP-PR
8.7981     8.9533     4.5021
8.7602     8.9289     4.268
8.729      8.9771     4.1249
8.7966     8.9278     3.9296
8.7932     8.9837     3.696
8.8258     9.0582     3.3223

































































































































































































10.8902    11.1259    8.9938     R-PM/MAX
10.7776    11.0814    8.8368
10.6762    11.0362    8.7333
10.5466    11.0324    8.5851
10.4474    11.051     8.4833
10.3       10.9851    8.3443
10.0602    10.9557    8.1381
9.897      10.9414    8.024
9.7813     10.9082    7.9317
9.6379     10.8377    7.832
9.545      10.8429    7.7461
9.4454     10.8297    7.6463
9.3309     10.8186    7.5071
9.2378     10.7542    7.3519
9.1227     10.8       7.2274
9.0777     10.7945    7.1199
8.9991     10.8036    6.9389
8.986      10.8151    6.7554
8.9249     10.8195    6.6234
8.8628     10.8259    6.4832
8.7873     10.8206    6.2882
8.7588     10.8468    6.0775
8.7194     10.8517    5.8791
8.7462     11.0506    5.8067
8.6369     11.0394    5.6081
8.6037     11.0363    5.4359
8.566      11.1068    5.329
8.5282     11.1503    5.191
8.483      11.1808    5.0512
8.4719     11.2617    4.959
8.4471     11.3084    4.7645
8.4351     11.3263    4.6116
8.4596     11.3818    4.5041
8.5518     11.1472    4.2056
8.636      10.8744    4.0681





































































































































































11.5435    10.5104    9.0544     L-PM/MAX
11.4878    10.4475    8.934
11.4518    10.3337    8.8687
11.3702    10.1928    8.7364
11.3041    10.054     8.5328
11.187     9.8458     8.3337
11.1135    9.6659     8.195
11.0863    9.4895     8.0759
11.0083    9.3858     7.8547
10.929     9.2698     7.719
10.8799    9.1437     7.5892
10.8305    8.9641     7.3762
10.7947    8.816      7.1532
10.7703    8.7347     6.9202
10.7589    8.6373     6.6879
10.7449    8.6208     6.5746
10.705     8.5357     6.1869
10.7427    8.4484     6.0231
10.766     8.4494     5.8206
10.8399    8.3866     5.6233
10.8618    8.3482     5.4171
10.9607    8.2711     5.2392
11.0025    8.1902     4.9838
11.0953    8.1577     4.7784
11.1582    8.1052     4.5675
11.1658    8.1186     4.4483
10.9057    8.2923     4.1941
10.819     8.3819     4.0913












































































































































































10.6236    13.7691    5.4266     ROSTRUM
10.5105    13.6919    5.6751
10.5182    13.6133    5.9054
10.5137    13.5819    6.0158
10.4765    13.477     6.1928
10.484     13.2965    6.3423
10.5414    13.1638    6.4599
10.5917    12.977     6.5847
10.6171    12.8247    6.7285
10.6149    12.7212    6.9445
10.6022    12.6642    7.1224
10.5756    12.5877    7.2657
10.5105    12.4854    7.4409
10.4335    12.39      7.5866
10.3719    12.2707    7.7687
10.3244    12.2098    7.8812
10.2576    12.1949    8.0212
10.1433    12.1238    8.1836
10.0453    12.076     8.2785
9.9595     12.0587    8.4691
9.8779     11.9867    8.6686
9.8604     11.7832    8.8135
10.0008    11.5798    8.8487
10.2717    11.5685    8.8483
10.4004    11.4138    8.8208
10.5997    11.2576    8.7525
10.6924    11.122     8.7737
10.766     11.0381    8.8144
10.8316    10.8388    8.9263
10.9205    10.6378    8.9456
11.0151    10.5257    8.943
11.1256    10.4448    8.9122
11.2398    10.3495    8.8529
11.3357    10.2997    8.805
11.4146    10.2341    8.7985
11.508     10.1045    8.7744
11.5763    10.0097    8.7885
11.6834    9.8348     8.7672
11.7972    9.7257     8.8332
11.8658    9.5787     8.8583
11.9568    9.4523     8.8611
12.0804    9.345      8.8028
12.1809    9.2941     8.7181
12.2071    9.2938     8.3284
12.3045    9.4821     8.1186
12.3839    9.6813     7.9586
12.5499    9.861      7.9001
