MNHN       1904.161   Tg25stv
0.8734     3.9441     5.7569



















































































































































































-2.091     7.2921     6.4055     ROSTRUM
-2.1025    7.2639     6.6314
-2.1034    7.2658     6.8889
-2.0667    7.2283     7.095
-1.8838    7.2159     7.2277
-1.7584    7.2117     7.2794
-1.6228    7.2189     7.3357
-1.5008    7.2225     7.4714
-1.3987    7.2003     7.5822
-1.3198    7.1847     7.7082
-1.2717    7.1407     7.8828
-1.2591    7.0665     8.1067
-1.2023    7.0141     8.2598
-1.1606    6.96       8.461
-1.1394    6.922      8.667
-1.1496    6.8686     8.9198
-1.1247    6.8276     9.1339
-1.1131    6.8198     9.324
-0.9336    6.7193     9.4856
-0.795     6.7463     9.6136
-0.6883    6.6941     9.7328
-0.5448    6.6477     9.8302
-0.3641    6.6598     9.9238
-0.2259    6.6247     10.0125
-0.0574    6.5619     10.0485
0.0787     6.5238     10.0951
0.2226     6.4975     10.0902
0.4161     6.5467     10.09
0.5507     6.5747     9.9917
0.7047     6.5642     9.8837
0.8603     6.5452     9.741
0.9747     6.5601     9.6045
1.1303     6.5381     9.3844
1.2451     6.5283     9.178
1.3282     6.5376     9.0076
1.3029     6.5774     8.584
1.3169     6.6154     8.2705
1.3815     6.6382     8.0708
1.4301     6.6113     7.835
1.4889     6.6294     7.6345
1.535      6.648      7.4084
1.5905     6.6639     7.3182
1.7314     6.693      7.1848
1.8824     6.7049     7.1129
2.0374     6.7052     7.0383
2.1173     6.7166     6.9294
2.1621     6.7517     6.7916
2.165      6.7713     6.6837
2.1582     6.7485     6.5317
2.1612     6.7636     6.4131
2.1556     6.7631     6.3467
2.1318     6.7885     6.2115




















































































































































-2.7561    8.6744     12.1578    SUPORB
-2.6638    8.6217     12.3304
-2.5595    8.5798     12.5135
-2.5035    8.5145     12.6236
-2.3995    8.4023     12.7655
-2.303     8.264      12.8517
-2.1799    8.0858     12.887
-2.0864    7.8943     12.8736
-1.9808    7.7009     12.8783
-1.8684    7.5869     12.895
-1.6786    7.3735     12.8839
-1.4426    7.256      12.8721
-1.1845    7.1538     12.8438
-0.9023    7.0558     12.8114
-0.6407    6.9705     12.7687
-0.4544    6.928      12.753
-0.1852    6.8653     12.7677
0.1727     6.8417     12.7978
0.3538     6.8813     12.8051
0.655      6.8895     12.8344
0.8757     6.9357     12.8812
1.0936     6.9869     12.8961
1.3755     7.0167     12.8612
1.644      6.9951     12.8434
1.8304     7.0481     12.8737
2.0588     7.1406     12.8625
2.4131     7.4166     12.8256
2.7199     7.5593     12.7623
2.8168     7.7707     12.7471
2.9112     7.9298     12.7601
2.9585     8.0846     12.7563
3.1172     8.1514     12.5149
3.17       8.2476     12.3465
3.2369     8.268      12.2088
3.2963     8.3483     12.0484





































































































































































-1.2398    7.4093     10.5099    RORBIT
-1.4444    7.4401     10.4777
-1.6451    7.5235     10.4661
-1.9085    7.6604     10.4837
-2.0818    7.7765     10.5419
-2.196     7.8686     10.6379
-2.2826    7.9728     10.7821
-2.3505    8.0518     10.9409
-2.4102    8.1474     11.1542
-2.4117    8.1773     11.3908
-2.4913    8.1314     11.6921
-2.3941    7.9995     11.9828
-2.3165    7.819      12.1292
-2.2565    7.5442     12.2516
-2.1082    7.3626     12.282
-1.8899    7.213      12.2891
-1.7048    7.1185     12.2766
-1.4606    7.0341     12.2889
-1.3443    7.0208     12.2593
-1.1338    6.9519     12.2717
-0.8934    6.927      12.3055
-0.7155    6.8632     12.3676
-0.4818    6.9635     12.2985
-0.246     6.9716     12.257
-0.1465    7.077      12.102
-0.0918    7.1314     11.9383
-0.0473    7.1629     11.7086
-0.0924    7.2497     11.56
-0.1277    7.288      11.4477











































































































































































1.7206     7.2394     10.331     LORBIT
1.9653     7.3014     10.3104
2.1938     7.308      10.3219
2.3825     7.3595     10.3652
2.5557     7.4434     10.4911
2.7266     7.5373     10.6645
2.8745     7.6227     10.8209
2.9244     7.7139     11.027
2.9607     7.7524     11.2065
2.9994     7.7716     11.3816
3.0022     7.7636     11.6487
3.0126     7.6778     11.8518
2.9719     7.6021     11.9483
2.9415     7.4833     12.1118
2.842      7.2936     12.2159
2.7577     7.1646     12.285
2.6222     7.0708     12.2894
2.4144     6.8838     12.3495
2.2148     6.8515     12.3354
1.9165     6.7511     12.3088
1.6143     6.775      12.2885
1.4134     6.7799     12.42
1.2199     6.8451     12.3858
