TMP        AZ 1104    Phu141sf
20.914     4.2252     12.9413    IN
25.2266    4.5104     16.7554    BR
32.392     4.9663     16.6083    GL
32.4196    4.9316     16.2268    NA
38.0669    5.0224     11.1023    RH
40.9136    5.319      8.0285     NS
41.4325    5.3807     6.4984     PR
41.3709    4.4567     6.5737     R_PR2
36.4463    4.229      11.858     R_PMS
33.0427    0.9677     10.2262    R_ZMI
32.4454    2.439      13.8029    R_ZMU
32.2982    4.4377     15.3289    R_DA
31.9259    3.0345     16.5123    R_MTI
30.7936    3.2043     17.3114    R_MTS
31.4203    0.9117     14.5911    R_FMO
30.6787    0.0753     14.8818    R_FMT
25.5538    -0.1669    11.0972    R_PO
31.1229    -0.6015    11.2181    R_ZTS
9999       9999       9999       L_PR2
36.7346    5.6735     11.7505    L_PMS
32.7343    8.6902     10.3504    L_ZMI
32.1144    7.1102     13.9037    L_ZMU
32.1522    5.2013     15.3264    L_DA
32.028     6.7918     16.5062    L_MTI
31.0654    6.6841     17.3127    L_MTS
31.2052    8.526      14.7522    L_FMO
30.384     9.322      14.8133    L_FMT
25.0783    8.8796     11.1119    L_PO
30.5636    10.1291    11.3633    L_ZTS
41.8837    4.8593     6.3823     O1
30.146     8.452      16.1084    O2
29.2015    -1.4165    10.8788    O3
21.278     4.8429     12.5688    O4







































































































































































32.3893    4.954      16.6298    GLRH
32.4129    4.9188     16.3267
32.4326    4.9098     16.1906
32.4549    4.8999     15.9581
32.5024    4.9056     15.6738
32.5759    4.8358     15.5014
32.7128    4.8616     15.1715
32.8833    4.8623     14.9348
33.057     4.8666     14.713
33.2533    4.8592     14.4959
33.4539    4.8707     14.2603
33.7191    4.8986     14.0381
34.014     4.9037     13.7588
34.328     4.9054     13.5613
34.5389    4.8959     13.4135
34.8099    4.9028     13.215
35.0646    4.8985     13.07
35.3067    4.8669     12.9098
35.5788    4.871      12.753
35.8552    4.8808     12.5539
35.9326    4.9078     12.5021
36.1407    4.9119     12.3455
36.398     4.9151     12.1713
36.6181    4.9136     12.0186
36.8126    4.9577     11.8825
37.1557    5.0037     11.6912
37.4982    5.0071     11.4649
37.777     5.0167     11.2796
37.8996    5.0294     11.2031
38.0778    5.0362     11.0817










































































































































































38.0331    5.0654     11.1075    NOSE
37.9936    4.8109     11.0452
38.0451    4.5204     11.01
38.1539    4.3872     10.8684
38.2623    4.2257     10.7445
38.4701    4.1502     10.5479
38.6787    4.0355     10.3491
38.9689    3.9764     10.0418
39.1554    4.0058     9.8916
39.3235    4.0059     9.738
39.6864    4.112      9.4069
39.9174    4.1202     9.2302
40.1504    4.123      9.0342
40.3493    4.2562     8.8085
40.669     4.4109     8.5951
40.8435    4.6111     8.4448
40.9859    4.8164     8.3816
40.9984    5.048      8.2622
