UCMVZ      117243     Phu44stv
19.7524    17.6       13.5473    IN
16.5006    13.4048    16.8976    BR
12.6412    9.0674     14.842     GL
12.6578    9.2494     14.0832    NA
10.8998    7.9346     9.7424     RH
9.6249     6.7781     6.6251     NS
9.3461     6.6503     5.5512     PR
8.7635     7.3521     5.8355     R_PR2
10.9603    8.8093     10.247     R_PMS
10.1126    12.5437    9.8791     R_ZMI
11.4939    11.0306    12.3494    R_ZMU
12.5522    9.9722     13.2333    R_DA
11.3978    10.4921    14.7181    R_MTI
12.1454    11.2754    15.9022    R_MTS
10.7481    12.103     13.8339    R_FMO
10.7541    12.9943    13.8758    R_FMT
13.7525    17.2806    12.3934    R_PO
10.3796    13.9064    11.4517    R_ZTS
10.2649    6.2264     5.6343     L_PR2
11.8954    8.1299     10.0486    L_PMS
15.7624    8.2222     9.0301     L_ZMI
14.3713    8.7043     11.8537    L_ZMU
13.1138    9.4441     13.1079    L_DA
14.1865    8.2433     14.2512    L_MTI
14.967     9.0259     15.5114    L_MTS
15.7914    8.1517     13.0277    L_FMO
16.7448    8.4983     13.3573    L_FMT
19.7929    12.3391    11.2538    L_PO
17.4033    8.5814     10.3503    L_ZTS
9.7453     6.159      5.5042     O1
9.7145     13.1993    11.0344    O2
16.1957    9.0416     14.4596    O3
20.7798    15.5367    12.5284    O4







































































































































































12.5884    9.082      14.7516    GLRH
12.58      9.097      14.5659
12.5826    9.1469     14.3643
12.5951    9.2163     14.1999
12.635     9.2535     14.0608
12.6429    9.3176     13.8505
12.6568    9.3552     13.6325
12.6654    9.4298     13.5087
12.6503    9.4263     13.3035
12.6007    9.4221     13.0863
12.5671    9.4063     12.9432
12.5358    9.4053     12.8067
12.4949    9.3721     12.6847
12.4449    9.3523     12.5807
12.4066    9.3227     12.4374
12.373     9.2799     12.2771
12.3114    9.2246     12.0715
12.2417    9.1825     11.9372
12.1619    9.1253     11.7608
12.0651    9.0525     11.6014
11.9726    9.0178     11.4145
11.9021    8.9522     11.3145
11.8189    8.8814     11.1846
11.7804    8.824      11.0807
11.7087    8.7442     10.9693
11.607     8.6363     10.7645
11.5155    8.5237     10.6159
11.4165    8.4818     10.5207
11.3093    8.3487     10.3631
11.1806    8.2527     10.1685
11.0807    8.1128     10.0386
11.0002    8.0391     9.8837
10.9183    7.9268     9.7501







































































































































































10.8292    7.9482     9.6612     NOSE
10.6033    8.034      9.6481
10.4162    8.1928     9.5109
10.1994    8.2711     9.3247
10.0182    8.2596     9.1014
9.8966     8.1945     8.9083
9.7935     8.171      8.7147
9.6881     8.1262     8.5334
9.6401     8.0567     8.3859
9.5122     7.989      8.1646
9.4102     7.8725     7.9241
9.3701     7.7436     7.7528
9.318      7.6124     7.5617
9.2918     7.4079     7.3955
9.2223     7.2819     7.3243
9.1981     7.1246     7.1678
9.214      7.0068     6.953
9.3714     6.89       6.7433
9.4739     6.8647     6.6601
9.6389     6.786      6.6401
9.7675     6.6949     6.696
9.9708     6.579      6.8937
10.1513    6.4425     7.0942
10.2805    6.4493     7.1841
