AMNH       169432     Phu1bjw
1.6868     27.2015    14.0644    IN
1.6555     22.1647    17.0488    BR
1.4457     15.7564    16.851     GL
1.3092     15.6404    16.3705    NA
0.4321     9.8814     10.5539    RH
0.1586     6.801      7.3582     NS
0.0248     6.4897     5.955      PR
-1.0235    6.9477     6.3034     R_PR2
-0.3754    10.9759    11.0401    R_PMS
-3.21      15.4529    10.2606    R_ZMI
-1.1866    15.6936    14.3028    R_ZMU
0.8726     15.731     15.3921    R_DA
-0.963     16.1822    16.7106    R_MTI
-0.7132    16.8214    17.676     R_MTS
-2.4037    16.6013    15.198     R_FMO
-3.4183    17.5388    15.2973    R_FMT
-3.1013    23.3026    12.6409    R_PO
-4.6087    17.6053    11.9663    R_ZTS
1.2122     6.7927     6.0693     L_PR2
1.4695     10.6917    10.8885    L_PMS
4.6744     15.1471    9.6688     L_ZMI
3.2648     15.4735    13.8818    L_ZMU
1.7696     15.7781    15.1978    L_DA
3.7332     15.9514    16.2712    L_MTI
3.5491     16.7824    17.3542    L_MTS
4.9259     16.4863    14.6974    L_FMO
5.9674     17.4588    14.6345    L_FMT
5.5116     22.9643    11.6787    L_PO
6.3977     16.9467    10.9487    L_ZTS
0.7087     6.1819     6.3095     O1
4.9146     17.7327    15.0325    O2
-2.4214    17.7896    15.4023    O3
1.6622     27.0575    13.482     O4







































































































































































1.3426     15.729     16.769     GLRH
1.3205     15.6849    16.5394
1.2779     15.5794    16.1864
1.2704     15.5437    15.9121
1.2583     15.5086    15.6386
1.2047     15.4387    15.3752
1.1641     15.3101    15.1506
1.1238     15.1682    14.9345
1.1041     14.9956    14.7027
1.0628     14.7991    14.5271
1.0795     14.6376    14.3928
1.084      14.4598    14.2469
1.0456     14.2787    14.1321
1.0166     14.1241    14.0161
0.9998     13.9411    13.9034
0.9712     13.7318    13.7938
0.9679     13.6151    13.7006
0.9166     13.3596    13.5422
0.859      13.1238    13.3505
0.8089     12.9227    13.1862
0.7904     12.7186    13.0246
0.75       12.4961    12.867
0.7643     12.3169    12.7557
0.713      12.1021    12.65
0.6968     11.8989    12.5194
0.6597     11.7438    12.4054
0.6217     11.5569    12.2586
0.5986     11.3608    12.1099
0.5787     11.1513    11.9555
0.5439     11.0202    11.8628
0.5082     10.8703    11.7351
0.4922     10.7249    11.6007
0.4708     10.6044    11.4802
0.4571     10.4649    11.3193
0.4151     10.3328    11.1652
0.4086     10.2054    11.0277
0.408      10.0785    10.9041
0.3814     9.9139     10.6915













































































































