NMNH       269798     Pygn5stv
1.8036     4.3343     6.1406
2.2589     4.4211     5.7632
2.4062     4.4213     5.5108
2.5823     4.4243     5.2818
2.7277     4.4168     5.1093
2.9766     4.3572     4.8621
3.1795     4.3878     4.6737
3.3274     4.4169     4.4146
3.476      4.438      4.1692
3.5613     4.4358     3.9809
3.6437     4.4758     3.731
3.6747     4.5326     3.363
3.6632     4.5404     3.1374










































































































































































-1.9508    5.808      6.8505     SUPORB
-1.8275    5.7969     7.1327
-1.7146    5.8417     7.3364
-1.5191    5.8327     7.5457
-1.1622    5.7834     7.723
-0.8744    5.7205     7.8193
-0.6347    5.6264     7.8658
-0.2618    5.4662     7.9282
0.0088     5.3135     7.9531
0.2664     5.167      7.9536
0.5283     5.0776     7.9239
1.0366     4.8976     7.8519
1.2484     4.8456     7.8172
1.4176     4.8328     7.7951
1.5725     4.8446     7.7844
1.9512     4.918      7.8251
2.306      5.0179     7.8919
2.6965     5.1247     7.9716
2.9975     5.2865     8.0235
3.2426     5.4124     8.045
3.5614     5.5562     8.0324
3.8757     5.6353     7.9934
4.1858     5.7012     7.9178
4.5116     5.7572     7.8352
4.6546     5.8196     7.796
4.8789     5.873      7.6735
5.0981     5.9108     7.4308
5.1918     5.8588     7.2086
5.2548     5.7984     7.0236











































































































































































-0.6791    4.7307     5.0704     RORBIT
-0.9053    4.7584     5.0793
-1.111     4.8708     5.1105
-1.2861    4.9811     5.2269
-1.4521    5.0808     5.3892
-1.4937    5.1332     5.4914
-1.6238    5.1956     5.6764
-1.6264    5.2844     5.9818
-1.6589    5.3235     6.2487
-1.6352    5.3672     6.4619
-1.6074    5.3936     6.6697
